TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A10001,1,39.0858521,37.15,0.2,1.3,1.05,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.05,0,0.9
A10003,1,39.57675237,123.96,0.2,1.3,1.17,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.17,0,0.9
A10005,1,38.66226838,23.12,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A11001,1,38.91164515,156.99,0.2,1.3,1.22,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.22,0,0.9
A24001,1,39.63643987,829.74,0.2,1.3,2.16,0.12,32,0.13,0.5,0.03,0.03,0.558,0,0,0.15,100,30,2.16,0,0.9
A24003,1,39.00248079,85.96,0.2,1.3,1.12,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.12,0,0.9
A24005,1,39.46758802,322.11,0.2,1.3,1.45,0.12,32,0.13,0.5,0.03,0.03,0.48,0,0,0.15,100,30,1.45,0,0.9
A24009,1,38.55352098,93.43,0.2,1.3,1.13,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.13,0,0.9
A24011,1,38.87286029,39.63,0.2,1.3,1.06,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.06,0,0.9
A24013,1,39.5630754,692.09,0.2,1.3,1.97,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.97,0,0.9
A24015,1,39.57694968,169.36,0.2,1.3,1.24,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.24,0,0.9
A24017,1,38.50663898,160.39,0.2,1.3,1.23,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.23,0,0.9
A24019,1,38.49100934,15.17,0.2,1.3,1.02,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.02,0,0.9
A24021,1,39.45624589,427.33,0.2,1.3,1.6,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.6,0,0.9
A24023,1,39.52923072,2411.32,0.2,1.3,4.39,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,4.39,0,0.9
A24025,1,39.58559005,274.99,0.2,1.3,1.39,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.39,0,0.9
A24027,1,39.25091961,385.68,0.2,1.3,1.54,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.54,0,0.9
A24029,1,39.26100108,36.86,0.2,1.3,1.05,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.05,0,0.9
A24031,1,39.13873721,395.33,0.2,1.3,1.56,0.12,32,0.13,0.5,0.03,0.03,0.186,0,0,0.15,100,30,1.56,0,0.9
A24033,1,38.82618772,164.92,0.2,1.3,1.23,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.23,0,0.9
A24035,1,39.07168106,23.4,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24037,1,38.30568701,86.88,0.2,1.3,1.12,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.12,0,0.9
A24039,1,38.12373492,9.08,0.2,1.3,1.01,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.01,0,0.9
