TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36003,1.692500,1,0.03,0.3,0,27.24150,40.18350,5,0.5,2,0,3795.574,0.097500,5,1,8,0,1497.181,0.006500,6,0.5,1,0,1046.690,0,0,0,0,na,na
A36007,0.466500,1,0.03,0.3,0,32.23950,36.37250,5,0.5,2,0,3541.355,0.257000,5,1,8,0,1550.958,0.039000,6,0.5,1,0,1074.292,0,0,0,0,na,na
A36015,1.012500,1,0.03,0.3,0,27.36250,37.24700,5,0.5,2,0,3776.477,0.169500,5,1,8,0,1518.986,0.007000,6,0.5,1,0,1063.438,0,0,0,0,na,na
A36017,0.356000,1,0.03,0.3,0,36.60850,37.00850,5,0.5,2,0,3273.459,0.274000,5,1,8,0,1576.202,0.045500,6,0.5,1,0,1080.633,0,0,0,0,na,na
A36023,0.309000,1,0.03,0.3,0,35.70800,37.25250,5,0.5,2,0,3182.436,0.339500,5,1,8,0,1681.794,0.092000,6,0.5,1,0,1082.073,0,0,0,0,na,na
A36025,0.842500,1,0.03,0.3,0,33.39150,35.35200,5,0.5,2,0,3477.983,0.219500,5,1,8,0,1514.280,0.065000,6,0.5,1,0,1133.289,0,0,0,0,na,na
A36043,0.522500,1,0.03,0.3,0,26.60850,35.63900,5,0.5,2,0,3085.992,0.254500,5,1,8,0,1528.660,0.060000,6,0.5,1,0,1137.068,0,0,0,0,na,na
A36051,1.225500,1,0.03,0.3,0,35.10100,40.23550,5,0.5,2,0,3639.727,0.080500,5,1,8,0,1572.351,0.005000,6,0.5,1,0,1029.961,0,0,0,0,na,na
A36053,0.276500,1,0.03,0.3,0,47.68400,37.14600,5,0.5,2,0,3062.538,0.484500,5,1,8,0,1717.899,0.136000,6,0.5,1,0,1078.898,0,0,0,0,na,na
A36065,0.454000,1,0.03,0.3,0,21.35700,36.08550,5,0.5,2,0,3015.470,0.336000,5,1,8,0,1648.668,0.097500,6,0.5,1,0,1117.955,0,0,0,0,na,na
