TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36003,1.591500,1,0.03,0.3,0,16.35300,40.30600,5,0.5,2,0,4871.363,0.100000,5,1,8,0,1537.453,0.007000,6,0.5,1,0,1048.354,0,0,0,0,na,na
A36007,0.328000,1,0.03,0.3,0,18.66150,36.75900,5,0.5,2,0,4399.119,0.220000,5,1,8,0,1634.254,0.020000,6,0.5,1,0,1092.740,0,0,0,0,na,na
A36015,0.831500,1,0.03,0.3,0,16.31250,37.48600,5,0.5,2,0,4787.624,0.167500,5,1,8,0,1588.073,0.007000,6,0.5,1,0,1074.237,0,0,0,0,na,na
A36017,0.223500,1,0.03,0.3,0,22.36850,37.09050,5,0.5,2,0,3983.990,0.233000,5,1,8,0,1670.313,0.027000,6,0.5,1,0,1104.400,0,0,0,0,na,na
A36023,0.183000,1,0.03,0.3,0,22.06150,37.37950,5,0.5,2,0,3807.208,0.288500,5,1,8,0,1833.914,0.035000,6,0.5,1,0,1114.440,0,0,0,0,na,na
A36025,0.637500,1,0.03,0.3,0,20.17750,35.49200,5,0.5,2,0,4329.664,0.165500,5,1,8,0,1577.854,0.025500,6,0.5,1,0,1173.922,0,0,0,0,na,na
A36043,0.359500,1,0.03,0.3,0,15.14250,35.60400,5,0.5,2,0,3722.492,0.216500,5,1,8,0,1604.986,0.023000,6,0.5,1,0,1181.297,0,0,0,0,na,na
A36051,1.034000,1,0.03,0.3,0,22.26100,40.32750,5,0.5,2,0,4608.390,0.082000,5,1,8,0,1649.737,0.005500,6,0.5,1,0,1028.099,0,0,0,0,na,na
A36053,0.149500,1,0.03,0.3,0,33.59150,36.96100,5,0.5,2,0,3620.038,0.399500,5,1,8,0,1895.132,0.096500,6,0.5,1,0,1110.444,0,0,0,0,na,na
A36065,0.288500,1,0.03,0.3,0,11.33900,36.00150,5,0.5,2,0,3586.372,0.242000,5,1,8,0,1785.393,0.037000,6,0.5,1,0,1163.235,0,0,0,0,na,na
A36067,0.096500,1,0.03,0.3,0,30.72700,37.80000,5,0.5,2,0,3559.885,0.346500,5,1,8,0,1965.502,0.095500,6,0.5,1,0,1167.194,0,0,0,0,na,na
A36069,1.064000,1,0.03,0.3,0,22.15400,40.05500,5,0.5,2,0,4716.405,0.193000,5,1,8,0,1631.745,0.015500,6,0.5,1,0,1075.030,0,0,0,0,na,na
A36077,0.372000,1,0.03,0.3,0,20.71200,35.13700,5,0.5,2,0,4062.240,0.192000,5,1,8,0,1652.731,0.022000,6,0.5,1,0,1139.255,0,0,0,0,na,na
A36095,0.390500,1,0.03,0.3,0,26.58100,35.17300,5,0.5,2,0,3977.229,0.148000,5,1,8,0,1635.058,0.025000,6,0.5,1,0,1169.068,0,0,0,0,na,na
A36097,1.047500,1,0.03,0.3,0,19.67050,37.94700,5,0.5,2,0,4701.322,0.168750,5,1,8,0,1576.773,0.011000,6,0.5,1,0,1066.663,0,0,0,0,na,na
