TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A37005,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37009,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37033,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37131,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37135,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37145,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37157,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37171,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37181,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37189,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A42001,50,1.000000,0.746042,1.5,20.00000,33.51013,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42009,50,1.000000,41.83991,1.5,20.00000,0.597518,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42011,50,1.000000,0.437776,1.5,20.00000,57.10669,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42013,50,1.000000,27.62028,1.5,20.00000,0.905131,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42015,50,1.000000,47.37151,1.5,20.00000,0.527745,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42021,50,1.000000,100.0000,1.5,20.00000,0.230552,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42023,50,1.000000,0.148735,1.5,20.00000,48.68044,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42025,50,1.000000,30.09727,1.5,20.00000,0.830640,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42027,50,1.000000,100.0000,1.5,20.00000,0.089259,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42029,50,1.000000,49.99014,1.5,20.00000,0.500099,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42033,50,1.000000,100.0000,1.5,20.00000,0.026676,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42035,50,1.000000,20.81158,1.5,20.00000,1.201253,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42037,50,1.000000,33.96866,1.5,20.00000,0.735973,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42041,50,1.000000,53.43135,1.5,20.00000,0.467890,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42043,50,1.000000,1.695971,1.5,20.00000,14.74083,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42047,50,1.000000,47.37442,1.5,20.00000,0.527712,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42055,50,1.000000,72.20878,1.5,20.00000,0.346217,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42057,50,1.000000,17.47881,1.5,20.00000,1.430302,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
