seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A42069,1984,   1,   1.5161,   0.1793,   0.0858,   0.6497,   0.0304,   0.0137,   0.0127,   0.0043
A42069,1984,   2,   3.3670,   0.2153,   0.0888,   0.5945,   0.0409,   0.0305,   0.0282,   0.0095
A42069,1984,   3,   3.7522,   0.3458,   0.1732,   0.8294,   0.0730,   0.0340,   0.0315,   0.0106
A42069,1984,   4,   5.3349,   0.4293,   0.2774,   0.6286,   0.0728,   0.0967,   0.0895,   0.0302
A42069,1984,   5,   8.1452,   0.7979,   0.6390,   0.6903,   0.0756,   0.1477,   0.1366,   0.0461
A42069,1984,   6,   3.9744,   0.4477,   0.4703,   0.9075,   0.1546,   0.0721,   0.0666,   0.0225
A42069,1984,   7,   5.5325,   0.5248,   0.2765,   0.7761,   0.1644,   0.0502,   0.0464,   0.0157
A42069,1984,   8,   2.8359,   0.3513,   0.1776,   0.6653,   0.1123,   0.0257,   0.0238,   0.0080
A42069,1984,   9,   1.4731,   0.1673,   0.1291,   0.6887,   0.0779,   0.0134,   0.0124,   0.0042
A42069,1984,  10,   2.5678,   0.2604,   0.1911,   0.6370,   0.0698,   0.0233,   0.0215,   0.0073
A42069,1984,  11,   2.8973,   0.1781,   0.0993,   0.5980,   0.0621,   0.0263,   0.0243,   0.0082
A42069,1984,  12,   2.9977,   0.2428,   0.1026,   0.5272,   0.0302,   0.0272,   0.0251,   0.0085
A42069,1985,   1,   1.0895,   0.1199,   0.0573,   0.6367,   0.0301,   0.0099,   0.0091,   0.0031
A42069,1985,   2,   1.9514,   0.1568,   0.0493,   0.5826,   0.0406,   0.0177,   0.0164,   0.0055
A42069,1985,   3,   2.0833,   0.2752,   0.1836,   0.8128,   0.0724,   0.0189,   0.0175,   0.0059
A42069,1985,   4,   2.5575,   0.3669,   0.3266,   0.6160,   0.0723,   0.0464,   0.0429,   0.0145
A42069,1985,   5,   5.1304,   0.5016,   0.4335,   0.6764,   0.0751,   0.0930,   0.0860,   0.0291
A42069,1985,   6,   4.5714,   0.5136,   0.4353,   0.8893,   0.1534,   0.0829,   0.0767,   0.0259
A42069,1985,   7,   5.4344,   0.5520,   0.2938,   0.7606,   0.1632,   0.0493,   0.0456,   0.0154
A42069,1985,   8,   3.8214,   0.4582,   0.2578,   0.6519,   0.1114,   0.0346,   0.0320,   0.0108
A42069,1985,   9,   8.7001,   0.3421,   0.1688,   0.6749,   0.0773,   0.0789,   0.0729,   0.0246
A42069,1985,  10,   2.1986,   0.2280,   0.1248,   0.6242,   0.0693,   0.0199,   0.0184,   0.0062
A42069,1985,  11,   5.7790,   0.3513,   0.1734,   0.5860,   0.0616,   0.0524,   0.0485,   0.0164
A42069,1985,  12,   2.5669,   0.2334,   0.0996,   0.5166,   0.0299,   0.0233,   0.0215,   0.0073
A42069,1986,   1,   3.3044,   0.2342,   0.0846,   0.6236,   0.0299,   0.0300,   0.0277,   0.0094
A42069,1986,   2,   3.8934,   0.3410,   0.1264,   0.5707,   0.0403,   0.0353,   0.0326,   0.0110
