seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51660,1984,   1,   1.1633,   0.1022,   0.0613,   0.2302,   0.2084,   0.0105,   0.0098,   0.0033
A51660,1984,   2,   4.2877,   0.1350,   0.0871,   0.2528,   0.2295,   0.0389,   0.0360,   0.0121
A51660,1984,   3,   4.5266,   0.3603,   0.1972,   0.3314,   0.4150,   0.0410,   0.0380,   0.0128
A51660,1984,   4,   5.5517,   0.4424,   0.3103,   0.4488,   0.7622,   0.1006,   0.0931,   0.0315
A51660,1984,   5,   2.2875,   0.1855,   0.1471,   0.5245,   0.6880,   0.0415,   0.0384,   0.0130
A51660,1984,   6,   1.4039,   0.1585,   0.1187,   0.5167,   1.0538,   0.0255,   0.0235,   0.0080
A51660,1984,   7,   4.7567,   0.3894,   0.2146,   0.5967,   1.4918,   0.0431,   0.0399,   0.0135
A51660,1984,   8,   5.6302,   0.4449,   0.2008,   0.5216,   1.0500,   0.0510,   0.0472,   0.0159
A51660,1984,   9,   1.6055,   0.0958,   0.0523,   0.5984,   0.7957,   0.0146,   0.0135,   0.0045
A51660,1984,  10,   3.5524,   0.1920,   0.1099,   0.3639,   0.6469,   0.0322,   0.0298,   0.0101
A51660,1984,  11,   3.2147,   0.1610,   0.0924,   0.1480,   0.5411,   0.0291,   0.0270,   0.0091
A51660,1984,  12,   1.6773,   0.1040,   0.0581,   0.2228,   0.0714,   0.0152,   0.0141,   0.0048
A51660,1985,   1,   1.7297,   0.1259,   0.0578,   0.2259,   0.2091,   0.0157,   0.0145,   0.0049
A51660,1985,   2,   2.8755,   0.1373,   0.0504,   0.2480,   0.2303,   0.0261,   0.0241,   0.0081
A51660,1985,   3,   1.3674,   0.1376,   0.0632,   0.3252,   0.4164,   0.0124,   0.0115,   0.0039
A51660,1985,   4,   0.9509,   0.1458,   0.1326,   0.4405,   0.7648,   0.0172,   0.0159,   0.0054
A51660,1985,   5,   5.5712,   0.6921,   0.4382,   0.5148,   0.6903,   0.1010,   0.0934,   0.0316
A51660,1985,   6,   1.9692,   0.2201,   0.1571,   0.5071,   1.0574,   0.0357,   0.0330,   0.0112
A51660,1985,   7,   4.6034,   0.4490,   0.1922,   0.5856,   1.4969,   0.0417,   0.0386,   0.0130
A51660,1985,   8,   4.1393,   0.4501,   0.1883,   0.5119,   1.0536,   0.0375,   0.0347,   0.0117
A51660,1985,   9,   0.1661,   0.0116,   0.0069,   0.5873,   0.7983,   0.0015,   0.0014,   0.0005
A51660,1985,  10,   4.4666,   0.2972,   0.1430,   0.3571,   0.6491,   0.0405,   0.0375,   0.0127
A51660,1985,  11,  13.5145,   0.3500,   0.1495,   0.1452,   0.5430,   0.1225,   0.1133,   0.0383
A51660,1985,  12,   0.7519,   0.0755,   0.0411,   0.2186,   0.0717,   0.0068,   0.0063,   0.0021
