seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51067,1984,   1,   1.4049,   0.0838,   0.0397,   0.4968,   0.0234,   0.0127,   0.0118,   0.0040
B51067,1984,   2,   4.7456,   0.1303,   0.1003,   0.5175,   0.0285,   0.0430,   0.0398,   0.0134
B51067,1984,   3,   4.7203,   0.3229,   0.2157,   0.5242,   0.0507,   0.0428,   0.0396,   0.0134
B51067,1984,   4,   3.6469,   0.2150,   0.1484,   0.6427,   0.0627,   0.0661,   0.0612,   0.0207
B51067,1984,   5,   4.9766,   0.2734,   0.2209,   0.6109,   0.0655,   0.0902,   0.0835,   0.0282
B51067,1984,   6,   1.3268,   0.1203,   0.0935,   0.5110,   0.0827,   0.0241,   0.0222,   0.0075
B51067,1984,   7,   6.0234,   0.3818,   0.1796,   0.6181,   0.1102,   0.0546,   0.0505,   0.0171
B51067,1984,   8,   6.0581,   0.3649,   0.1762,   0.5395,   0.0603,   0.0549,   0.0508,   0.0172
B51067,1984,   9,   0.9302,   0.0362,   0.0188,   0.6579,   0.0517,   0.0084,   0.0078,   0.0026
B51067,1984,  10,   2.4125,   0.0905,   0.0519,   0.6271,   0.0318,   0.0219,   0.0202,   0.0068
B51067,1984,  11,   2.6869,   0.1162,   0.0599,   0.4809,   0.0442,   0.0244,   0.0225,   0.0076
B51067,1984,  12,   1.4581,   0.0751,   0.0374,   0.5028,   0.0166,   0.0132,   0.0122,   0.0041
B51067,1985,   1,   2.7288,   0.1133,   0.0516,   0.4904,   0.0234,   0.0247,   0.0229,   0.0077
B51067,1985,   2,   3.8628,   0.1177,   0.0520,   0.5108,   0.0285,   0.0350,   0.0324,   0.0109
B51067,1985,   3,   1.4356,   0.1061,   0.0496,   0.5174,   0.0507,   0.0130,   0.0120,   0.0041
B51067,1985,   4,   2.0391,   0.1389,   0.1035,   0.6344,   0.0627,   0.0370,   0.0342,   0.0116
B51067,1985,   5,   5.9835,   0.4631,   0.2922,   0.6029,   0.0655,   0.1085,   0.1003,   0.0339
B51067,1985,   6,   2.3636,   0.2204,   0.1289,   0.5044,   0.0827,   0.0428,   0.0396,   0.0134
B51067,1985,   7,   5.5309,   0.4305,   0.1650,   0.6101,   0.1103,   0.0501,   0.0464,   0.0157
B51067,1985,   8,   8.4554,   0.4857,   0.1952,   0.5325,   0.0603,   0.0766,   0.0709,   0.0240
B51067,1985,   9,   1.0893,   0.0825,   0.0431,   0.6493,   0.0517,   0.0099,   0.0091,   0.0031
B51067,1985,  10,   3.8921,   0.2289,   0.1041,   0.6189,   0.0318,   0.0353,   0.0326,   0.0110
B51067,1985,  11,  10.7300,   0.2455,   0.1039,   0.4746,   0.0443,   0.0973,   0.0900,   0.0304
B51067,1985,  12,   1.0871,   0.0562,   0.0209,   0.4963,   0.0166,   0.0099,   0.0091,   0.0031
B51067,1986,   1,   1.1679,   0.0761,   0.0368,   0.4839,   0.0234,   0.0106,   0.0098,   0.0033
B51067,1986,   2,   2.6354,   0.2029,   0.1093,   0.5041,   0.0285,   0.0239,   0.0221,   0.0075
B51067,1986,   3,   1.6082,   0.1170,   0.0681,   0.5105,   0.0507,   0.0146,   0.0135,   0.0046
B51067,1986,   4,   1.4019,   0.1833,   0.1702,   0.6261,   0.0627,   0.0254,   0.0235,   0.0079
B51067,1986,   5,   3.4777,   0.3090,   0.1904,   0.5950,   0.0656,   0.0630,   0.0583,   0.0197
B51067,1986,   6,   0.5276,   0.0553,   0.0411,   0.4977,   0.0828,   0.0096,   0.0088,   0.0030
