seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A42065,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,   2,   0.0041,   0.0001,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,   3,   0.0042,   0.0001,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,   4,   0.0041,   0.0001,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,   5,   0.0041,   0.0000,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,   6,   0.0208,   0.0033,   0.0013,   0.0205,   0.0006,   0.0002,   0.0002,   0.0001
A42065,1984,   1,   7,   0.0608,   0.0095,   0.0043,   0.0205,   0.0006,   0.0006,   0.0005,   0.0002
A42065,1984,   1,   8,   0.0042,   0.0004,   0.0001,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,   9,   0.0641,   0.0080,   0.0025,   0.0205,   0.0006,   0.0006,   0.0005,   0.0002
A42065,1984,   1,  10,   0.2474,   0.0282,   0.0075,   0.0205,   0.0006,   0.0022,   0.0021,   0.0007
A42065,1984,   1,  11,   0.0808,   0.0069,   0.0013,   0.0205,   0.0006,   0.0007,   0.0007,   0.0002
A42065,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,  13,   0.0108,   0.0007,   0.0002,   0.0205,   0.0006,   0.0001,   0.0001,   0.0000
A42065,1984,   1,  14,   0.0441,   0.0053,   0.0018,   0.0205,   0.0006,   0.0004,   0.0004,   0.0001
A42065,1984,   1,  15,   0.0175,   0.0008,   0.0001,   0.0205,   0.0006,   0.0002,   0.0001,   0.0000
A42065,1984,   1,  16,   0.0441,   0.0049,   0.0013,   0.0205,   0.0006,   0.0004,   0.0004,   0.0001
A42065,1984,   1,  17,   0.0408,   0.0069,   0.0015,   0.0205,   0.0006,   0.0004,   0.0003,   0.0001
A42065,1984,   1,  18,   0.0641,   0.0151,   0.0048,   0.0205,   0.0006,   0.0006,   0.0005,   0.0002
A42065,1984,   1,  19,   0.1008,   0.0176,   0.0043,   0.0205,   0.0006,   0.0009,   0.0008,   0.0003
A42065,1984,   1,  20,   0.0041,   0.0002,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,  21,   0.0108,   0.0004,   0.0000,   0.0205,   0.0006,   0.0001,   0.0001,   0.0000
A42065,1984,   1,  22,   0.0000,   0.0000,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,  23,   0.0041,   0.0004,   0.0001,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,  24,   0.4708,   0.0539,   0.0199,   0.0205,   0.0006,   0.0043,   0.0039,   0.0013
A42065,1984,   1,  25,   0.0608,   0.0063,   0.0021,   0.0205,   0.0006,   0.0006,   0.0005,   0.0002
A42065,1984,   1,  26,   0.0000,   0.0000,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,  27,   0.0041,   0.0001,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,  28,   0.0041,   0.0001,   0.0000,   0.0205,   0.0006,   0.0000,   0.0000,   0.0000
A42065,1984,   1,  29,   0.0741,   0.0064,   0.0018,   0.0205,   0.0006,   0.0007,   0.0006,   0.0002
