seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51101,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,   5,   0.0019,   0.0003,   0.0002,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,   6,   0.0307,   0.0034,   0.0023,   0.0192,   0.0012,   0.0003,   0.0003,   0.0001
A51101,1984,   1,   7,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,   8,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  10,   1.0819,   0.0617,   0.0276,   0.0192,   0.0012,   0.0098,   0.0091,   0.0031
A51101,1984,   1,  11,   1.0736,   0.0363,   0.0131,   0.0192,   0.0012,   0.0097,   0.0090,   0.0030
A51101,1984,   1,  12,   0.0002,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  13,   0.0135,   0.0003,   0.0001,   0.0192,   0.0012,   0.0001,   0.0001,   0.0000
A51101,1984,   1,  14,   0.0843,   0.0019,   0.0005,   0.0192,   0.0012,   0.0008,   0.0007,   0.0002
A51101,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  16,   0.0096,   0.0003,   0.0001,   0.0192,   0.0012,   0.0001,   0.0001,   0.0000
A51101,1984,   1,  17,   0.0005,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  18,   0.7186,   0.0789,   0.0293,   0.0192,   0.0012,   0.0065,   0.0060,   0.0020
A51101,1984,   1,  19,   0.2573,   0.0155,   0.0047,   0.0192,   0.0012,   0.0023,   0.0022,   0.0007
A51101,1984,   1,  20,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  21,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  22,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  23,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  24,   0.3310,   0.0138,   0.0040,   0.0192,   0.0012,   0.0030,   0.0028,   0.0009
A51101,1984,   1,  25,   0.5008,   0.0209,   0.0081,   0.0192,   0.0012,   0.0045,   0.0042,   0.0014
A51101,1984,   1,  26,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  27,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  28,   0.0000,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  29,   0.0002,   0.0000,   0.0000,   0.0192,   0.0012,   0.0000,   0.0000,   0.0000
A51101,1984,   1,  30,   0.1289,   0.0073,   0.0029,   0.0192,   0.0012,   0.0012,   0.0011,   0.0004
A51101,1984,   1,  31,   0.1113,   0.0073,   0.0041,   0.0192,   0.0012,   0.0010,   0.0009,   0.0003
A51101,1984,   2,   1,   0.0000,   0.0000,   0.0000,   0.0213,   0.0016,   0.0000,   0.0000,   0.0000
