seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B42001,1984,  50.4966,   4.6391,   2.3119,   8.5202,   2.0457,   0.5818,   0.5382,   0.1818
B42001,1985,  43.9732,   3.6642,   1.7023,   8.3733,   2.0637,   0.4875,   0.4510,   0.1523
B42001,1986,  41.2270,   3.9880,   1.9804,   8.2264,   2.0818,   0.4632,   0.4285,   0.1448
B42001,1987,  40.2941,   3.7090,   1.8259,   8.0796,   2.0998,   0.4662,   0.4312,   0.1457
B42001,1988,  35.4997,   3.3099,   1.5588,   7.9327,   2.1178,   0.4252,   0.3933,   0.1329
B42001,1989,  45.7691,   4.2233,   2.5659,   7.7858,   2.1358,   0.5719,   0.5290,   0.1787
B42001,1990,  49.6125,   3.7437,   2.1569,   7.6389,   2.1539,   0.5559,   0.5142,   0.1737
B42001,1991,  35.2428,   3.2193,   1.7324,   7.4920,   2.1719,   0.3762,   0.3480,   0.1176
B42001,1992,  45.6987,   3.6849,   1.9957,   7.3452,   2.1899,   0.5141,   0.4755,   0.1606
B42001,1993,  54.7779,   4.4803,   2.2501,   7.1983,   2.2079,   0.6166,   0.5703,   0.1927
B42001,1994,  50.7993,   4.0866,   2.4073,   7.0514,   2.2260,   0.5589,   0.5170,   0.1747
B42001,1995,  41.4449,   3.0679,   1.8028,   6.9045,   2.2440,   0.4915,   0.4547,   0.1536
B42001,1996,  69.8237,   5.2949,   3.1175,   6.7576,   2.2620,   0.8053,   0.7449,   0.2517
B42001,1997,  39.6146,   3.0145,   1.5291,   6.6108,   2.2800,   0.4281,   0.3960,   0.1338
B42001,1998,  45.6089,   3.8003,   1.9644,   6.4639,   2.2981,   0.5555,   0.5138,   0.1736
B42001,1999,  44.0669,   3.5877,   2.5288,   6.3170,   2.3161,   0.4815,   0.4454,   0.1505
B42001,2000,  45.3570,   3.1151,   2.0970,   6.1701,   2.3341,   0.5415,   0.5009,   0.1692
B42001,2001,  29.8890,   2.3037,   1.8872,   6.0232,   2.3521,   0.3446,   0.3188,   0.1077
B42001,2002,  44.6727,   2.9517,   2.1620,   5.8764,   2.3701,   0.5111,   0.4728,   0.1597
B42001,2003,  60.4354,   3.6600,   3.3288,   5.7295,   2.3882,   0.7241,   0.6698,   0.2263
B42001,2004,  55.9904,   2.9134,   2.7254,   5.5826,   2.4062,   0.6730,   0.6225,   0.2103
B42001,2005,  45.5964,   2.4378,   2.2843,   5.4357,   2.4242,   0.5035,   0.4657,   0.1573
