seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51530,1984,   1,   0.9346,   0.0565,   0.0222,   0.3533,   0.0190,   0.0085,   0.0078,   0.0026
A51530,1984,   2,   5.3344,   0.1094,   0.0727,   0.3825,   0.0232,   0.0484,   0.0447,   0.0151
A51530,1984,   3,   5.2826,   0.3416,   0.1718,   0.4105,   0.0573,   0.0479,   0.0443,   0.0150
A51530,1984,   4,   5.9359,   0.4016,   0.2462,   0.4904,   0.0666,   0.1076,   0.0995,   0.0336
A51530,1984,   5,   4.8244,   0.3039,   0.2147,   0.4896,   0.0730,   0.0875,   0.0809,   0.0273
A51530,1984,   6,   2.1957,   0.2335,   0.1502,   0.4617,   0.0845,   0.0398,   0.0368,   0.0124
A51530,1984,   7,   4.7830,   0.2855,   0.1240,   0.5152,   0.1103,   0.0434,   0.0401,   0.0135
A51530,1984,   8,   9.7670,   0.5271,   0.2251,   0.4930,   0.1038,   0.0885,   0.0819,   0.0277
A51530,1984,   9,   0.6383,   0.0292,   0.0133,   0.5141,   0.0667,   0.0058,   0.0054,   0.0018
A51530,1984,  10,   3.0473,   0.1159,   0.0531,   0.4452,   0.0402,   0.0276,   0.0256,   0.0086
A51530,1984,  11,   3.6885,   0.1311,   0.0536,   0.2653,   0.0312,   0.0334,   0.0309,   0.0104
A51530,1984,  12,   1.9514,   0.0957,   0.0393,   0.2870,   0.0116,   0.0177,   0.0164,   0.0055
A51530,1985,   1,   2.2178,   0.1202,   0.0417,   0.3490,   0.0190,   0.0201,   0.0186,   0.0063
A51530,1985,   2,   3.4984,   0.1150,   0.0390,   0.3778,   0.0232,   0.0317,   0.0293,   0.0099
A51530,1985,   3,   2.2951,   0.1704,   0.0740,   0.4055,   0.0573,   0.0208,   0.0192,   0.0065
A51530,1985,   4,   1.5190,   0.1444,   0.0992,   0.4844,   0.0666,   0.0275,   0.0255,   0.0086
A51530,1985,   5,   5.1149,   0.4216,   0.2351,   0.4836,   0.0731,   0.0927,   0.0858,   0.0290
A51530,1985,   6,   0.9994,   0.1066,   0.0643,   0.4560,   0.0845,   0.0181,   0.0168,   0.0057
A51530,1985,   7,   4.9658,   0.4331,   0.1625,   0.5089,   0.1103,   0.0450,   0.0416,   0.0141
A51530,1985,   8,   6.2994,   0.4544,   0.1625,   0.4870,   0.1038,   0.0571,   0.0528,   0.0178
A51530,1985,   9,   0.1376,   0.0115,   0.0058,   0.5078,   0.0667,   0.0012,   0.0012,   0.0004
