seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51009,1984,  51.2323,   2.7358,   1.3616,   6.3881,   0.6267,   0.5812,   0.5376,   0.1816
B51009,1985,  47.2373,   2.6898,   1.1096,   6.3092,   0.6271,   0.5004,   0.4629,   0.1564
B51009,1986,  34.6020,   2.6791,   1.2390,   6.2305,   0.6274,   0.3655,   0.3381,   0.1142
B51009,1987,  49.6262,   2.6161,   1.2018,   6.1516,   0.6278,   0.5856,   0.5417,   0.1830
B51009,1988,  34.4015,   2.3262,   1.1229,   6.0728,   0.6281,   0.3962,   0.3665,   0.1238
B51009,1989,  56.9245,   3.2324,   1.8879,   5.9940,   0.6284,   0.6919,   0.6400,   0.2162
B51009,1990,  46.5908,   2.3142,   1.4203,   5.9152,   0.6288,   0.5112,   0.4729,   0.1597
B51009,1991,  42.7702,   2.4014,   1.2396,   5.8364,   0.6291,   0.4818,   0.4457,   0.1506
B51009,1992,  45.8990,   2.3837,   1.2659,   5.7575,   0.6294,   0.5373,   0.4970,   0.1679
B51009,1993,  48.8095,   2.9399,   1.6921,   5.6787,   0.6298,   0.5429,   0.5022,   0.1697
B51009,1994,  44.9759,   2.4017,   1.4133,   5.5999,   0.6301,   0.4770,   0.4412,   0.1491
B51009,1995,  52.6848,   2.8440,   1.7246,   5.5211,   0.6304,   0.6709,   0.6206,   0.2097
B51009,1996,  55.3201,   3.0602,   1.6954,   5.4422,   0.6308,   0.6131,   0.5671,   0.1916
B51009,1997,  38.9943,   2.3745,   1.3268,   5.3634,   0.6311,   0.4333,   0.4008,   0.1354
B51009,1998,  47.5725,   2.5092,   1.3589,   5.2846,   0.6315,   0.5777,   0.5343,   0.1805
B51009,1999,  41.5643,   2.0250,   1.0988,   5.2058,   0.6318,   0.4340,   0.4014,   0.1356
B51009,2000,  42.5873,   2.1758,   1.1858,   5.1270,   0.6321,   0.5049,   0.4671,   0.1578
B51009,2001,  31.0646,   1.8851,   1.1518,   5.0481,   0.6325,   0.3612,   0.3341,   0.1129
B51009,2002,  39.8917,   2.0656,   1.2603,   4.9693,   0.6328,   0.4250,   0.3931,   0.1328
B51009,2003,  66.1226,   2.6318,   1.7828,   4.8905,   0.6331,   0.7682,   0.7106,   0.2401
B51009,2004,  48.0506,   1.8750,   1.2867,   4.8117,   0.6335,   0.5546,   0.5130,   0.1733
B51009,2005,  45.7928,   1.7784,   1.2732,   4.7328,   0.6338,   0.4883,   0.4517,   0.1526
