seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A24037,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0194,   0.0010,   0.0000,   0.0000,   0.0000
A24037,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0194,   0.0010,   0.0000,   0.0000,   0.0000
A24037,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0194,   0.0010,   0.0000,   0.0000,   0.0000
A24037,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0194,   0.0010,   0.0000,   0.0000,   0.0000
A24037,1984,   1,   5,   0.2510,   0.0224,   0.0128,   0.0194,   0.0010,   0.0023,   0.0021,   0.0007
A24037,1984,   1,   6,   0.0611,   0.0052,   0.0029,   0.0194,   0.0010,   0.0006,   0.0005,   0.0002
A24037,1984,   1,   7,   0.0057,   0.0003,   0.0001,   0.0194,   0.0010,   0.0001,   0.0000,   0.0000
A24037,1984,   1,   8,   0.0227,   0.0005,   0.0000,   0.0194,   0.0010,   0.0002,   0.0002,   0.0001
A24037,1984,   1,   9,   0.0081,   0.0002,   0.0000,   0.0194,   0.0010,   0.0001,   0.0001,   0.0000
A24037,1984,   1,  10,   0.4008,   0.0267,   0.0103,   0.0194,   0.0010,   0.0036,   0.0034,   0.0011
A24037,1984,   1,  11,   1.0073,   0.0454,   0.0153,   0.0194,   0.0010,   0.0091,   0.0084,   0.0029
A24037,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0194,   0.0010,   0.0000,   0.0000,   0.0000
A24037,1984,   1,  13,   0.0010,   0.0000,   0.0000,   0.0194,   0.0010,   0.0000,   0.0000,   0.0000
A24037,1984,   1,  14,   0.0981,   0.0027,   0.0007,   0.0194,   0.0010,   0.0009,   0.0008,   0.0003
A24037,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0194,   0.0010,   0.0000,   0.0000,   0.0000
A24037,1984,   1,  16,   0.0342,   0.0019,   0.0005,   0.0194,   0.0010,   0.0003,   0.0003,   0.0001
