seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A24027,1984,   1,   1.6125,   0.1671,   0.0792,   0.5203,   0.0534,   0.0146,   0.0135,   0.0046
A24027,1984,   2,   4.7551,   0.2627,   0.1510,   0.6002,   0.0504,   0.0431,   0.0399,   0.0135
A24027,1984,   3,   5.4221,   0.4616,   0.2555,   0.7450,   0.0990,   0.0491,   0.0455,   0.0154
A24027,1984,   4,   4.2002,   0.3389,   0.2893,   0.9242,   0.1885,   0.0761,   0.0704,   0.0238
A24027,1984,   5,   5.1678,   0.5009,   0.4459,   1.1147,   0.1682,   0.0937,   0.0867,   0.0293
A24027,1984,   6,   1.9809,   0.2234,   0.1921,   1.2490,   0.2133,   0.0359,   0.0332,   0.0112
A24027,1984,   7,   4.8283,   0.4535,   0.2350,   1.1177,   0.2349,   0.0438,   0.0405,   0.0137
A24027,1984,   8,   5.4187,   0.5801,   0.2611,   1.2494,   0.1930,   0.0491,   0.0454,   0.0153
A24027,1984,   9,   1.9437,   0.1472,   0.1017,   1.2184,   0.1392,   0.0176,   0.0163,   0.0055
A24027,1984,  10,   3.1175,   0.1912,   0.1194,   0.9753,   0.1239,   0.0283,   0.0261,   0.0088
A24027,1984,  11,   3.7960,   0.2001,   0.1174,   0.5244,   0.0821,   0.0344,   0.0318,   0.0108
A24027,1984,  12,   1.8286,   0.1466,   0.0756,   0.5180,   0.0435,   0.0166,   0.0153,   0.0052
A24027,1985,   1,   2.0775,   0.1874,   0.1072,   0.5106,   0.0531,   0.0188,   0.0174,   0.0059
A24027,1985,   2,   3.2420,   0.1426,   0.0477,   0.5890,   0.0501,   0.0294,   0.0272,   0.0092
A24027,1985,   3,   2.4669,   0.2540,   0.1569,   0.7311,   0.0984,   0.0224,   0.0207,   0.0070
A24027,1985,   4,   0.6920,   0.0895,   0.0882,   0.9070,   0.1875,   0.0125,   0.0116,   0.0039
A24027,1985,   5,   6.6281,   0.5616,   0.4363,   1.0939,   0.1672,   0.1202,   0.1112,   0.0376
A24027,1985,   6,   2.6653,   0.3660,   0.2869,   1.2257,   0.2121,   0.0483,   0.0447,   0.0151
A24027,1985,   7,   4.7182,   0.5312,   0.2800,   1.0969,   0.2336,   0.0428,   0.0396,   0.0134
A24027,1985,   8,   2.5105,   0.3103,   0.1510,   1.2261,   0.1919,   0.0228,   0.0211,   0.0071
A24027,1985,   9,   4.4782,   0.1670,   0.0654,   1.1957,   0.1384,   0.0406,   0.0375,   0.0127
A24027,1985,  10,   2.9523,   0.1933,   0.1174,   0.9571,   0.1232,   0.0268,   0.0248,   0.0084
A24027,1985,  11,   5.4904,   0.2704,   0.1515,   0.5146,   0.0817,   0.0498,   0.0460,   0.0156
A24027,1985,  12,   1.2906,   0.1020,   0.0467,   0.5083,   0.0433,   0.0117,   0.0108,   0.0037
A24027,1986,   1,   2.3463,   0.1587,   0.0729,   0.5008,   0.0528,   0.0213,   0.0197,   0.0066
A24027,1986,   2,   3.9771,   0.4039,   0.2423,   0.5778,   0.0498,   0.0361,   0.0333,   0.0113
A24027,1986,   3,   1.2098,   0.1467,   0.1128,   0.7172,   0.0978,   0.0110,   0.0101,   0.0034
A24027,1986,   4,   3.2633,   0.3783,   0.3481,   0.8897,   0.1864,   0.0592,   0.0547,   0.0185
A24027,1986,   5,   0.7934,   0.0850,   0.0811,   1.0731,   0.1662,   0.0144,   0.0133,   0.0045
A24027,1986,   6,   1.3516,   0.1969,   0.1819,   1.2024,   0.2108,   0.0245,   0.0227,   0.0077
A24027,1986,   7,   2.9063,   0.4229,   0.2639,   1.0760,   0.2322,   0.0263,   0.0244,   0.0082
A24027,1986,   8,   4.6437,   0.5639,   0.2868,   1.2028,   0.1908,   0.0421,   0.0389,   0.0132
A24027,1986,   9,   0.8861,   0.0746,   0.0492,   1.1729,   0.1376,   0.0080,   0.0074,   0.0025
A24027,1986,  10,   2.2251,   0.1898,   0.1228,   0.9389,   0.1225,   0.0202,   0.0187,   0.0063
A24027,1986,  11,   6.1041,   0.3673,   0.2023,   0.5048,   0.0812,   0.0553,   0.0512,   0.0173
A24027,1986,  12,   5.6337,   0.3022,   0.1219,   0.4987,   0.0430,   0.0511,   0.0472,   0.0160
A24027,1987,   1,   4.6589,   0.3006,   0.1312,   0.4911,   0.0525,   0.0422,   0.0391,   0.0132
A24027,1987,   2,   1.8545,   0.0899,   0.0357,   0.5666,   0.0495,   0.0168,   0.0156,   0.0053
A24027,1987,   3,   2.0868,   0.1556,   0.1115,   0.7032,   0.0973,   0.0189,   0.0175,   0.0059
A24027,1987,   4,   3.2025,   0.2560,   0.2098,   0.8725,   0.1853,   0.0581,   0.0537,   0.0181
A24027,1987,   5,   3.8329,   0.4727,   0.3506,   1.0523,   0.1653,   0.0695,   0.0643,   0.0217
A24027,1987,   6,   3.0699,   0.3672,   0.3591,   1.1791,   0.2096,   0.0557,   0.0515,   0.0174
A24027,1987,   7,   3.8689,   0.4412,   0.2818,   1.0551,   0.2308,   0.0351,   0.0324,   0.0110
A24027,1987,   8,   1.2014,   0.1757,   0.1164,   1.1794,   0.1897,   0.0109,   0.0101,   0.0034
A24027,1987,   9,   7.9765,   0.3648,   0.2136,   1.1502,   0.1368,   0.0723,   0.0669,   0.0226
A24027,1987,  10,   3.1905,   0.2708,   0.1732,   0.9207,   0.1218,   0.0289,   0.0268,   0.0090
A24027,1987,  11,   4.4667,   0.1948,   0.1242,   0.4950,   0.0807,   0.0405,   0.0375,   0.0127
A24027,1987,  12,   2.5135,   0.1801,   0.0949,   0.4890,   0.0428,   0.0228,   0.0211,   0.0071
A24027,1988,   1,   2.8612,   0.1941,   0.0736,   0.4814,   0.0522,   0.0259,   0.0240,   0.0081
A24027,1988,   2,   3.0246,   0.2766,   0.1325,   0.5554,   0.0492,   0.0274,   0.0254,   0.0086
A24027,1988,   3,   2.4560,   0.2632,   0.1806,   0.6893,   0.0967,   0.0223,   0.0206,   0.0070
A24027,1988,   4,   2.8163,   0.4119,   0.3255,   0.8552,   0.1842,   0.0511,   0.0472,   0.0160
A24027,1988,   5,   6.9353,   0.5857,   0.3954,   1.0315,   0.1643,   0.1257,   0.1163,   0.0393
A24027,1988,   6,   0.8139,   0.1128,   0.0993,   1.1558,   0.2084,   0.0148,   0.0136,   0.0046
A24027,1988,   7,   5.5941,   0.5234,   0.2505,   1.0343,   0.2295,   0.0507,   0.0469,   0.0158
A24027,1988,   8,   3.7212,   0.3626,   0.1548,   1.1561,   0.1886,   0.0337,   0.0312,   0.0105
A24027,1988,   9,   2.6061,   0.1945,   0.1089,   1.1275,   0.1360,   0.0236,   0.0219,   0.0074
A24027,1988,  10,   1.7844,   0.1378,   0.0671,   0.9024,   0.1211,   0.0162,   0.0150,   0.0051
A24027,1988,  11,   5.1752,   0.3562,   0.1994,   0.4852,   0.0802,   0.0469,   0.0434,   0.0147
A24027,1988,  12,   1.1908,   0.0992,   0.0529,   0.4793,   0.0425,   0.0108,   0.0100,   0.0034
A24027,1989,   1,   3.3305,   0.2494,   0.1578,   0.4717,   0.0519,   0.0302,   0.0279,   0.0094
A24027,1989,   2,   3.3111,   0.2627,   0.1761,   0.5441,   0.0489,   0.0300,   0.0278,   0.0094
A24027,1989,   3,   4.9648,   0.5135,   0.3921,   0.6754,   0.0961,   0.0450,   0.0416,   0.0141
A24027,1989,   4,   3.0770,   0.4097,   0.4295,   0.8380,   0.1831,   0.0558,   0.0516,   0.0174
A24027,1989,   5,  10.4668,   0.7568,   0.6708,   1.0107,   0.1633,   0.1898,   0.1755,   0.0593
A24027,1989,   6,   7.3211,   0.6386,   0.6405,   1.1324,   0.2071,   0.1327,   0.1228,   0.0415
A24027,1989,   7,   5.6887,   0.6073,   0.3991,   1.0134,   0.2281,   0.0516,   0.0477,   0.0161
A24027,1989,   8,   1.6533,   0.2452,   0.1567,   1.1328,   0.1874,   0.0150,   0.0139,   0.0047
A24027,1989,   9,   4.1757,   0.2981,   0.1671,   1.1047,   0.1352,   0.0379,   0.0350,   0.0118
A24027,1989,  10,   5.2487,   0.2565,   0.1837,   0.8842,   0.1203,   0.0476,   0.0440,   0.0149
A24027,1989,  11,   2.6312,   0.1876,   0.1694,   0.4755,   0.0798,   0.0239,   0.0221,   0.0075
A24027,1989,  12,   1.5933,   0.1641,   0.0937,   0.4696,   0.0423,   0.0144,   0.0134,   0.0045
A24027,1990,   1,   4.1474,   0.2442,   0.1914,   0.4620,   0.0516,   0.0376,   0.0348,   0.0117
A24027,1990,   2,   1.9292,   0.1410,   0.1262,   0.5329,   0.0486,   0.0175,   0.0162,   0.0055
A24027,1990,   3,   2.7531,   0.2529,   0.1857,   0.6615,   0.0956,   0.0250,   0.0231,   0.0078
A24027,1990,   4,   4.5790,   0.3906,   0.4106,   0.8207,   0.1820,   0.0830,   0.0768,   0.0259
A24027,1990,   5,   5.9890,   0.4070,   0.3530,   0.9898,   0.1624,   0.1086,   0.1004,   0.0339
A24027,1990,   6,   2.4568,   0.2187,   0.1861,   1.1091,   0.2059,   0.0445,   0.0412,   0.0139
A24027,1990,   7,   4.1011,   0.3911,   0.2628,   0.9925,   0.2268,   0.0372,   0.0344,   0.0116
A24027,1990,   8,   6.0662,   0.5327,   0.3265,   1.1095,   0.1863,   0.0550,   0.0509,   0.0172
A24027,1990,   9,   1.3785,   0.1220,   0.0881,   1.0820,   0.1344,   0.0125,   0.0116,   0.0039
A24027,1990,  10,   4.8865,   0.2579,   0.2085,   0.8660,   0.1196,   0.0443,   0.0410,   0.0138
A24027,1990,  11,   2.9269,   0.1591,   0.1082,   0.4657,   0.0793,   0.0265,   0.0245,   0.0083
A24027,1990,  12,   5.6262,   0.3493,   0.1755,   0.4600,   0.0420,   0.0510,   0.0472,   0.0159
A24027,1991,   1,   3.2009,   0.2078,   0.1145,   0.4523,   0.0513,   0.0290,   0.0268,   0.0091
A24027,1991,   2,   1.0708,   0.1119,   0.0909,   0.5217,   0.0483,   0.0097,   0.0090,   0.0030
A24027,1991,   3,   5.5026,   0.3919,   0.3017,   0.6476,   0.0950,   0.0499,   0.0461,   0.0156
A24027,1991,   4,   2.0860,   0.2032,   0.1832,   0.8034,   0.1809,   0.0378,   0.0350,   0.0118
A24027,1991,   5,   1.7916,   0.2038,   0.1787,   0.9690,   0.1614,   0.0325,   0.0300,   0.0102
A24027,1991,   6,   1.6458,   0.2107,   0.1859,   1.0858,   0.2047,   0.0298,   0.0276,   0.0093
A24027,1991,   7,   2.2274,   0.2714,   0.1710,   0.9717,   0.2254,   0.0202,   0.0187,   0.0063
A24027,1991,   8,   3.0390,   0.3428,   0.2309,   1.0861,   0.1852,   0.0275,   0.0255,   0.0086
A24027,1991,   9,   4.2901,   0.2737,   0.1958,   1.0592,   0.1336,   0.0389,   0.0360,   0.0122
A24027,1991,  10,   2.3092,   0.1655,   0.1143,   0.8478,   0.1189,   0.0209,   0.0194,   0.0065
A24027,1991,  11,   2.4499,   0.1104,   0.0846,   0.4559,   0.0788,   0.0222,   0.0205,   0.0069
A24027,1991,  12,   4.6917,   0.2351,   0.1359,   0.4503,   0.0418,   0.0425,   0.0393,   0.0133
A24027,1992,   1,   2.0946,   0.1428,   0.0734,   0.4426,   0.0510,   0.0190,   0.0176,   0.0059
A24027,1992,   2,   2.5464,   0.2263,   0.1392,   0.5105,   0.0480,   0.0231,   0.0214,   0.0072
A24027,1992,   3,   4.4446,   0.4653,   0.3108,   0.6337,   0.0944,   0.0403,   0.0373,   0.0126
A24027,1992,   4,   2.6891,   0.2622,   0.3336,   0.7862,   0.1798,   0.0488,   0.0451,   0.0152
A24027,1992,   5,   4.4766,   0.4818,   0.3628,   0.9482,   0.1604,   0.0812,   0.0751,   0.0254
A24027,1992,   6,   1.7515,   0.1371,   0.1028,   1.0625,   0.2034,   0.0318,   0.0294,   0.0099
