seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B42055,1984,  45.7315,   4.6363,   2.3321,   7.4596,   2.4356,   0.5280,   0.4884,   0.1650
B42055,1985,  40.6045,   3.6277,   1.7203,   7.3115,   2.4303,   0.4471,   0.4136,   0.1397
B42055,1986,  37.4126,   3.8920,   1.8990,   7.1634,   2.4251,   0.4202,   0.3887,   0.1313
B42055,1987,  37.8740,   3.8756,   1.8461,   7.0154,   2.4198,   0.4443,   0.4110,   0.1388
B42055,1988,  34.1857,   3.1155,   1.5288,   6.8673,   2.4146,   0.4107,   0.3799,   0.1284
B42055,1989,  42.1071,   4.0419,   2.4549,   6.7192,   2.4093,   0.5115,   0.4732,   0.1598
B42055,1990,  44.3461,   3.5960,   2.0704,   6.5712,   2.4041,   0.4934,   0.4564,   0.1542
B42055,1991,  30.9789,   3.1073,   1.6343,   6.4231,   2.3988,   0.3369,   0.3116,   0.1053
B42055,1992,  41.7773,   3.5457,   1.9302,   6.2750,   2.3935,   0.4680,   0.4329,   0.1462
B42055,1993,  49.8488,   4.4175,   2.0931,   6.1270,   2.3883,   0.5614,   0.5193,   0.1754
B42055,1994,  48.1544,   4.0741,   2.3685,   5.9789,   2.3830,   0.5298,   0.4901,   0.1656
B42055,1995,  38.2671,   3.0795,   1.7161,   5.8308,   2.3778,   0.4508,   0.4170,   0.1409
B42055,1996,  65.2760,   5.3895,   3.0749,   5.6828,   2.3725,   0.7402,   0.6847,   0.2313
B42055,1997,  38.8289,   3.1474,   1.5722,   5.5347,   2.3672,   0.4145,   0.3834,   0.1295
B42055,1998,  44.0941,   4.0598,   2.1641,   5.3867,   2.3620,   0.5412,   0.5006,   0.1691
B42055,1999,  42.1597,   3.1407,   2.0146,   5.2386,   2.3567,   0.4603,   0.4258,   0.1439
B42055,2000,  42.2713,   2.9964,   1.7994,   5.0905,   2.3515,   0.5186,   0.4797,   0.1621
B42055,2001,  28.0086,   2.2821,   1.6574,   4.9424,   2.3462,   0.3345,   0.3094,   0.1045
B42055,2002,  43.8510,   2.7833,   1.8919,   4.7944,   2.3409,   0.5041,   0.4663,   0.1575
B42055,2003,  58.2030,   3.5201,   2.8370,   4.6463,   2.3357,   0.6933,   0.6413,   0.2166
B42055,2004,  54.0638,   3.0634,   2.5081,   4.4982,   2.3304,   0.6402,   0.5922,   0.2001
B42055,2005,  40.3606,   2.2325,   1.8442,   4.3502,   2.3252,   0.4365,   0.4038,   0.1364
