seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B54071,1984,  42.5593,   2.8751,   1.3826,   6.7823,   1.1837,   0.4754,   0.4397,   0.1485
B54071,1985,  52.1401,   3.6079,   1.6581,   6.6608,   1.1783,   0.5733,   0.5303,   0.1792
B54071,1986,  33.2305,   3.2486,   1.5945,   6.5393,   1.1729,   0.3859,   0.3570,   0.1206
B54071,1987,  37.3829,   3.0196,   1.5306,   6.4178,   1.1676,   0.4524,   0.4185,   0.1414
B54071,1988,  28.3708,   2.3733,   1.1373,   6.2963,   1.1622,   0.3382,   0.3129,   0.1057
B54071,1989,  48.0364,   3.4442,   1.8558,   6.1748,   1.1568,   0.5674,   0.5248,   0.1773
B54071,1990,  39.5855,   2.6167,   1.4622,   6.0534,   1.1514,   0.4568,   0.4225,   0.1428
B54071,1991,  35.3283,   2.5066,   1.1443,   5.9319,   1.1461,   0.3781,   0.3497,   0.1181
B54071,1992,  34.7867,   2.6267,   1.3238,   5.8104,   1.1407,   0.4088,   0.3782,   0.1278
B54071,1993,  39.7540,   2.9588,   1.4345,   5.6889,   1.1353,   0.4424,   0.4092,   0.1383
B54071,1994,  42.0906,   2.6803,   1.5005,   5.5674,   1.1299,   0.4681,   0.4330,   0.1463
B54071,1995,  38.3845,   2.7873,   1.7184,   5.4460,   1.1246,   0.4622,   0.4275,   0.1444
B54071,1996,  61.2446,   4.0197,   2.1176,   5.3245,   1.1192,   0.7035,   0.6508,   0.2199
B54071,1997,  36.1647,   2.4519,   1.2449,   5.2030,   1.1138,   0.3997,   0.3697,   0.1249
B54071,1998,  38.5760,   2.6496,   1.4299,   5.0815,   1.1084,   0.4847,   0.4484,   0.1515
B54071,1999,  34.9033,   2.1438,   1.1430,   4.9600,   1.1031,   0.3699,   0.3421,   0.1156
B54071,2000,  37.6693,   2.1772,   1.2119,   4.8386,   1.0977,   0.4540,   0.4200,   0.1419
B54071,2001,  35.2318,   2.2254,   1.3290,   4.7171,   1.0923,   0.4234,   0.3917,   0.1323
B54071,2002,  48.0170,   2.6115,   1.6760,   4.5956,   1.0869,   0.5686,   0.5259,   0.1777
B54071,2003,  57.3928,   2.7586,   1.8578,   4.4741,   1.0816,   0.6798,   0.6288,   0.2124
B54071,2004,  46.2025,   2.1663,   1.5451,   4.3526,   1.0762,   0.5569,   0.5151,   0.1740
B54071,2005,  37.8971,   1.9315,   1.4829,   4.2311,   1.0708,   0.4257,   0.3938,   0.1330
