seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51091,1984,  41.4294,   2.4509,   1.2162,   5.7629,   0.7303,   0.4548,   0.4207,   0.1421
B51091,1985,  45.3175,   2.9078,   1.2857,   5.6778,   0.7311,   0.4893,   0.4526,   0.1529
B51091,1986,  34.9195,   3.0438,   1.4787,   5.5927,   0.7320,   0.4022,   0.3721,   0.1257
B51091,1987,  40.4477,   2.6446,   1.3131,   5.5077,   0.7328,   0.4809,   0.4449,   0.1503
B51091,1988,  30.1600,   2.2938,   1.0640,   5.4226,   0.7337,   0.3411,   0.3155,   0.1066
B51091,1989,  49.7926,   3.1078,   1.7572,   5.3375,   0.7345,   0.6022,   0.5571,   0.1882
B51091,1990,  44.7651,   2.5291,   1.5474,   5.2524,   0.7353,   0.5051,   0.4672,   0.1578
B51091,1991,  39.2467,   2.3951,   1.2015,   5.1674,   0.7362,   0.4137,   0.3827,   0.1293
B51091,1992,  42.8795,   2.7451,   1.4807,   5.0823,   0.7370,   0.5198,   0.4808,   0.1624
B51091,1993,  42.9503,   2.8875,   1.6079,   4.9972,   0.7378,   0.4828,   0.4466,   0.1509
B51091,1994,  42.6734,   2.4258,   1.4463,   4.9121,   0.7387,   0.4672,   0.4322,   0.1460
B51091,1995,  41.5692,   2.5540,   1.6032,   4.8270,   0.7395,   0.5141,   0.4755,   0.1606
B51091,1996,  59.3271,   3.5636,   1.9631,   4.7420,   0.7404,   0.6847,   0.6333,   0.2140
B51091,1997,  38.1871,   2.4378,   1.3336,   4.6569,   0.7412,   0.4262,   0.3942,   0.1332
B51091,1998,  41.6032,   2.4452,   1.3852,   4.5718,   0.7420,   0.5126,   0.4742,   0.1602
B51091,1999,  36.5531,   2.0787,   1.1386,   4.4867,   0.7429,   0.3883,   0.3592,   0.1213
B51091,2000,  40.9281,   2.2713,   1.2942,   4.4016,   0.7437,   0.5030,   0.4652,   0.1572
B51091,2001,  32.7800,   1.9511,   1.1873,   4.3165,   0.7445,   0.3899,   0.3607,   0.1218
B51091,2002,  44.3834,   2.3561,   1.5351,   4.2315,   0.7454,   0.5166,   0.4779,   0.1614
B51091,2003,  59.7971,   2.7436,   1.9565,   4.1464,   0.7462,   0.7150,   0.6614,   0.2234
B51091,2004,  47.3993,   1.9428,   1.4098,   4.0613,   0.7471,   0.5603,   0.5183,   0.1751
B51091,2005,  41.0828,   1.9563,   1.6386,   3.9762,   0.7479,   0.4512,   0.4174,   0.1410
