seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A24013,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,   4,   0.0012,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,   5,   0.0098,   0.0008,   0.0012,   0.0137,   0.0014,   0.0001,   0.0001,   0.0000
A24013,1984,   1,   6,   0.0044,   0.0001,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,   7,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,   8,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  10,   0.1705,   0.0184,   0.0079,   0.0137,   0.0014,   0.0015,   0.0014,   0.0005
A24013,1984,   1,  11,   0.3751,   0.0335,   0.0149,   0.0137,   0.0014,   0.0034,   0.0031,   0.0011
A24013,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  13,   0.0025,   0.0002,   0.0001,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  14,   0.0948,   0.0078,   0.0025,   0.0137,   0.0014,   0.0009,   0.0008,   0.0003
A24013,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  16,   0.0908,   0.0091,   0.0036,   0.0137,   0.0014,   0.0008,   0.0008,   0.0003
A24013,1984,   1,  17,   0.0078,   0.0009,   0.0003,   0.0137,   0.0014,   0.0001,   0.0001,   0.0000
A24013,1984,   1,  18,   0.4160,   0.0596,   0.0281,   0.0137,   0.0014,   0.0038,   0.0035,   0.0012
A24013,1984,   1,  19,   0.0525,   0.0062,   0.0026,   0.0137,   0.0014,   0.0005,   0.0004,   0.0001
A24013,1984,   1,  20,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  21,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  22,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  23,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  24,   0.3699,   0.0329,   0.0131,   0.0137,   0.0014,   0.0034,   0.0031,   0.0010
A24013,1984,   1,  25,   0.0144,   0.0012,   0.0006,   0.0137,   0.0014,   0.0001,   0.0001,   0.0000
A24013,1984,   1,  26,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  27,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  28,   0.0000,   0.0000,   0.0000,   0.0137,   0.0014,   0.0000,   0.0000,   0.0000
A24013,1984,   1,  29,   0.0713,   0.0066,   0.0025,   0.0137,   0.0014,   0.0006,   0.0006,   0.0002
