seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
C51071,1984,   1,   0.9813,   0.0585,   0.0288,   0.4922,   0.0170,   0.0089,   0.0082,   0.0028
C51071,1984,   2,   4.8633,   0.1233,   0.1016,   0.5123,   0.0239,   0.0441,   0.0408,   0.0138
C51071,1984,   3,   3.6118,   0.2766,   0.2057,   0.5051,   0.0430,   0.0327,   0.0303,   0.0102
C51071,1984,   4,   4.7588,   0.2822,   0.2095,   0.6094,   0.0564,   0.0863,   0.0798,   0.0270
C51071,1984,   5,   4.5645,   0.2186,   0.1892,   0.6385,   0.0525,   0.0828,   0.0765,   0.0259
C51071,1984,   6,   2.7453,   0.1938,   0.1479,   0.4734,   0.0595,   0.0498,   0.0460,   0.0156
C51071,1984,   7,   4.2030,   0.2686,   0.1326,   0.6473,   0.0917,   0.0381,   0.0352,   0.0119
C51071,1984,   8,   4.1042,   0.2588,   0.1216,   0.5314,   0.0445,   0.0372,   0.0344,   0.0116
C51071,1984,   9,   0.7107,   0.0415,   0.0252,   0.5870,   0.0410,   0.0064,   0.0060,   0.0020
C51071,1984,  10,   2.5387,   0.1056,   0.0608,   0.5587,   0.0259,   0.0230,   0.0213,   0.0072
C51071,1984,  11,   2.9486,   0.1141,   0.0715,   0.4461,   0.0355,   0.0267,   0.0247,   0.0084
C51071,1984,  12,   2.0825,   0.0854,   0.0513,   0.5035,   0.0135,   0.0189,   0.0175,   0.0059
C51071,1985,   1,   2.2729,   0.0997,   0.0456,   0.4845,   0.0170,   0.0206,   0.0191,   0.0064
C51071,1985,   2,   3.1216,   0.1163,   0.0441,   0.5042,   0.0239,   0.0283,   0.0262,   0.0088
C51071,1985,   3,   1.9115,   0.1516,   0.0722,   0.4972,   0.0429,   0.0173,   0.0160,   0.0054
C51071,1985,   4,   1.4533,   0.1184,   0.0848,   0.5998,   0.0563,   0.0263,   0.0244,   0.0082
C51071,1985,   5,   4.2861,   0.3792,   0.2250,   0.6285,   0.0524,   0.0777,   0.0719,   0.0243
C51071,1985,   6,   2.3919,   0.1816,   0.1081,   0.4659,   0.0594,   0.0434,   0.0401,   0.0136
C51071,1985,   7,   4.7273,   0.3702,   0.1499,   0.6372,   0.0915,   0.0429,   0.0396,   0.0134
C51071,1985,   8,   6.1602,   0.3791,   0.1344,   0.5231,   0.0444,   0.0558,   0.0517,   0.0174
C51071,1985,   9,   0.3935,   0.0316,   0.0166,   0.5778,   0.0410,   0.0036,   0.0033,   0.0011
C51071,1985,  10,   2.0081,   0.1550,   0.0679,   0.5500,   0.0259,   0.0182,   0.0168,   0.0057
C51071,1985,  11,   6.4855,   0.2292,   0.0908,   0.4391,   0.0354,   0.0588,   0.0544,   0.0184
C51071,1985,  12,   0.6536,   0.0408,   0.0173,   0.4956,   0.0134,   0.0059,   0.0055,   0.0019
C51071,1986,   1,   1.4057,   0.0885,   0.0406,   0.4768,   0.0170,   0.0127,   0.0118,   0.0040
C51071,1986,   2,   2.3754,   0.1867,   0.1075,   0.4962,   0.0239,   0.0215,   0.0199,   0.0067
C51071,1986,   3,   2.1531,   0.1483,   0.0781,   0.4893,   0.0428,   0.0195,   0.0181,   0.0061
C51071,1986,   4,   1.0286,   0.1074,   0.0931,   0.5903,   0.0562,   0.0186,   0.0172,   0.0058
C51071,1986,   5,   4.6114,   0.4027,   0.2635,   0.6185,   0.0523,   0.0836,   0.0773,   0.0261
C51071,1986,   6,   1.6698,   0.2114,   0.1179,   0.4585,   0.0593,   0.0303,   0.0280,   0.0095
C51071,1986,   7,   5.4551,   0.4712,   0.2266,   0.6271,   0.0914,   0.0494,   0.0457,   0.0155
C51071,1986,   8,   4.3558,   0.4544,   0.1863,   0.5148,   0.0443,   0.0395,   0.0365,   0.0123
C51071,1986,   9,   2.2611,   0.1042,   0.0435,   0.5686,   0.0409,   0.0205,   0.0190,   0.0064
C51071,1986,  10,   2.0085,   0.1379,   0.0687,   0.5413,   0.0258,   0.0182,   0.0168,   0.0057
C51071,1986,  11,   3.9392,   0.2728,   0.1152,   0.4321,   0.0354,   0.0357,   0.0330,   0.0112
C51071,1986,  12,   3.8109,   0.1805,   0.0587,   0.4877,   0.0134,   0.0345,   0.0320,   0.0108
C51071,1987,   1,   3.7497,   0.1435,   0.0561,   0.4691,   0.0169,   0.0340,   0.0314,   0.0106
C51071,1987,   2,   3.4112,   0.1440,   0.0587,   0.4882,   0.0238,   0.0309,   0.0286,   0.0097
C51071,1987,   3,   4.1071,   0.3086,   0.1721,   0.4814,   0.0427,   0.0372,   0.0344,   0.0116
C51071,1987,   4,   7.5726,   0.3918,   0.2652,   0.5807,   0.0561,   0.1373,   0.1270,   0.0429
C51071,1987,   5,   1.7488,   0.1711,   0.1074,   0.6085,   0.0522,   0.0317,   0.0293,   0.0099
C51071,1987,   6,   2.1861,   0.1805,   0.1152,   0.4511,   0.0592,   0.0396,   0.0367,   0.0124
C51071,1987,   7,   2.4405,   0.1868,   0.0820,   0.6169,   0.0912,   0.0221,   0.0205,   0.0069
C51071,1987,   8,   1.6771,   0.1506,   0.0763,   0.5065,   0.0442,   0.0152,   0.0141,   0.0048
C51071,1987,   9,   3.5100,   0.1661,   0.0865,   0.5594,   0.0408,   0.0318,   0.0294,   0.0099
C51071,1987,  10,   1.0785,   0.0743,   0.0388,   0.5325,   0.0258,   0.0098,   0.0090,   0.0031
C51071,1987,  11,   2.7388,   0.0980,   0.0510,   0.4251,   0.0353,   0.0248,   0.0230,   0.0078
C51071,1987,  12,   2.4985,   0.0947,   0.0415,   0.4798,   0.0134,   0.0226,   0.0209,   0.0071
C51071,1988,   1,   1.5443,   0.0713,   0.0250,   0.4614,   0.0169,   0.0140,   0.0129,   0.0044
C51071,1988,   2,   1.3066,   0.0670,   0.0422,   0.4802,   0.0238,   0.0118,   0.0110,   0.0037
C51071,1988,   3,   1.1188,   0.0701,   0.0501,   0.4735,   0.0427,   0.0101,   0.0094,   0.0032
C51071,1988,   4,   2.6910,   0.1720,   0.1151,   0.5712,   0.0560,   0.0488,   0.0451,   0.0152
C51071,1988,   5,   2.3783,   0.1995,   0.1241,   0.5985,   0.0521,   0.0431,   0.0399,   0.0135
C51071,1988,   6,   2.1052,   0.2135,   0.1508,   0.4437,   0.0591,   0.0382,   0.0353,   0.0119
C51071,1988,   7,   3.4840,   0.2532,   0.1125,   0.6068,   0.0911,   0.0316,   0.0292,   0.0099
C51071,1988,   8,   2.7107,   0.2159,   0.0922,   0.4981,   0.0442,   0.0246,   0.0227,   0.0077
C51071,1988,   9,   4.1701,   0.2155,   0.1107,   0.5502,   0.0408,   0.0378,   0.0350,   0.0118
C51071,1988,  10,   2.0674,   0.0958,   0.0450,   0.5238,   0.0257,   0.0187,   0.0173,   0.0059
C51071,1988,  11,   2.2030,   0.1035,   0.0557,   0.4182,   0.0353,   0.0200,   0.0185,   0.0062
C51071,1988,  12,   1.4568,   0.0652,   0.0238,   0.4719,   0.0134,   0.0132,   0.0122,   0.0041
C51071,1989,   1,   1.8425,   0.0911,   0.0527,   0.4536,   0.0169,   0.0167,   0.0154,   0.0052
C51071,1989,   2,   2.3834,   0.1599,   0.1186,   0.4722,   0.0237,   0.0216,   0.0200,   0.0068
C51071,1989,   3,   2.5882,   0.2395,   0.1523,   0.4656,   0.0426,   0.0235,   0.0217,   0.0073
C51071,1989,   4,   3.4335,   0.2487,   0.2242,   0.5617,   0.0559,   0.0622,   0.0576,   0.0195
C51071,1989,   5,   4.1611,   0.2587,   0.1941,   0.5885,   0.0520,   0.0754,   0.0698,   0.0236
C51071,1989,   6,   5.4841,   0.3307,   0.2590,   0.4363,   0.0590,   0.0994,   0.0920,   0.0311
C51071,1989,   7,   4.8006,   0.3804,   0.2137,   0.5967,   0.0909,   0.0435,   0.0403,   0.0136
C51071,1989,   8,   5.3249,   0.3805,   0.1881,   0.4898,   0.0441,   0.0483,   0.0446,   0.0151
C51071,1989,   9,   7.6202,   0.3288,   0.1685,   0.5410,   0.0407,   0.0691,   0.0639,   0.0216
C51071,1989,  10,   4.0977,   0.1407,   0.0852,   0.5150,   0.0257,   0.0371,   0.0344,   0.0116
C51071,1989,  11,   2.6339,   0.1284,   0.0800,   0.4112,   0.0352,   0.0239,   0.0221,   0.0075
C51071,1989,  12,   1.8515,   0.1300,   0.0538,   0.4641,   0.0134,   0.0168,   0.0155,   0.0052
C51071,1990,   1,   2.9459,   0.1147,   0.0857,   0.4459,   0.0168,   0.0267,   0.0247,   0.0083
C51071,1990,   2,   3.6896,   0.1155,   0.1158,   0.4641,   0.0237,   0.0334,   0.0309,   0.0105
C51071,1990,   3,   3.3330,   0.1971,   0.1516,   0.4577,   0.0425,   0.0302,   0.0279,   0.0094
C51071,1990,   4,   2.0708,   0.1650,   0.1489,   0.5521,   0.0558,   0.0375,   0.0347,   0.0117
C51071,1990,   5,   5.6030,   0.3228,   0.2745,   0.5785,   0.0519,   0.1016,   0.0940,   0.0317
C51071,1990,   6,   1.2476,   0.0724,   0.0710,   0.4289,   0.0589,   0.0226,   0.0209,   0.0071
C51071,1990,   7,   3.4844,   0.1765,   0.1241,   0.5865,   0.0907,   0.0316,   0.0292,   0.0099
C51071,1990,   8,   5.4387,   0.3810,   0.2406,   0.4815,   0.0440,   0.0493,   0.0456,   0.0154
C51071,1990,   9,   2.0807,   0.1287,   0.0923,   0.5319,   0.0406,   0.0189,   0.0174,   0.0059
C51071,1990,  10,   6.3412,   0.1679,   0.1329,   0.5063,   0.0257,   0.0575,   0.0532,   0.0180
C51071,1990,  11,   1.1843,   0.0506,   0.0293,   0.4042,   0.0351,   0.0107,   0.0099,   0.0034
C51071,1990,  12,   3.5548,   0.1344,   0.0743,   0.4562,   0.0133,   0.0322,   0.0298,   0.0101
C51071,1991,   1,   2.8802,   0.1120,   0.0481,   0.4382,   0.0168,   0.0261,   0.0242,   0.0082
C51071,1991,   2,   2.1336,   0.0842,   0.0588,   0.4561,   0.0236,   0.0193,   0.0179,   0.0060
C51071,1991,   3,   5.8716,   0.2997,   0.1620,   0.4497,   0.0424,   0.0532,   0.0492,   0.0166
C51071,1991,   4,   2.3816,   0.1807,   0.1391,   0.5426,   0.0557,   0.0432,   0.0399,   0.0135
