seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A42063,1984,   1,   1.8158,   0.2249,   0.0693,   0.6403,   0.0233,   0.0165,   0.0152,   0.0051
A42063,1984,   2,   3.5582,   0.2985,   0.1199,   0.5985,   0.0281,   0.0323,   0.0298,   0.0101
A42063,1984,   3,   3.6558,   0.4854,   0.2149,   0.6407,   0.0562,   0.0331,   0.0307,   0.0104
A42063,1984,   4,   4.3543,   0.5093,   0.3186,   0.6854,   0.0628,   0.0789,   0.0730,   0.0247
A42063,1984,   5,   5.0643,   0.6395,   0.3845,   0.7304,   0.0663,   0.0918,   0.0849,   0.0287
A42063,1984,   6,   4.8145,   0.4639,   0.3365,   1.0475,   0.1138,   0.0873,   0.0807,   0.0273
A42063,1984,   7,   4.4172,   0.4828,   0.2381,   1.0312,   0.0976,   0.0400,   0.0370,   0.0125
A42063,1984,   8,   6.9944,   0.6602,   0.2523,   0.7939,   0.0757,   0.0634,   0.0586,   0.0198
A42063,1984,   9,   1.3320,   0.1638,   0.0756,   0.6936,   0.0501,   0.0121,   0.0112,   0.0038
A42063,1984,  10,   2.8848,   0.3347,   0.1466,   0.6804,   0.0434,   0.0261,   0.0242,   0.0082
A42063,1984,  11,   3.3850,   0.2180,   0.0780,   0.6091,   0.0458,   0.0307,   0.0284,   0.0096
A42063,1984,  12,   4.2609,   0.3707,   0.1140,   0.5592,   0.0173,   0.0386,   0.0357,   0.0121
A42063,1985,   1,   2.1258,   0.2615,   0.0891,   0.6311,   0.0232,   0.0193,   0.0178,   0.0060
A42063,1985,   2,   2.2174,   0.2174,   0.0713,   0.5899,   0.0281,   0.0201,   0.0186,   0.0063
A42063,1985,   3,   6.3668,   0.5144,   0.2152,   0.6315,   0.0560,   0.0577,   0.0534,   0.0180
A42063,1985,   4,   2.3601,   0.2170,   0.1407,   0.6756,   0.0626,   0.0428,   0.0396,   0.0134
A42063,1985,   5,   5.2850,   0.5304,   0.3428,   0.7199,   0.0661,   0.0958,   0.0886,   0.0299
A42063,1985,   6,   3.0036,   0.3282,   0.2009,   1.0325,   0.1135,   0.0545,   0.0504,   0.0170
A42063,1985,   7,   3.4040,   0.3414,   0.1581,   1.0164,   0.0973,   0.0309,   0.0285,   0.0096
