seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51135,1984,  47.3210,   2.5862,   1.2629,   6.8279,   1.0594,   0.5219,   0.4828,   0.1631
A51135,1985,  48.3645,   2.6047,   1.1397,   6.7410,   1.0717,   0.4970,   0.4597,   0.1553
A51135,1986,  35.4060,   2.7136,   1.2887,   6.6541,   1.0839,   0.3697,   0.3420,   0.1155
A51135,1987,  45.7118,   2.7296,   1.2410,   6.5672,   1.0962,   0.5211,   0.4820,   0.1628
A51135,1988,  35.4122,   2.4403,   1.1906,   6.4803,   1.1084,   0.4082,   0.3776,   0.1276
A51135,1989,  49.7290,   3.1094,   1.8445,   6.3933,   1.1207,   0.5924,   0.5479,   0.1851
A51135,1990,  39.0665,   2.2732,   1.4672,   6.3064,   1.1329,   0.4546,   0.4205,   0.1420
A51135,1991,  38.6153,   2.2615,   1.2324,   6.2195,   1.1452,   0.4047,   0.3743,   0.1265
A51135,1992,  41.8478,   2.3970,   1.3318,   6.1326,   1.1574,   0.4808,   0.4447,   0.1502
A51135,1993,  50.5930,   2.7692,   1.7181,   6.0457,   1.1697,   0.5702,   0.5274,   0.1782
A51135,1994,  45.4876,   2.4956,   1.6207,   5.9588,   1.1819,   0.4964,   0.4592,   0.1551
A51135,1995,  44.5877,   2.5673,   1.5650,   5.8718,   1.1942,   0.5203,   0.4813,   0.1626
A51135,1996,  58.3043,   3.1824,   1.9081,   5.7849,   1.2064,   0.6153,   0.5691,   0.1923
A51135,1997,  38.5630,   2.3873,   1.4573,   5.6980,   1.2187,   0.4306,   0.3983,   0.1346
A51135,1998,  45.3167,   2.4603,   1.4691,   5.6111,   1.2309,   0.5279,   0.4883,   0.1650
A51135,1999,  44.6364,   2.4028,   1.4401,   5.5242,   1.2432,   0.4776,   0.4418,   0.1493
A51135,2000,  41.9103,   2.5250,   1.5777,   5.4372,   1.2554,   0.5195,   0.4805,   0.1623
A51135,2001,  36.4185,   2.2317,   1.5284,   5.3503,   1.2677,   0.4355,   0.4029,   0.1361
A51135,2002,  42.1249,   1.9185,   1.2803,   5.2634,   1.2799,   0.4527,   0.4188,   0.1415
A51135,2003,  67.3123,   3.1424,   2.5662,   5.1765,   1.2922,   0.8089,   0.7482,   0.2528
A51135,2004,  51.5577,   2.2379,   1.7173,   5.0895,   1.3044,   0.5846,   0.5408,   0.1827
A51135,2005,  38.4272,   1.6545,   1.3110,   5.0026,   1.3167,   0.4092,   0.3785,   0.1279
