seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51157,1984,  45.2030,   2.8900,   1.3473,   8.6693,   1.6811,   0.4957,   0.4585,   0.1549
B51157,1985,  40.9974,   2.8432,   1.2296,   8.4947,   1.6822,   0.4456,   0.4122,   0.1393
B51157,1986,  34.2116,   3.2188,   1.4310,   8.3202,   1.6834,   0.3571,   0.3303,   0.1116
B51157,1987,  42.0608,   3.2050,   1.4733,   8.1456,   1.6845,   0.5030,   0.4652,   0.1572
B51157,1988,  31.8200,   2.6259,   1.2805,   7.9711,   1.6857,   0.3805,   0.3519,   0.1189
B51157,1989,  44.6078,   2.8005,   2.0922,   7.7966,   1.6868,   0.5571,   0.5154,   0.1741
B51157,1990,  45.9397,   2.1999,   1.6013,   7.6220,   1.6880,   0.5095,   0.4713,   0.1592
B51157,1991,  35.5254,   1.9774,   1.3266,   7.4475,   1.6891,   0.3912,   0.3619,   0.1223
B51157,1992,  47.0115,   1.9790,   1.3409,   7.2729,   1.6903,   0.5313,   0.4915,   0.1660
B51157,1993,  46.6163,   2.4600,   1.7201,   7.0984,   1.6914,   0.5202,   0.4812,   0.1626
B51157,1994,  48.3452,   2.6229,   1.9344,   6.9238,   1.6926,   0.5309,   0.4911,   0.1659
B51157,1995,  43.8537,   2.7627,   1.6793,   6.7493,   1.6938,   0.5169,   0.4781,   0.1615
B51157,1996,  63.7416,   3.8451,   2.0709,   6.5747,   1.6949,   0.7016,   0.6490,   0.2193
B51157,1997,  41.9440,   2.2795,   1.5066,   6.4001,   1.6961,   0.4618,   0.4271,   0.1443
B51157,1998,  43.5339,   2.1671,   1.6434,   6.2256,   1.6972,   0.5323,   0.4924,   0.1663
B51157,1999,  39.9948,   1.8218,   1.2472,   6.0511,   1.6984,   0.4109,   0.3801,   0.1284
B51157,2000,  43.9009,   2.1178,   1.4412,   5.8765,   1.6995,   0.5181,   0.4792,   0.1619
B51157,2001,  35.2508,   1.8935,   1.5011,   5.7020,   1.7007,   0.4165,   0.3853,   0.1302
B51157,2002,  40.6074,   2.1563,   1.8112,   5.5274,   1.7018,   0.4821,   0.4459,   0.1506
B51157,2003,  64.9936,   2.3857,   2.0483,   5.3529,   1.7030,   0.7471,   0.6910,   0.2335
B51157,2004,  44.8876,   1.6319,   1.5568,   5.1783,   1.7041,   0.5250,   0.4857,   0.1641
B51157,2005,  40.7623,   1.6025,   1.4647,   5.0037,   1.7053,   0.4575,   0.4232,   0.1430
