seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51113,1984,   1,   1.5186,   0.1060,   0.0343,   0.6184,   0.0479,   0.0138,   0.0127,   0.0043
B51113,1984,   2,   5.8665,   0.1515,   0.0638,   0.6352,   0.0672,   0.0532,   0.0492,   0.0166
B51113,1984,   3,   6.0438,   0.3481,   0.1510,   0.7896,   0.0952,   0.0548,   0.0507,   0.0171
B51113,1984,   4,   5.2352,   0.3325,   0.2026,   0.8029,   0.1825,   0.0949,   0.0878,   0.0297
B51113,1984,   5,   3.6025,   0.2663,   0.1731,   0.8242,   0.1484,   0.0653,   0.0604,   0.0204
B51113,1984,   6,   1.7083,   0.1836,   0.1192,   0.6595,   0.2464,   0.0310,   0.0286,   0.0097
B51113,1984,   7,   6.6286,   0.4467,   0.1905,   0.8249,   0.3507,   0.0601,   0.0556,   0.0188
B51113,1984,   8,   7.1093,   0.4751,   0.1791,   0.7941,   0.2155,   0.0644,   0.0596,   0.0201
B51113,1984,   9,   1.9497,   0.1291,   0.0695,   0.9718,   0.1154,   0.0177,   0.0163,   0.0055
B51113,1984,  10,   3.2031,   0.1522,   0.0743,   0.9779,   0.0936,   0.0290,   0.0269,   0.0091
B51113,1984,  11,   2.7130,   0.1165,   0.0471,   0.5542,   0.1273,   0.0246,   0.0227,   0.0077
B51113,1984,  12,   1.3669,   0.0967,   0.0355,   0.6322,   0.0180,   0.0124,   0.0115,   0.0039
B51113,1985,   1,   2.3520,   0.1474,   0.0515,   0.6050,   0.0480,   0.0213,   0.0197,   0.0067
B51113,1985,   2,   3.7647,   0.1447,   0.0441,   0.6214,   0.0674,   0.0341,   0.0316,   0.0107
B51113,1985,   3,   1.4960,   0.1303,   0.0521,   0.7725,   0.0954,   0.0136,   0.0125,   0.0042
B51113,1985,   4,   0.7400,   0.0903,   0.0614,   0.7854,   0.1828,   0.0134,   0.0124,   0.0042
B51113,1985,   5,   5.5438,   0.5391,   0.2888,   0.8063,   0.1486,   0.1005,   0.0930,   0.0314
B51113,1985,   6,   2.6870,   0.2530,   0.1332,   0.6452,   0.2468,   0.0487,   0.0451,   0.0152
B51113,1985,   7,   5.4282,   0.5444,   0.2301,   0.8070,   0.3513,   0.0492,   0.0455,   0.0154
B51113,1985,   8,   5.8893,   0.5277,   0.1969,   0.7769,   0.2159,   0.0534,   0.0494,   0.0167
