seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51087,1984,   1,   4.1948,   0.2268,   0.1329,   0.5785,   0.0834,   0.0380,   0.0352,   0.0119
A51087,1984,   2,   4.4369,   0.1819,   0.1441,   0.6112,   0.0752,   0.0402,   0.0372,   0.0126
A51087,1984,   3,   8.7055,   0.4746,   0.3563,   0.7851,   0.1309,   0.0789,   0.0730,   0.0247
A51087,1984,   4,   5.4165,   0.3374,   0.3976,   0.8617,   0.1693,   0.0982,   0.0908,   0.0307
A51087,1984,   5,   5.1141,   0.3505,   0.4282,   0.9694,   0.1634,   0.0927,   0.0858,   0.0290
A51087,1984,   6,   1.7017,   0.1491,   0.1778,   0.8842,   0.1820,   0.0309,   0.0285,   0.0096
A51087,1984,   7,   4.6511,   0.3409,   0.2042,   0.9190,   0.1934,   0.0422,   0.0390,   0.0132
A51087,1984,   8,   3.5894,   0.3127,   0.1907,   1.0278,   0.1617,   0.0325,   0.0301,   0.0102
A51087,1984,   9,   1.2097,   0.0920,   0.0847,   0.9301,   0.1456,   0.0110,   0.0101,   0.0034
A51087,1984,  10,   2.3307,   0.1166,   0.0982,   0.8496,   0.1072,   0.0211,   0.0195,   0.0066
A51087,1984,  11,   3.5774,   0.1577,   0.1260,   0.4643,   0.1115,   0.0324,   0.0300,   0.0101
A51087,1984,  12,   1.6777,   0.0875,   0.0586,   0.4464,   0.0590,   0.0152,   0.0141,   0.0048
A51087,1985,   1,   3.5888,   0.1894,   0.1494,   0.5686,   0.0834,   0.0325,   0.0301,   0.0102
A51087,1985,   2,   3.3938,   0.1343,   0.0749,   0.6008,   0.0752,   0.0308,   0.0285,   0.0096
A51087,1985,   3,   1.4841,   0.1417,   0.1280,   0.7717,   0.1309,   0.0135,   0.0124,   0.0042
A51087,1985,   4,   0.5705,   0.0567,   0.0889,   0.8470,   0.1693,   0.0103,   0.0096,   0.0032
A51087,1985,   5,   3.0219,   0.2994,   0.3047,   0.9529,   0.1634,   0.0548,   0.0507,   0.0171
A51087,1985,   6,   3.1724,   0.3339,   0.3887,   0.8691,   0.1820,   0.0575,   0.0532,   0.0180
A51087,1985,   7,   4.8321,   0.4485,   0.2937,   0.9033,   0.1934,   0.0438,   0.0405,   0.0137
A51087,1985,   8,   9.8944,   0.6294,   0.3938,   1.0102,   0.1617,   0.0897,   0.0830,   0.0280
A51087,1985,   9,   4.4757,   0.1747,   0.1040,   0.9142,   0.1456,   0.0406,   0.0375,   0.0127
A51087,1985,  10,   5.1288,   0.1997,   0.1329,   0.8351,   0.1072,   0.0465,   0.0430,   0.0145
A51087,1985,  11,   7.7228,   0.2835,   0.2433,   0.4564,   0.1115,   0.0700,   0.0648,   0.0219
A51087,1985,  12,   0.7998,   0.0542,   0.0346,   0.4388,   0.0590,   0.0073,   0.0067,   0.0023
A51087,1986,   1,   2.6386,   0.1421,   0.0939,   0.5588,   0.0834,   0.0239,   0.0221,   0.0075
A51087,1986,   2,   2.8692,   0.2381,   0.2011,   0.5903,   0.0752,   0.0260,   0.0241,   0.0081
A51087,1986,   3,   1.5571,   0.1372,   0.1433,   0.7582,   0.1309,   0.0141,   0.0131,   0.0044
A51087,1986,   4,   1.3857,   0.1807,   0.2596,   0.8322,   0.1693,   0.0251,   0.0232,   0.0079
A51087,1986,   5,   3.3366,   0.2539,   0.2924,   0.9363,   0.1634,   0.0605,   0.0560,   0.0189
A51087,1986,   6,   1.2067,   0.1575,   0.1940,   0.8539,   0.1820,   0.0219,   0.0202,   0.0068
A51087,1986,   7,   4.8538,   0.5008,   0.3572,   0.8876,   0.1934,   0.0440,   0.0407,   0.0137
A51087,1986,   8,   6.8029,   0.5975,   0.4147,   0.9926,   0.1617,   0.0617,   0.0570,   0.0193
A51087,1986,   9,   0.6545,   0.0801,   0.0580,   0.8983,   0.1456,   0.0059,   0.0055,   0.0019
A51087,1986,  10,   2.6344,   0.1485,   0.1179,   0.8206,   0.1072,   0.0239,   0.0221,   0.0075
A51087,1986,  11,   2.4522,   0.1919,   0.1448,   0.4485,   0.1115,   0.0222,   0.0206,   0.0069
A51087,1986,  12,   5.3027,   0.2119,   0.1102,   0.4311,   0.0590,   0.0481,   0.0445,   0.0150
A51087,1987,   1,   6.2370,   0.3150,   0.1476,   0.5489,   0.0834,   0.0565,   0.0523,   0.0177
A51087,1987,   2,   2.3669,   0.1189,   0.0570,   0.5799,   0.0752,   0.0215,   0.0198,   0.0067
A51087,1987,   3,   2.1313,   0.1759,   0.1600,   0.7448,   0.1308,   0.0193,   0.0179,   0.0060
A51087,1987,   4,   6.7325,   0.3776,   0.3694,   0.8175,   0.1693,   0.1221,   0.1129,   0.0381
A51087,1987,   5,   2.3969,   0.2736,   0.3001,   0.9197,   0.1633,   0.0435,   0.0402,   0.0136
A51087,1987,   6,   4.6952,   0.4991,   0.4988,   0.8388,   0.1820,   0.0851,   0.0787,   0.0266
A51087,1987,   7,   2.2610,   0.1919,   0.1382,   0.8719,   0.1934,   0.0205,   0.0190,   0.0064
A51087,1987,   8,   2.2478,   0.3166,   0.2568,   0.9751,   0.1617,   0.0204,   0.0188,   0.0064
A51087,1987,   9,   4.8452,   0.3401,   0.2302,   0.8824,   0.1456,   0.0439,   0.0406,   0.0137
A51087,1987,  10,   1.6053,   0.0969,   0.0719,   0.8060,   0.1072,   0.0146,   0.0135,   0.0045
A51087,1987,  11,   3.7752,   0.1631,   0.1279,   0.4405,   0.1115,   0.0342,   0.0317,   0.0107
A51087,1987,  12,   3.1085,   0.1611,   0.1129,   0.4235,   0.0590,   0.0282,   0.0261,   0.0088
A51087,1988,   1,   2.8438,   0.1450,   0.0774,   0.5390,   0.0833,   0.0258,   0.0238,   0.0081
A51087,1988,   2,   2.9418,   0.1906,   0.1541,   0.5694,   0.0752,   0.0267,   0.0247,   0.0083
A51087,1988,   3,   1.9816,   0.2087,   0.2194,   0.7314,   0.1308,   0.0180,   0.0166,   0.0056
A51087,1988,   4,   2.4348,   0.2003,   0.2633,   0.8028,   0.1692,   0.0441,   0.0408,   0.0138
A51087,1988,   5,   4.2956,   0.3388,   0.3270,   0.9031,   0.1633,   0.0779,   0.0720,   0.0243
A51087,1988,   6,   2.0740,   0.2400,   0.2320,   0.8237,   0.1820,   0.0376,   0.0348,   0.0117
A51087,1988,   7,   6.7039,   0.4926,   0.3669,   0.8562,   0.1934,   0.0608,   0.0562,   0.0190
A51087,1988,   8,   3.0039,   0.2439,   0.1805,   0.9575,   0.1617,   0.0272,   0.0252,   0.0085
A51087,1988,   9,   2.1711,   0.1195,   0.0858,   0.8665,   0.1456,   0.0197,   0.0182,   0.0061
A51087,1988,  10,   2.9287,   0.2023,   0.1563,   0.7915,   0.1072,   0.0265,   0.0246,   0.0083
A51087,1988,  11,   4.5676,   0.2018,   0.1927,   0.4326,   0.1114,   0.0414,   0.0383,   0.0129
A51087,1988,  12,   0.8390,   0.0609,   0.0369,   0.4159,   0.0590,   0.0076,   0.0070,   0.0024
A51087,1989,   1,   1.7684,   0.1165,   0.1023,   0.5291,   0.0833,   0.0160,   0.0148,   0.0050
A51087,1989,   2,   4.4482,   0.2676,   0.2597,   0.5590,   0.0752,   0.0403,   0.0373,   0.0126
A51087,1989,   3,   5.2864,   0.4062,   0.3646,   0.7180,   0.1308,   0.0479,   0.0443,   0.0150
A51087,1989,   4,   4.1805,   0.3862,   0.5619,   0.7880,   0.1692,   0.0758,   0.0701,   0.0237
A51087,1989,   5,   4.7518,   0.2855,   0.3401,   0.8866,   0.1633,   0.0861,   0.0797,   0.0269
A51087,1989,   6,   5.6139,   0.3741,   0.4952,   0.8086,   0.1819,   0.1018,   0.0941,   0.0318
A51087,1989,   7,   5.2034,   0.3940,   0.3361,   0.8405,   0.1933,   0.0472,   0.0436,   0.0147
A51087,1989,   8,   4.4267,   0.3887,   0.2830,   0.9399,   0.1617,   0.0401,   0.0371,   0.0125
A51087,1989,   9,   4.8552,   0.2353,   0.1723,   0.8506,   0.1456,   0.0440,   0.0407,   0.0138
A51087,1989,  10,   3.5713,   0.1502,   0.1417,   0.7770,   0.1072,   0.0324,   0.0299,   0.0101
A51087,1989,  11,   3.0794,   0.1861,   0.1876,   0.4246,   0.1114,   0.0279,   0.0258,   0.0087
A51087,1989,  12,   2.4518,   0.1251,   0.0810,   0.4082,   0.0590,   0.0222,   0.0206,   0.0069
A51087,1990,   1,   3.1817,   0.1711,   0.2073,   0.5192,   0.0833,   0.0288,   0.0267,   0.0090
A51087,1990,   2,   2.5587,   0.1320,   0.2097,   0.5485,   0.0752,   0.0232,   0.0215,   0.0072
A51087,1990,   3,   2.9132,   0.2190,   0.2401,   0.7045,   0.1308,   0.0264,   0.0244,   0.0083
A51087,1990,   4,   3.2995,   0.2239,   0.3144,   0.7733,   0.1692,   0.0598,   0.0553,   0.0187
A51087,1990,   5,   7.5781,   0.4022,   0.5167,   0.8700,   0.1633,   0.1374,   0.1271,   0.0429
A51087,1990,   6,   0.8264,   0.0837,   0.1059,   0.7935,   0.1819,   0.0150,   0.0139,   0.0047
A51087,1990,   7,   4.7673,   0.3872,   0.3434,   0.8247,   0.1933,   0.0432,   0.0400,   0.0135
A51087,1990,   8,   5.3581,   0.4471,   0.4186,   0.9223,   0.1616,   0.0486,   0.0449,   0.0152
A51087,1990,   9,   1.6317,   0.1113,   0.1089,   0.8347,   0.1455,   0.0148,   0.0137,   0.0046
A51087,1990,  10,   3.7994,   0.1405,   0.1571,   0.7624,   0.1071,   0.0344,   0.0319,   0.0108
A51087,1990,  11,   1.8091,   0.0814,   0.0883,   0.4167,   0.1114,   0.0164,   0.0152,   0.0051
A51087,1990,  12,   3.6110,   0.2045,   0.1458,   0.4006,   0.0590,   0.0327,   0.0303,   0.0102
A51087,1991,   1,   3.6245,   0.1478,   0.0841,   0.5093,   0.0833,   0.0329,   0.0304,   0.0103
A51087,1991,   2,   1.1472,   0.0892,   0.0943,   0.5381,   0.0752,   0.0104,   0.0096,   0.0032
A51087,1991,   3,   5.3288,   0.3202,   0.3219,   0.6911,   0.1308,   0.0483,   0.0447,   0.0151
A51087,1991,   4,   1.1716,   0.0930,   0.1249,   0.7586,   0.1692,   0.0212,   0.0196,   0.0066
A51087,1991,   5,   1.0275,   0.0927,   0.1089,   0.8534,   0.1633,   0.0186,   0.0172,   0.0058
A51087,1991,   6,   4.2049,   0.3501,   0.3328,   0.7784,   0.1819,   0.0762,   0.0705,   0.0238
A51087,1991,   7,   5.1711,   0.3980,   0.3454,   0.8090,   0.1933,   0.0469,   0.0434,   0.0146
A51087,1991,   8,   2.8605,   0.2544,   0.2102,   0.9048,   0.1616,   0.0259,   0.0240,   0.0081
A51087,1991,   9,   3.8748,   0.1597,   0.1375,   0.8188,   0.1455,   0.0351,   0.0325,   0.0110
A51087,1991,  10,   2.5279,   0.1468,   0.1321,   0.7479,   0.1071,   0.0229,   0.0212,   0.0072
A51087,1991,  11,   0.9313,   0.0516,   0.0460,   0.4088,   0.1114,   0.0084,   0.0078,   0.0026
A51087,1991,  12,   4.3991,   0.2033,   0.1551,   0.3930,   0.0590,   0.0399,   0.0369,   0.0125
A51087,1992,   1,   1.8433,   0.0721,   0.0530,   0.4994,   0.0833,   0.0167,   0.0155,   0.0052
A51087,1992,   2,   3.0716,   0.1516,   0.1499,   0.5276,   0.0752,   0.0278,   0.0258,   0.0087
A51087,1992,   3,   4.9291,   0.2417,   0.2515,   0.6777,   0.1308,   0.0447,   0.0413,   0.0140
A51087,1992,   4,   2.0469,   0.1323,   0.2124,   0.7438,   0.1692,   0.0371,   0.0343,   0.0116
A51087,1992,   5,   4.6819,   0.3563,   0.3413,   0.8368,   0.1632,   0.0849,   0.0785,   0.0265
A51087,1992,   6,   2.7187,   0.2272,   0.2470,   0.7632,   0.1819,   0.0493,   0.0456,   0.0154
A51087,1992,   7,   4.4127,   0.3270,   0.2586,   0.7933,   0.1933,   0.0400,   0.0370,   0.0125
A51087,1992,   8,   5.9629,   0.3733,   0.2625,   0.8872,   0.1616,   0.0541,   0.0500,   0.0169
A51087,1992,   9,   2.4251,   0.1311,   0.1328,   0.8029,   0.1455,   0.0220,   0.0203,   0.0069
A51087,1992,  10,   1.9781,   0.1096,   0.0970,   0.7334,   0.1071,   0.0179,   0.0166,   0.0056
A51087,1992,  11,   2.7469,   0.1233,   0.1419,   0.4008,   0.1114,   0.0249,   0.0230,   0.0078
