seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
C42009,1984,  42.6164,   4.2007,   2.0838,   7.4841,   0.9270,   0.4900,   0.4533,   0.1531
C42009,1985,  40.4675,   3.4068,   1.6184,   7.3709,   0.9262,   0.4462,   0.4128,   0.1394
C42009,1986,  33.2542,   3.4042,   1.6054,   7.2578,   0.9253,   0.3682,   0.3406,   0.1151
C42009,1987,  35.2609,   3.4738,   1.7205,   7.1446,   0.9245,   0.4260,   0.3941,   0.1331
C42009,1988,  34.5618,   3.0342,   1.4748,   7.0315,   0.9236,   0.4138,   0.3828,   0.1293
C42009,1989,  46.1324,   4.2283,   2.4630,   6.9183,   0.9228,   0.5512,   0.5099,   0.1723
C42009,1990,  43.2136,   3.2929,   1.8695,   6.8052,   0.9219,   0.4780,   0.4421,   0.1494
C42009,1991,  26.8111,   2.5164,   1.3012,   6.6921,   0.9211,   0.2932,   0.2712,   0.0916
C42009,1992,  36.0770,   2.9819,   1.5583,   6.5789,   0.9203,   0.3915,   0.3621,   0.1223
C42009,1993,  46.3976,   3.5631,   1.7604,   6.4658,   0.9194,   0.5454,   0.5045,   0.1704
C42009,1994,  44.2735,   3.5906,   1.9520,   6.3526,   0.9186,   0.4743,   0.4387,   0.1482
C42009,1995,  38.8343,   2.9563,   1.6444,   6.2395,   0.9177,   0.4720,   0.4366,   0.1475
C42009,1996,  60.8705,   4.6961,   2.7184,   6.1264,   0.9169,   0.6924,   0.6405,   0.2164
C42009,1997,  40.3641,   2.9189,   1.4365,   6.0132,   0.9161,   0.4435,   0.4103,   0.1386
C42009,1998,  37.9586,   3.3410,   1.7780,   5.9001,   0.9152,   0.4900,   0.4533,   0.1531
C42009,1999,  38.9121,   3.0961,   1.8471,   5.7869,   0.9144,   0.4397,   0.4068,   0.1374
C42009,2000,  38.0522,   3.1273,   1.8124,   5.6738,   0.9135,   0.4770,   0.4412,   0.1491
C42009,2001,  29.1136,   2.5066,   1.7386,   5.5607,   0.9127,   0.3599,   0.3329,   0.1125
C42009,2002,  41.5161,   3.1098,   1.9988,   5.4475,   0.9119,   0.5018,   0.4641,   0.1568
C42009,2003,  53.4068,   3.1461,   2.3473,   5.3344,   0.9110,   0.6344,   0.5868,   0.1982
C42009,2004,  51.7953,   2.9585,   2.2033,   5.2213,   0.9102,   0.5867,   0.5427,   0.1834
C42009,2005,  34.8167,   1.8478,   1.3568,   5.1081,   0.9093,   0.3695,   0.3418,   0.1155
