seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51043,1984,   1,   1.2411,   0.1170,   0.0433,   0.3721,   0.0272,   0.0113,   0.0104,   0.0035
A51043,1984,   2,   5.8935,   0.2325,   0.1020,   0.4229,   0.0277,   0.0534,   0.0494,   0.0167
A51043,1984,   3,   6.4511,   0.4353,   0.1841,   0.5289,   0.0681,   0.0585,   0.0541,   0.0183
A51043,1984,   4,   4.9074,   0.3603,   0.2197,   0.6715,   0.1114,   0.0890,   0.0823,   0.0278
A51043,1984,   5,   3.1234,   0.2997,   0.1950,   0.6710,   0.1085,   0.0566,   0.0524,   0.0177
A51043,1984,   6,   1.4332,   0.1673,   0.1158,   0.6822,   0.1599,   0.0260,   0.0240,   0.0081
A51043,1984,   7,   3.8953,   0.3623,   0.1552,   0.7486,   0.1891,   0.0353,   0.0327,   0.0110
A51043,1984,   8,   7.8045,   0.6644,   0.2507,   0.7065,   0.1488,   0.0707,   0.0654,   0.0221
A51043,1984,   9,   1.0703,   0.0751,   0.0344,   0.7966,   0.0966,   0.0097,   0.0090,   0.0030
A51043,1984,  10,   3.3219,   0.2313,   0.1141,   0.6411,   0.0688,   0.0301,   0.0279,   0.0094
A51043,1984,  11,   3.7370,   0.1783,   0.0776,   0.2975,   0.0575,   0.0339,   0.0313,   0.0106
A51043,1984,  12,   0.9082,   0.0910,   0.0319,   0.3765,   0.0148,   0.0082,   0.0076,   0.0026
A51043,1985,   1,   1.5233,   0.1336,   0.0553,   0.3664,   0.0272,   0.0138,   0.0128,   0.0043
A51043,1985,   2,   2.9879,   0.1514,   0.0459,   0.4165,   0.0278,   0.0271,   0.0251,   0.0085
A51043,1985,   3,   1.9003,   0.1723,   0.0724,   0.5209,   0.0683,   0.0172,   0.0159,   0.0054
A51043,1985,   4,   0.3600,   0.0531,   0.0324,   0.6613,   0.1116,   0.0065,   0.0060,   0.0020
A51043,1985,   5,   4.7877,   0.4921,   0.2850,   0.6608,   0.1087,   0.0868,   0.0803,   0.0271
A51043,1985,   6,   1.9244,   0.2046,   0.1155,   0.6719,   0.1602,   0.0349,   0.0323,   0.0109
