seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B42035,1984,  53.8786,   5.3541,   2.7290,   7.3307,   1.1718,   0.6346,   0.5870,   0.1983
B42035,1985,  39.1850,   3.7940,   1.8409,   7.2000,   1.1668,   0.4394,   0.4064,   0.1373
B42035,1986,  46.1109,   4.5895,   2.1328,   7.0693,   1.1619,   0.5232,   0.4840,   0.1635
B42035,1987,  39.0581,   4.3794,   2.1395,   6.9386,   1.1570,   0.4534,   0.4194,   0.1417
B42035,1988,  37.6075,   3.6651,   1.7851,   6.8078,   1.1521,   0.4206,   0.3890,   0.1314
B42035,1989,  41.1719,   3.8832,   2.3159,   6.6771,   1.1471,   0.5026,   0.4649,   0.1571
B42035,1990,  51.0662,   4.3940,   2.5268,   6.5464,   1.1422,   0.5877,   0.5437,   0.1837
B42035,1991,  32.9674,   3.3232,   1.7217,   6.4156,   1.1373,   0.3547,   0.3281,   0.1108
B42035,1992,  41.8707,   3.6628,   1.9336,   6.2849,   1.1323,   0.4547,   0.4206,   0.1421
B42035,1993,  48.9457,   4.2942,   2.0625,   6.1542,   1.1274,   0.5733,   0.5303,   0.1792
B42035,1994,  50.6855,   4.1645,   2.4009,   6.0235,   1.1225,   0.5672,   0.5247,   0.1773
B42035,1995,  37.5799,   2.8938,   1.6678,   5.8927,   1.1176,   0.4257,   0.3938,   0.1330
B42035,1996,  59.1800,   4.8102,   2.8898,   5.7620,   1.1126,   0.6575,   0.6082,   0.2055
B42035,1997,  37.8475,   2.9911,   1.5209,   5.6313,   1.1077,   0.4136,   0.3826,   0.1292
B42035,1998,  41.2263,   3.6711,   1.9801,   5.5006,   1.1028,   0.5117,   0.4733,   0.1599
B42035,1999,  43.1580,   3.1738,   1.8732,   5.3698,   1.0979,   0.4731,   0.4376,   0.1478
B42035,2000,  38.6735,   3.2872,   1.9914,   5.2391,   1.0929,   0.4874,   0.4509,   0.1523
B42035,2001,  35.4100,   2.9024,   2.0587,   5.1083,   1.0880,   0.4167,   0.3854,   0.1302
B42035,2002,  45.4353,   3.3496,   2.3029,   4.9776,   1.0831,   0.5584,   0.5165,   0.1745
B42035,2003,  55.7786,   3.4983,   2.5304,   4.8469,   1.0782,   0.6216,   0.5750,   0.1942
B42035,2004,  59.7229,   3.5879,   2.6239,   4.7161,   1.0732,   0.6808,   0.6297,   0.2127
B42035,2005,  41.1120,   2.1993,   1.5667,   4.5854,   1.0683,   0.4362,   0.4035,   0.1363
