seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51193,1984,  46.9149,   2.9911,   1.4683,   7.8994,   0.8495,   0.5378,   0.4974,   0.1681
A51193,1985,  43.7820,   2.8072,   1.2475,   7.7779,   0.8510,   0.4538,   0.4197,   0.1418
A51193,1986,  36.2213,   2.8638,   1.3783,   7.6564,   0.8526,   0.3765,   0.3483,   0.1177
A51193,1987,  41.8366,   3.2307,   1.6480,   7.5349,   0.8542,   0.4973,   0.4600,   0.1554
A51193,1988,  36.8795,   2.5862,   1.2875,   7.4135,   0.8557,   0.4213,   0.3897,   0.1316
A51193,1989,  51.6829,   3.4313,   1.9880,   7.2920,   0.8573,   0.6021,   0.5569,   0.1882
A51193,1990,  44.7666,   2.7704,   1.7175,   7.1705,   0.8589,   0.5386,   0.4982,   0.1683
A51193,1991,  34.1745,   2.3399,   1.2494,   7.0489,   0.8604,   0.3650,   0.3376,   0.1140
A51193,1992,  44.0017,   2.6105,   1.3899,   6.9275,   0.8620,   0.4716,   0.4362,   0.1474
A51193,1993,  45.5216,   3.2108,   1.9058,   6.8060,   0.8636,   0.5108,   0.4725,   0.1596
A51193,1994,  48.6359,   3.0104,   1.8613,   6.6845,   0.8651,   0.5167,   0.4780,   0.1615
A51193,1995,  42.0693,   2.4387,   1.5193,   6.5630,   0.8667,   0.4755,   0.4398,   0.1486
A51193,1996,  54.8999,   3.4784,   2.0111,   6.4415,   0.8683,   0.6170,   0.5707,   0.1928
A51193,1997,  40.0403,   2.5885,   1.4797,   6.3200,   0.8698,   0.4429,   0.4096,   0.1384
A51193,1998,  43.2721,   2.5484,   1.4100,   6.1985,   0.8714,   0.5156,   0.4770,   0.1611
A51193,1999,  43.4345,   2.2038,   1.3236,   6.0770,   0.8730,   0.4399,   0.4069,   0.1375
A51193,2000,  48.8569,   2.6488,   1.4784,   5.9555,   0.8745,   0.5675,   0.5250,   0.1774
A51193,2001,  40.7862,   2.4797,   1.7670,   5.8340,   0.8761,   0.4798,   0.4438,   0.1499
A51193,2002,  39.4111,   2.1147,   1.4811,   5.7125,   0.8777,   0.4395,   0.4066,   0.1374
A51193,2003,  61.7722,   2.8822,   2.2004,   5.5910,   0.8792,   0.7108,   0.6575,   0.2221
A51193,2004,  49.6984,   2.3894,   1.8364,   5.4695,   0.8808,   0.5757,   0.5325,   0.1799
A51193,2005,  42.7093,   1.9284,   1.5346,   5.3480,   0.8824,   0.4780,   0.4421,   0.1494
