seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51181,1984,  44.2360,   2.3773,   1.2381,   7.2992,   0.9161,   0.5143,   0.4757,   0.1607
A51181,1985,  49.7834,   2.3905,   1.2251,   7.2000,   0.9198,   0.5233,   0.4841,   0.1635
A51181,1986,  35.5826,   2.3727,   1.2356,   7.1009,   0.9235,   0.3675,   0.3400,   0.1149
A51181,1987,  46.0584,   2.8774,   1.5670,   7.0017,   0.9273,   0.5503,   0.5091,   0.1720
A51181,1988,  40.0824,   2.4422,   1.2553,   6.9025,   0.9310,   0.4714,   0.4360,   0.1473
A51181,1989,  60.0933,   3.2689,   1.9188,   6.8033,   0.9347,   0.7001,   0.6476,   0.2188
A51181,1990,  39.2659,   2.0187,   1.3976,   6.7041,   0.9385,   0.4413,   0.4082,   0.1379
A51181,1991,  39.9999,   2.3257,   1.2993,   6.6050,   0.9422,   0.4275,   0.3954,   0.1336
A51181,1992,  48.8935,   2.5533,   1.4971,   6.5058,   0.9459,   0.5492,   0.5080,   0.1716
A51181,1993,  42.9865,   2.4869,   1.6878,   6.4066,   0.9496,   0.5032,   0.4655,   0.1573
A51181,1994,  45.3375,   2.3129,   1.5577,   6.3074,   0.9534,   0.4738,   0.4382,   0.1481
A51181,1995,  40.5198,   2.2397,   1.4170,   6.2082,   0.9571,   0.4645,   0.4296,   0.1451
A51181,1996,  60.6737,   3.2232,   2.1223,   6.1090,   0.9608,   0.6675,   0.6175,   0.2086
A51181,1997,  42.7419,   2.2873,   1.4638,   6.0098,   0.9646,   0.4670,   0.4320,   0.1459
A51181,1998,  50.1106,   2.6606,   1.5985,   5.9107,   0.9683,   0.5591,   0.5172,   0.1747
A51181,1999,  62.5797,   2.0660,   1.3279,   5.8115,   0.9720,   0.6426,   0.5944,   0.2008
A51181,2000,  48.8245,   2.4455,   1.4565,   5.7123,   0.9757,   0.5590,   0.5170,   0.1747
A51181,2001,  35.1607,   1.8820,   1.3121,   5.6131,   0.9795,   0.4145,   0.3834,   0.1295
A51181,2002,  46.4707,   2.0952,   1.4782,   5.5139,   0.9832,   0.4993,   0.4619,   0.1560
A51181,2003,  68.6435,   2.8167,   2.3834,   5.4147,   0.9869,   0.7757,   0.7175,   0.2424
A51181,2004,  59.0507,   2.2851,   1.9396,   5.3156,   0.9907,   0.6834,   0.6322,   0.2136
A51181,2005,  43.0781,   1.8754,   1.5401,   5.2164,   0.9944,   0.4739,   0.4383,   0.1481
