seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A24031,1984,  42.3833,   3.5593,   2.1513,  10.7908,   1.5097,   0.4841,   0.4477,   0.1513
A24031,1985,  36.5928,   3.0184,   1.6988,  10.5883,   1.5012,   0.4016,   0.3714,   0.1255
A24031,1986,  34.8746,   3.4458,   2.0900,  10.3859,   1.4928,   0.3759,   0.3477,   0.1175
A24031,1987,  40.2143,   3.2497,   2.0490,  10.1834,   1.4843,   0.4594,   0.4249,   0.1436
A24031,1988,  38.5311,   3.5167,   2.0287,   9.9810,   1.4759,   0.4564,   0.4222,   0.1426
A24031,1989,  46.5636,   4.0048,   3.0454,   9.7785,   1.4674,   0.5845,   0.5407,   0.1827
A24031,1990,  47.4895,   3.4937,   2.5611,   9.5761,   1.4590,   0.5428,   0.5021,   0.1696
A24031,1991,  34.1102,   2.9126,   2.0320,   9.3736,   1.4505,   0.3688,   0.3411,   0.1152
A24031,1992,  43.8031,   3.4524,   2.3120,   9.1711,   1.4421,   0.4862,   0.4497,   0.1519
A24031,1993,  46.6939,   3.7622,   2.5497,   8.9687,   1.4336,   0.5191,   0.4802,   0.1622
A24031,1994,  44.9600,   3.7544,   2.7438,   8.7662,   1.4252,   0.4905,   0.4537,   0.1533
A24031,1995,  39.2809,   2.6623,   2.0519,   8.5638,   1.4167,   0.4427,   0.4095,   0.1383
A24031,1996,  62.5337,   4.4346,   3.3010,   8.3614,   1.4082,   0.7142,   0.6607,   0.2232
A24031,1997,  36.4546,   2.9325,   1.8480,   8.1589,   1.3998,   0.4052,   0.3748,   0.1266
A24031,1998,  38.8830,   3.2662,   2.0015,   7.9564,   1.3914,   0.4670,   0.4320,   0.1459
A24031,1999,  43.6319,   2.6212,   1.8041,   7.7540,   1.3829,   0.4513,   0.4175,   0.1410
A24031,2000,  39.2389,   2.5549,   1.6523,   7.5515,   1.3745,   0.4636,   0.4288,   0.1449
A24031,2001,  39.5647,   2.5490,   2.2550,   7.3491,   1.3660,   0.4787,   0.4428,   0.1496
A24031,2002,  39.5388,   2.2970,   1.9033,   7.1466,   1.3576,   0.4510,   0.4172,   0.1409
A24031,2003,  64.1156,   3.2536,   3.2278,   6.9442,   1.3491,   0.7398,   0.6843,   0.2312
A24031,2004,  41.7694,   2.6365,   2.6132,   6.7417,   1.3407,   0.4875,   0.4509,   0.1523
A24031,2005,  46.1734,   2.4653,   1.8210,   6.5393,   1.3322,   0.5218,   0.4827,   0.1631
