seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A24009,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,   5,   0.0688,   0.0063,   0.0036,   0.0208,   0.0010,   0.0006,   0.0006,   0.0002
A24009,1984,   1,   6,   0.0215,   0.0019,   0.0010,   0.0208,   0.0010,   0.0002,   0.0002,   0.0001
A24009,1984,   1,   7,   0.0007,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,   8,   0.0028,   0.0001,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,   9,   0.0010,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  10,   0.2560,   0.0175,   0.0064,   0.0208,   0.0010,   0.0023,   0.0021,   0.0007
A24009,1984,   1,  11,   0.4394,   0.0236,   0.0078,   0.0208,   0.0010,   0.0040,   0.0037,   0.0012
A24009,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  13,   0.0004,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  14,   0.0813,   0.0025,   0.0006,   0.0208,   0.0010,   0.0007,   0.0007,   0.0002
A24009,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  16,   0.0223,   0.0014,   0.0004,   0.0208,   0.0010,   0.0002,   0.0002,   0.0001
A24009,1984,   1,  17,   0.4434,   0.0325,   0.0089,   0.0208,   0.0010,   0.0040,   0.0037,   0.0013
A24009,1984,   1,  18,   0.1212,   0.0150,   0.0054,   0.0208,   0.0010,   0.0011,   0.0010,   0.0003
A24009,1984,   1,  19,   0.0798,   0.0061,   0.0016,   0.0208,   0.0010,   0.0007,   0.0007,   0.0002
A24009,1984,   1,  20,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  21,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  22,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  23,   0.0020,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  24,   0.0138,   0.0007,   0.0002,   0.0208,   0.0010,   0.0001,   0.0001,   0.0000
A24009,1984,   1,  25,   0.0360,   0.0021,   0.0007,   0.0208,   0.0010,   0.0003,   0.0003,   0.0001
A24009,1984,   1,  26,   0.0000,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  27,   0.0309,   0.0007,   0.0001,   0.0208,   0.0010,   0.0003,   0.0003,   0.0001
A24009,1984,   1,  28,   0.0020,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  29,   0.0001,   0.0000,   0.0000,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  30,   0.0020,   0.0002,   0.0001,   0.0208,   0.0010,   0.0000,   0.0000,   0.0000
A24009,1984,   1,  31,   0.0474,   0.0049,   0.0024,   0.0208,   0.0010,   0.0004,   0.0004,   0.0001
A24009,1984,   2,   1,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,   2,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,   3,   0.0046,   0.0005,   0.0003,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,   4,   0.1057,   0.0097,   0.0045,   0.0224,   0.0013,   0.0010,   0.0009,   0.0003
A24009,1984,   2,   5,   0.2787,   0.0277,   0.0079,   0.0224,   0.0013,   0.0025,   0.0023,   0.0008
A24009,1984,   2,   6,   0.0181,   0.0019,   0.0008,   0.0224,   0.0013,   0.0002,   0.0002,   0.0001
A24009,1984,   2,   7,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,   8,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,   9,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,  10,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,  11,   0.0526,   0.0035,   0.0024,   0.0224,   0.0013,   0.0005,   0.0004,   0.0001
A24009,1984,   2,  12,   0.2402,   0.0171,   0.0119,   0.0224,   0.0013,   0.0022,   0.0020,   0.0007
A24009,1984,   2,  13,   0.0028,   0.0002,   0.0001,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,  14,   0.4464,   0.0080,   0.0039,   0.0224,   0.0013,   0.0040,   0.0037,   0.0013
A24009,1984,   2,  15,   0.4042,   0.0128,   0.0050,   0.0224,   0.0013,   0.0037,   0.0034,   0.0011
A24009,1984,   2,  16,   0.4303,   0.0240,   0.0087,   0.0224,   0.0013,   0.0039,   0.0036,   0.0012
A24009,1984,   2,  17,   0.4235,   0.0266,   0.0062,   0.0224,   0.0013,   0.0038,   0.0036,   0.0012
A24009,1984,   2,  18,   0.1088,   0.0061,   0.0022,   0.0224,   0.0013,   0.0010,   0.0009,   0.0003
A24009,1984,   2,  19,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,  20,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,  21,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,  22,   0.0000,   0.0000,   0.0000,   0.0224,   0.0013,   0.0000,   0.0000,   0.0000
A24009,1984,   2,  23,   0.0639,   0.0057,   0.0018,   0.0224,   0.0013,   0.0006,   0.0005,   0.0002
A24009,1984,   2,  24,   0.7040,   0.0395,   0.0107,   0.0224,   0.0013,   0.0064,   0.0059,   0.0020
A24009,1984,   2,  25,   0.0979,   0.0050,   0.0021,   0.0224,   0.0013,   0.0009,   0.0008,   0.0003
A24009,1984,   2,  26,   0.0824,   0.0047,   0.0023,   0.0224,   0.0013,   0.0007,   0.0007,   0.0002
A24009,1984,   2,  27,   0.1023,   0.0052,   0.0012,   0.0224,   0.0013,   0.0009,   0.0009,   0.0003
A24009,1984,   2,  28,   0.1229,   0.0062,   0.0018,   0.0224,   0.0013,   0.0011,   0.0010,   0.0003
A24009,1984,   2,  29,   0.0166,   0.0009,   0.0003,   0.0224,   0.0013,   0.0002,   0.0001,   0.0000
A24009,1984,   3,   1,   0.0688,   0.0044,   0.0014,   0.0254,   0.0020,   0.0006,   0.0006,   0.0002
A24009,1984,   3,   2,   0.0006,   0.0000,   0.0000,   0.0254,   0.0020,   0.0000,   0.0000,   0.0000
A24009,1984,   3,   3,   0.0000,   0.0000,   0.0000,   0.0254,   0.0020,   0.0000,   0.0000,   0.0000
A24009,1984,   3,   4,   0.0000,   0.0000,   0.0000,   0.0254,   0.0020,   0.0000,   0.0000,   0.0000
A24009,1984,   3,   5,   0.1882,   0.0158,   0.0066,   0.0254,   0.0020,   0.0017,   0.0016,   0.0005
A24009,1984,   3,   6,   0.4391,   0.0389,   0.0180,   0.0254,   0.0020,   0.0040,   0.0037,   0.0012
A24009,1984,   3,   7,   0.0066,   0.0005,   0.0002,   0.0254,   0.0020,   0.0001,   0.0001,   0.0000
A24009,1984,   3,   8,   0.0267,   0.0022,   0.0008,   0.0254,   0.0020,   0.0002,   0.0002,   0.0001
A24009,1984,   3,   9,   0.1384,   0.0135,   0.0060,   0.0254,   0.0020,   0.0013,   0.0012,   0.0004
