seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
C51165,1984,   1,   1.3195,   0.0997,   0.0412,   0.4391,   0.0916,   0.0120,   0.0111,   0.0037
C51165,1984,   2,   5.3046,   0.1533,   0.0780,   0.4585,   0.1225,   0.0481,   0.0445,   0.0150
C51165,1984,   3,   5.4381,   0.3536,   0.1593,   0.5811,   0.1633,   0.0493,   0.0456,   0.0154
C51165,1984,   4,   5.9050,   0.4342,   0.2648,   0.5899,   0.3423,   0.1071,   0.0990,   0.0335
C51165,1984,   5,   3.4898,   0.2627,   0.1705,   0.6996,   0.2716,   0.0633,   0.0585,   0.0198
C51165,1984,   6,   1.5110,   0.1726,   0.1070,   0.5569,   0.4700,   0.0274,   0.0253,   0.0086
C51165,1984,   7,   5.6010,   0.3937,   0.1755,   0.6633,   0.8087,   0.0508,   0.0470,   0.0159
C51165,1984,   8,   7.7340,   0.5404,   0.1944,   0.6355,   0.5155,   0.0701,   0.0648,   0.0219
C51165,1984,   9,   1.1922,   0.0733,   0.0343,   0.7524,   0.2657,   0.0108,   0.0100,   0.0034
C51165,1984,  10,   3.2013,   0.1680,   0.0806,   0.6961,   0.2356,   0.0290,   0.0268,   0.0091
C51165,1984,  11,   3.1155,   0.1482,   0.0631,   0.3679,   0.2582,   0.0282,   0.0261,   0.0088
C51165,1984,  12,   1.6601,   0.1059,   0.0440,   0.5009,   0.0305,   0.0150,   0.0139,   0.0047
C51165,1985,   1,   1.9919,   0.1315,   0.0502,   0.4315,   0.0919,   0.0181,   0.0167,   0.0056
C51165,1985,   2,   3.1212,   0.1290,   0.0384,   0.4506,   0.1229,   0.0283,   0.0262,   0.0088
C51165,1985,   3,   1.4876,   0.1459,   0.0566,   0.5711,   0.1638,   0.0135,   0.0125,   0.0042
C51165,1985,   4,   0.8414,   0.1236,   0.0902,   0.5797,   0.3434,   0.0153,   0.0141,   0.0048
C51165,1985,   5,   5.3426,   0.5908,   0.3166,   0.6875,   0.2725,   0.0969,   0.0896,   0.0303
C51165,1985,   6,   2.2599,   0.2265,   0.1367,   0.5473,   0.4715,   0.0410,   0.0379,   0.0128
C51165,1985,   7,   5.0251,   0.4782,   0.1794,   0.6519,   0.8113,   0.0456,   0.0421,   0.0142
C51165,1985,   8,   6.1545,   0.5864,   0.2154,   0.6245,   0.5172,   0.0558,   0.0516,   0.0174
C51165,1985,   9,   0.3897,   0.0370,   0.0153,   0.7394,   0.2665,   0.0035,   0.0033,   0.0011
C51165,1985,  10,   4.5780,   0.2513,   0.0963,   0.6840,   0.2364,   0.0415,   0.0384,   0.0130
C51165,1985,  11,  15.3849,   0.3973,   0.1291,   0.3615,   0.2591,   0.1395,   0.1290,   0.0436
C51165,1985,  12,   0.6902,   0.0599,   0.0247,   0.4922,   0.0306,   0.0063,   0.0058,   0.0020
C51165,1986,   1,   0.9976,   0.0844,   0.0389,   0.4239,   0.0922,   0.0090,   0.0084,   0.0028
C51165,1986,   2,   2.6877,   0.2714,   0.1163,   0.4426,   0.1233,   0.0244,   0.0225,   0.0076
C51165,1986,   3,   1.4403,   0.1575,   0.0762,   0.5610,   0.1643,   0.0131,   0.0121,   0.0041
C51165,1986,   4,   2.1007,   0.2969,   0.2561,   0.5695,   0.3445,   0.0381,   0.0352,   0.0119
C51165,1986,   5,   2.3394,   0.2767,   0.1396,   0.6754,   0.2734,   0.0424,   0.0392,   0.0133
C51165,1986,   6,   1.6648,   0.1711,   0.1120,   0.5376,   0.4730,   0.0302,   0.0279,   0.0094
C51165,1986,   7,   3.7927,   0.4866,   0.1903,   0.6404,   0.8139,   0.0344,   0.0318,   0.0107
C51165,1986,   8,   3.6093,   0.4177,   0.1604,   0.6136,   0.5188,   0.0327,   0.0303,   0.0102
C51165,1986,   9,   2.3796,   0.1234,   0.0536,   0.7264,   0.2674,   0.0216,   0.0200,   0.0067
C51165,1986,  10,   1.5119,   0.1353,   0.0561,   0.6720,   0.2372,   0.0137,   0.0127,   0.0043
C51165,1986,  11,   4.1870,   0.3455,   0.1242,   0.3551,   0.2599,   0.0380,   0.0351,   0.0119
C51165,1986,  12,   4.8586,   0.2569,   0.0690,   0.4836,   0.0307,   0.0440,   0.0407,   0.0138
C51165,1987,   1,   3.4299,   0.2037,   0.0611,   0.4163,   0.0925,   0.0311,   0.0288,   0.0097
C51165,1987,   2,   1.7463,   0.0932,   0.0302,   0.4347,   0.1237,   0.0158,   0.0146,   0.0049
C51165,1987,   3,   2.4787,   0.2255,   0.1075,   0.5510,   0.1649,   0.0225,   0.0208,   0.0070
