seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B24001,1984,  43.4892,   3.6138,   1.8452,   7.3679,   0.6168,   0.5000,   0.4625,   0.1562
B24001,1985,  46.3573,   3.5810,   1.6536,   7.2547,   0.6145,   0.5091,   0.4709,   0.1591
B24001,1986,  37.2686,   3.7400,   1.7520,   7.1416,   0.6122,   0.4020,   0.3719,   0.1256
B24001,1987,  35.8460,   3.1235,   1.6041,   7.0285,   0.6098,   0.4290,   0.3968,   0.1341
B24001,1988,  37.9249,   3.2767,   1.6162,   6.9154,   0.6075,   0.4496,   0.4159,   0.1405
B24001,1989,  46.1940,   3.8993,   2.2014,   6.8023,   0.6052,   0.5454,   0.5045,   0.1704
B24001,1990,  43.8072,   3.1355,   1.8483,   6.6892,   0.6029,   0.4803,   0.4443,   0.1501
B24001,1991,  30.2448,   2.4860,   1.2932,   6.5761,   0.6006,   0.3402,   0.3147,   0.1063
B24001,1992,  37.0294,   2.9893,   1.5564,   6.4629,   0.5983,   0.4029,   0.3727,   0.1259
B24001,1993,  45.6220,   3.5439,   1.8042,   6.3498,   0.5960,   0.5352,   0.4951,   0.1673
B24001,1994,  44.5320,   3.3155,   1.8321,   6.2367,   0.5937,   0.4938,   0.4568,   0.1543
B24001,1995,  39.8671,   3.0436,   1.7971,   6.1236,   0.5914,   0.4902,   0.4535,   0.1532
B24001,1996,  59.0793,   4.1331,   2.3040,   6.0105,   0.5891,   0.6560,   0.6068,   0.2050
B24001,1997,  37.8484,   2.7273,   1.3208,   5.8974,   0.5868,   0.4106,   0.3798,   0.1283
B24001,1998,  40.6729,   3.2739,   1.8367,   5.7843,   0.5845,   0.5106,   0.4723,   0.1596
B24001,1999,  35.8022,   2.6582,   1.5367,   5.6712,   0.5822,   0.4140,   0.3830,   0.1294
B24001,2000,  38.5127,   2.8131,   1.5898,   5.5581,   0.5799,   0.4559,   0.4217,   0.1425
B24001,2001,  34.9166,   2.7411,   1.7131,   5.4450,   0.5776,   0.4386,   0.4057,   0.1371
B24001,2002,  41.5241,   2.8498,   1.8013,   5.3318,   0.5752,   0.4914,   0.4545,   0.1536
B24001,2003,  55.0610,   3.0575,   2.1940,   5.2187,   0.5729,   0.6586,   0.6092,   0.2058
B24001,2004,  49.0591,   2.6836,   1.9574,   5.1056,   0.5706,   0.5656,   0.5232,   0.1767
B24001,2005,  39.1746,   1.7063,   1.1963,   4.9925,   0.5683,   0.4322,   0.3998,   0.1351
