seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51095,1984,   1,   4.2916,   0.1818,   0.0677,   0.5263,   0.0282,   0.0389,   0.0360,   0.0122
A51095,1984,   2,   3.6578,   0.1353,   0.0700,   0.5492,   0.0399,   0.0332,   0.0307,   0.0104
A51095,1984,   3,   7.3419,   0.3674,   0.1707,   0.6775,   0.0699,   0.0666,   0.0616,   0.0208
A51095,1984,   4,   4.8511,   0.2391,   0.1798,   0.6955,   0.0776,   0.0879,   0.0814,   0.0275
A51095,1984,   5,   5.2056,   0.2979,   0.2399,   0.7310,   0.0776,   0.0944,   0.0873,   0.0295
A51095,1984,   6,   2.8051,   0.1885,   0.1262,   0.6118,   0.1065,   0.0509,   0.0470,   0.0159
A51095,1984,   7,   6.8290,   0.4576,   0.1768,   0.6855,   0.0863,   0.0619,   0.0573,   0.0193
A51095,1984,   8,   1.6205,   0.1457,   0.0558,   0.7034,   0.0731,   0.0147,   0.0136,   0.0046
A51095,1984,   9,   1.4192,   0.0863,   0.0523,   0.6578,   0.0460,   0.0129,   0.0119,   0.0040
A51095,1984,  10,   0.9294,   0.0453,   0.0275,   0.6637,   0.0419,   0.0084,   0.0078,   0.0026
A51095,1984,  11,   2.6082,   0.1095,   0.0566,   0.4373,   0.0449,   0.0236,   0.0219,   0.0074
A51095,1984,  12,   1.9404,   0.0742,   0.0281,   0.4039,   0.0165,   0.0176,   0.0163,   0.0055
A51095,1985,   1,   4.3389,   0.1841,   0.0891,   0.5192,   0.0284,   0.0393,   0.0364,   0.0123
A51095,1985,   2,   3.5546,   0.1131,   0.0400,   0.5419,   0.0401,   0.0322,   0.0298,   0.0101
A51095,1985,   3,   2.3535,   0.1619,   0.0844,   0.6685,   0.0702,   0.0213,   0.0197,   0.0067
A51095,1985,   4,   0.6953,   0.0561,   0.0481,   0.6862,   0.0779,   0.0126,   0.0117,   0.0039
A51095,1985,   5,   3.5681,   0.2736,   0.1985,   0.7213,   0.0779,   0.0647,   0.0598,   0.0202
A51095,1985,   6,   3.2916,   0.2777,   0.2182,   0.6036,   0.1069,   0.0597,   0.0552,   0.0186
A51095,1985,   7,   5.9283,   0.4697,   0.2160,   0.6764,   0.0867,   0.0537,   0.0497,   0.0168
A51095,1985,   8,   5.4767,   0.2699,   0.1039,   0.6940,   0.0734,   0.0496,   0.0459,   0.0155
A51095,1985,   9,   8.0497,   0.1582,   0.0471,   0.6491,   0.0462,   0.0730,   0.0675,   0.0228
A51095,1985,  10,   4.2700,   0.1560,   0.0706,   0.6548,   0.0420,   0.0387,   0.0358,   0.0121
A51095,1985,  11,   6.2755,   0.2078,   0.1164,   0.4315,   0.0451,   0.0569,   0.0526,   0.0178
A51095,1985,  12,   0.9994,   0.0542,   0.0235,   0.3985,   0.0166,   0.0091,   0.0084,   0.0028
