seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51033,1984,   1,   3.2085,   0.2135,   0.0898,   0.5318,   0.0275,   0.0291,   0.0269,   0.0091
A51033,1984,   2,   3.5412,   0.1724,   0.0779,   0.5761,   0.0351,   0.0321,   0.0297,   0.0100
A51033,1984,   3,   8.4573,   0.4485,   0.2093,   0.7617,   0.0703,   0.0767,   0.0709,   0.0240
A51033,1984,   4,   4.9803,   0.3071,   0.2070,   0.7481,   0.0981,   0.0903,   0.0835,   0.0282
A51033,1984,   5,   4.4990,   0.3531,   0.2433,   0.8277,   0.0944,   0.0816,   0.0754,   0.0255
A51033,1984,   6,   2.5228,   0.2506,   0.1683,   0.7072,   0.0929,   0.0457,   0.0423,   0.0143
A51033,1984,   7,   5.8337,   0.4088,   0.1514,   0.7775,   0.1088,   0.0529,   0.0489,   0.0165
A51033,1984,   8,   3.9366,   0.3608,   0.1299,   0.9257,   0.0742,   0.0357,   0.0330,   0.0112
A51033,1984,   9,   1.2048,   0.0833,   0.0401,   0.9059,   0.0675,   0.0109,   0.0101,   0.0034
A51033,1984,  10,   3.0774,   0.1557,   0.0725,   0.8257,   0.0513,   0.0279,   0.0258,   0.0087
A51033,1984,  11,   3.8672,   0.1728,   0.0809,   0.4747,   0.0466,   0.0351,   0.0324,   0.0110
A51033,1984,  12,   1.2503,   0.0691,   0.0262,   0.4592,   0.0136,   0.0113,   0.0105,   0.0035
A51033,1985,   1,   2.6253,   0.1689,   0.0723,   0.5234,   0.0275,   0.0238,   0.0220,   0.0074
A51033,1985,   2,   3.3975,   0.1338,   0.0374,   0.5670,   0.0351,   0.0308,   0.0285,   0.0096
A51033,1985,   3,   1.5163,   0.1596,   0.0791,   0.7496,   0.0704,   0.0137,   0.0127,   0.0043
A51033,1985,   4,   0.5506,   0.0672,   0.0668,   0.7362,   0.0982,   0.0100,   0.0092,   0.0031
A51033,1985,   5,   3.5866,   0.3555,   0.2045,   0.8146,   0.0944,   0.0650,   0.0601,   0.0203
A51033,1985,   6,   3.0095,   0.3534,   0.2240,   0.6959,   0.0930,   0.0546,   0.0505,   0.0171
A51033,1985,   7,   3.8343,   0.4190,   0.1692,   0.7652,   0.1089,   0.0348,   0.0321,   0.0109
A51033,1985,   8,   8.2444,   0.5830,   0.2041,   0.9110,   0.0742,   0.0747,   0.0691,   0.0234
A51033,1985,   9,   4.2122,   0.1946,   0.0773,   0.8915,   0.0675,   0.0382,   0.0353,   0.0119
A51033,1985,  10,   5.9009,   0.2542,   0.0987,   0.8126,   0.0513,   0.0535,   0.0495,   0.0167
A51033,1985,  11,   6.8060,   0.2696,   0.1287,   0.4672,   0.0466,   0.0617,   0.0571,   0.0193
A51033,1985,  12,   0.7971,   0.0506,   0.0208,   0.4519,   0.0137,   0.0072,   0.0067,   0.0023
A51033,1986,   1,   2.5310,   0.1598,   0.0742,   0.5149,   0.0275,   0.0229,   0.0212,   0.0072
A51033,1986,   2,   2.8988,   0.2577,   0.1175,   0.5578,   0.0351,   0.0263,   0.0243,   0.0082
A51033,1986,   3,   1.3320,   0.1416,   0.0880,   0.7375,   0.0704,   0.0121,   0.0112,   0.0038
A51033,1986,   4,   2.0007,   0.2517,   0.2167,   0.7243,   0.0982,   0.0363,   0.0336,   0.0113
A51033,1986,   5,   2.9781,   0.2604,   0.1625,   0.8014,   0.0945,   0.0540,   0.0499,   0.0169
A51033,1986,   6,   1.5329,   0.2072,   0.1487,   0.6847,   0.0931,   0.0278,   0.0257,   0.0087
A51033,1986,   7,   4.1876,   0.4922,   0.2054,   0.7528,   0.1090,   0.0380,   0.0351,   0.0119
A51033,1986,   8,   5.4690,   0.5422,   0.2110,   0.8963,   0.0743,   0.0496,   0.0459,   0.0155
A51033,1986,   9,   0.8323,   0.0693,   0.0306,   0.8772,   0.0676,   0.0075,   0.0070,   0.0024
A51033,1986,  10,   2.7858,   0.1587,   0.0790,   0.7995,   0.0514,   0.0253,   0.0234,   0.0079
A51033,1986,  11,   3.0385,   0.2512,   0.1099,   0.4596,   0.0467,   0.0275,   0.0255,   0.0086
A51033,1986,  12,   5.9868,   0.2267,   0.0689,   0.4446,   0.0137,   0.0543,   0.0502,   0.0170
A51033,1987,   1,   5.2824,   0.2989,   0.0862,   0.5065,   0.0276,   0.0479,   0.0443,   0.0150
A51033,1987,   2,   1.8343,   0.0999,   0.0288,   0.5487,   0.0351,   0.0166,   0.0154,   0.0052
A51033,1987,   3,   2.5425,   0.2195,   0.1121,   0.7254,   0.0705,   0.0230,   0.0213,   0.0072
A51033,1987,   4,   5.7797,   0.3807,   0.2159,   0.7125,   0.0983,   0.1048,   0.0969,   0.0327
A51033,1987,   5,   3.8833,   0.5188,   0.3505,   0.7883,   0.0946,   0.0704,   0.0651,   0.0220
A51033,1987,   6,   5.7513,   0.6015,   0.3796,   0.6735,   0.0932,   0.1043,   0.0964,   0.0326
A51033,1987,   7,   2.3059,   0.2731,   0.1175,   0.7405,   0.1091,   0.0209,   0.0193,   0.0065
A51033,1987,   8,   2.7592,   0.3768,   0.1924,   0.8816,   0.0744,   0.0250,   0.0231,   0.0078
A51033,1987,   9,   5.2082,   0.3515,   0.1430,   0.8628,   0.0676,   0.0472,   0.0437,   0.0148
A51033,1987,  10,   2.1570,   0.1421,   0.0606,   0.7864,   0.0514,   0.0196,   0.0181,   0.0061
A51033,1987,  11,   4.3524,   0.1731,   0.0784,   0.4521,   0.0467,   0.0395,   0.0365,   0.0123
