seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51105,1984,  50.7554,   2.9857,   1.8130,   5.9999,   0.3530,   0.6034,   0.5582,   0.1886
B51105,1985,  43.5218,   2.7073,   1.2043,   5.9591,   0.3552,   0.5017,   0.4641,   0.1568
B51105,1986,  45.7637,   2.5802,   1.1314,   5.9184,   0.3575,   0.4833,   0.4470,   0.1510
B51105,1987,  42.0449,   2.4492,   1.2219,   5.8776,   0.3598,   0.4983,   0.4609,   0.1557
B51105,1988,  38.9362,   1.9715,   1.0791,   5.8369,   0.3621,   0.4372,   0.4044,   0.1366
B51105,1989,  57.1174,   2.9155,   1.7967,   5.7961,   0.3643,   0.6773,   0.6265,   0.2117
B51105,1990,  50.5389,   2.4110,   1.5552,   5.7554,   0.3666,   0.5845,   0.5407,   0.1827
B51105,1991,  59.9548,   2.9403,   1.4175,   5.7146,   0.3689,   0.6471,   0.5986,   0.2022
B51105,1992,  44.7053,   2.5598,   1.2884,   5.6739,   0.3712,   0.5094,   0.4712,   0.1592
B51105,1993,  43.5773,   2.3681,   1.1222,   5.6331,   0.3734,   0.4744,   0.4388,   0.1483
B51105,1994,  52.4968,   2.3150,   1.4291,   5.5924,   0.3757,   0.6114,   0.5655,   0.1911
B51105,1995,  47.7975,   2.5884,   1.7072,   5.5516,   0.3780,   0.5668,   0.5243,   0.1771
B51105,1996,  55.6045,   2.7715,   1.6640,   5.5109,   0.3803,   0.6302,   0.5829,   0.1969
B51105,1997,  45.0872,   2.7141,   1.4082,   5.4701,   0.3825,   0.5212,   0.4821,   0.1629
B51105,1998,  50.1258,   2.8448,   1.8731,   5.4294,   0.3848,   0.6420,   0.5938,   0.2006
B51105,1999,  34.1566,   2.1438,   1.1901,   5.3886,   0.3871,   0.3912,   0.3618,   0.1222
B51105,2000,  40.7305,   2.7037,   1.5644,   5.3479,   0.3894,   0.4890,   0.4523,   0.1528
B51105,2001,  45.5912,   2.1953,   1.2862,   5.3071,   0.3916,   0.5175,   0.4787,   0.1617
B51105,2002,  53.7234,   2.6920,   1.7386,   5.2664,   0.3939,   0.5795,   0.5360,   0.1811
B51105,2003,  60.1289,   2.7522,   1.8363,   5.2256,   0.3962,   0.7343,   0.6792,   0.2295
B51105,2004,  56.5196,   2.0862,   1.4295,   5.1849,   0.3984,   0.6550,   0.6059,   0.2047
B51105,2005,  41.7382,   1.9768,   1.4491,   5.1441,   0.4007,   0.4793,   0.4433,   0.1498
