seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51033,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,   5,   0.1161,   0.0146,   0.0106,   0.0172,   0.0009,   0.0011,   0.0010,   0.0003
A51033,1984,   1,   6,   0.0133,   0.0012,   0.0010,   0.0172,   0.0009,   0.0001,   0.0001,   0.0000
A51033,1984,   1,   7,   0.0024,   0.0001,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,   8,   0.0107,   0.0003,   0.0000,   0.0172,   0.0009,   0.0001,   0.0001,   0.0000
A51033,1984,   1,   9,   0.0032,   0.0001,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  10,   0.4468,   0.0286,   0.0135,   0.0172,   0.0009,   0.0040,   0.0037,   0.0013
A51033,1984,   1,  11,   1.1081,   0.0483,   0.0186,   0.0172,   0.0009,   0.0100,   0.0093,   0.0031
A51033,1984,   1,  12,   0.0001,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  13,   0.0016,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  14,   0.1278,   0.0050,   0.0010,   0.0172,   0.0009,   0.0012,   0.0011,   0.0004
A51033,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  16,   0.0177,   0.0009,   0.0002,   0.0172,   0.0009,   0.0002,   0.0001,   0.0001
A51033,1984,   1,  17,   0.0338,   0.0020,   0.0006,   0.0172,   0.0009,   0.0003,   0.0003,   0.0001
A51033,1984,   1,  18,   0.2816,   0.0372,   0.0144,   0.0172,   0.0009,   0.0026,   0.0024,   0.0008
A51033,1984,   1,  19,   0.4638,   0.0338,   0.0095,   0.0172,   0.0009,   0.0042,   0.0039,   0.0013
A51033,1984,   1,  20,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  21,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  22,   0.0010,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  23,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  24,   0.0780,   0.0044,   0.0013,   0.0172,   0.0009,   0.0007,   0.0007,   0.0002
A51033,1984,   1,  25,   0.1883,   0.0102,   0.0042,   0.0172,   0.0009,   0.0017,   0.0016,   0.0005
A51033,1984,   1,  26,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  27,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  28,   0.0000,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  29,   0.0011,   0.0000,   0.0000,   0.0172,   0.0009,   0.0000,   0.0000,   0.0000
A51033,1984,   1,  30,   0.0598,   0.0043,   0.0021,   0.0172,   0.0009,   0.0005,   0.0005,   0.0002
A51033,1984,   1,  31,   0.2533,   0.0224,   0.0130,   0.0172,   0.0009,   0.0023,   0.0021,   0.0007
A51033,1984,   2,   1,   0.0000,   0.0000,   0.0000,   0.0199,   0.0012,   0.0000,   0.0000,   0.0000
