seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B54023,1984,  41.5023,   3.1988,   1.5961,   6.2198,   1.6878,   0.4684,   0.4333,   0.1464
B54023,1985,  47.2105,   3.7931,   1.7732,   6.1031,   1.6781,   0.5327,   0.4927,   0.1665
B54023,1986,  34.2077,   3.8972,   1.9194,   5.9863,   1.6685,   0.3936,   0.3641,   0.1230
B54023,1987,  35.4761,   3.1700,   1.5958,   5.8696,   1.6588,   0.4254,   0.3935,   0.1329
B54023,1988,  30.7478,   2.7808,   1.3398,   5.7529,   1.6492,   0.3778,   0.3494,   0.1181
B54023,1989,  44.1117,   3.6258,   1.9849,   5.6362,   1.6396,   0.5133,   0.4748,   0.1604
B54023,1990,  36.7462,   2.6954,   1.5488,   5.5194,   1.6299,   0.4247,   0.3928,   0.1327
B54023,1991,  32.8367,   2.6464,   1.2745,   5.4027,   1.6203,   0.3599,   0.3329,   0.1125
B54023,1992,  34.1257,   2.8612,   1.4544,   5.2859,   1.6106,   0.3896,   0.3604,   0.1218
B54023,1993,  39.6764,   3.2226,   1.5961,   5.1692,   1.6010,   0.4524,   0.4185,   0.1414
B54023,1994,  45.1164,   3.2646,   1.8845,   5.0525,   1.5913,   0.5141,   0.4755,   0.1606
B54023,1995,  37.5651,   3.0312,   1.8525,   4.9357,   1.5817,   0.4474,   0.4139,   0.1398
B54023,1996,  59.9164,   4.2323,   2.2194,   4.8190,   1.5721,   0.6708,   0.6205,   0.2096
B54023,1997,  35.5417,   2.6158,   1.2630,   4.7023,   1.5624,   0.3947,   0.3651,   0.1233
B54023,1998,  35.8399,   2.7063,   1.4928,   4.5855,   1.5528,   0.4463,   0.4128,   0.1395
B54023,1999,  31.6093,   2.1634,   1.1806,   4.4688,   1.5431,   0.3348,   0.3097,   0.1046
B54023,2000,  34.4267,   2.2543,   1.2768,   4.3521,   1.5335,   0.4023,   0.3721,   0.1257
B54023,2001,  33.9737,   2.4825,   1.5129,   4.2353,   1.5238,   0.4096,   0.3789,   0.1280
B54023,2002,  45.7073,   2.7689,   1.8427,   4.1186,   1.5142,   0.5436,   0.5028,   0.1699
B54023,2003,  56.7823,   2.8323,   1.9325,   4.0019,   1.5046,   0.6607,   0.6111,   0.2065
B54023,2004,  43.8274,   2.3740,   1.7332,   3.8851,   1.4949,   0.5234,   0.4842,   0.1636
B54023,2005,  34.9070,   1.9275,   1.4888,   3.7684,   1.4853,   0.3859,   0.3570,   0.1206
