seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51690,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,   5,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,   6,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,   7,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,   8,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  10,   0.0177,   0.0007,   0.0006,   0.0128,   0.0007,   0.0002,   0.0001,   0.0000
A51690,1984,   1,  11,   1.1460,   0.0377,   0.0235,   0.0128,   0.0007,   0.0104,   0.0096,   0.0032
A51690,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  13,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  14,   0.1741,   0.0044,   0.0023,   0.0128,   0.0007,   0.0016,   0.0015,   0.0005
A51690,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  16,   0.0362,   0.0016,   0.0008,   0.0128,   0.0007,   0.0003,   0.0003,   0.0001
A51690,1984,   1,  17,   0.0001,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  18,   0.2413,   0.0227,   0.0134,   0.0128,   0.0007,   0.0022,   0.0020,   0.0007
A51690,1984,   1,  19,   0.4809,   0.0266,   0.0143,   0.0128,   0.0007,   0.0044,   0.0040,   0.0014
A51690,1984,   1,  20,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  21,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  22,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  23,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  24,   0.0193,   0.0009,   0.0006,   0.0128,   0.0007,   0.0002,   0.0002,   0.0001
A51690,1984,   1,  25,   0.4684,   0.0179,   0.0095,   0.0128,   0.0007,   0.0042,   0.0039,   0.0013
A51690,1984,   1,  26,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  27,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  28,   0.0000,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  29,   0.0052,   0.0001,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  30,   0.0018,   0.0000,   0.0000,   0.0128,   0.0007,   0.0000,   0.0000,   0.0000
A51690,1984,   1,  31,   0.0400,   0.0024,   0.0032,   0.0128,   0.0007,   0.0004,   0.0003,   0.0001
