seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51061,1984,  49.7224,   3.1463,   1.4760,   8.0538,   1.1007,   0.5519,   0.5105,   0.1725
B51061,1985,  37.0837,   2.5903,   1.1344,   7.9225,   1.1020,   0.4056,   0.3752,   0.1268
B51061,1986,  35.0260,   3.2105,   1.4870,   7.7912,   1.1033,   0.3846,   0.3558,   0.1202
B51061,1987,  41.1292,   2.9459,   1.3884,   7.6598,   1.1046,   0.4923,   0.4553,   0.1538
B51061,1988,  35.1497,   2.7177,   1.3133,   7.5285,   1.1059,   0.4329,   0.4005,   0.1353
B51061,1989,  43.4087,   2.9116,   1.9556,   7.3972,   1.1072,   0.5498,   0.5086,   0.1718
B51061,1990,  48.3490,   2.7092,   1.7793,   7.2659,   1.1085,   0.5461,   0.5051,   0.1707
B51061,1991,  29.7147,   1.8453,   1.0826,   7.1346,   1.1097,   0.3200,   0.2960,   0.1000
B51061,1992,  46.4338,   2.3624,   1.3942,   7.0033,   1.1110,   0.5264,   0.4870,   0.1645
B51061,1993,  44.8434,   2.6468,   1.6119,   6.8720,   1.1123,   0.5136,   0.4751,   0.1605
B51061,1994,  46.6849,   2.7747,   1.7725,   6.7407,   1.1136,   0.5077,   0.4696,   0.1586
B51061,1995,  43.2157,   2.7153,   1.6111,   6.6093,   1.1149,   0.5111,   0.4728,   0.1597
B51061,1996,  60.1552,   3.6561,   1.9457,   6.4780,   1.1162,   0.6771,   0.6263,   0.2116
B51061,1997,  37.7960,   2.3487,   1.3513,   6.3467,   1.1175,   0.4112,   0.3804,   0.1285
B51061,1998,  43.2396,   2.5020,   1.5754,   6.2154,   1.1188,   0.5305,   0.4907,   0.1658
B51061,1999,  43.2995,   2.3544,   1.4355,   6.0841,   1.1201,   0.4530,   0.4191,   0.1416
B51061,2000,  40.0546,   2.2278,   1.3736,   5.9528,   1.1214,   0.4784,   0.4426,   0.1495
B51061,2001,  36.4371,   2.1357,   1.5390,   5.8215,   1.1227,   0.4214,   0.3898,   0.1317
B51061,2002,  41.2641,   2.3751,   1.7558,   5.6901,   1.1240,   0.4905,   0.4537,   0.1533
B51061,2003,  61.4387,   2.5277,   1.9998,   5.5588,   1.1253,   0.7213,   0.6672,   0.2254
B51061,2004,  49.8226,   2.1069,   1.7264,   5.4275,   1.1266,   0.6093,   0.5636,   0.1904
B51061,2005,  43.7067,   1.9122,   1.5404,   5.2962,   1.1279,   0.4978,   0.4605,   0.1556
