seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51141,1984,  42.7778,   2.3243,   1.3913,   6.8809,   0.8238,   0.4974,   0.4601,   0.1554
B51141,1985,  56.9743,   2.9342,   1.4397,   6.8034,   0.8251,   0.6346,   0.5870,   0.1983
B51141,1986,  40.0627,   2.7674,   1.4300,   6.7258,   0.8264,   0.4144,   0.3833,   0.1295
B51141,1987,  58.4251,   2.7666,   1.3971,   6.6484,   0.8277,   0.6826,   0.6314,   0.2133
B51141,1988,  36.1139,   2.1117,   1.0989,   6.5709,   0.8290,   0.4023,   0.3721,   0.1257
B51141,1989,  63.3372,   3.3087,   2.0227,   6.4934,   0.8302,   0.7376,   0.6823,   0.2305
B51141,1990,  52.0556,   2.2711,   1.5443,   6.4159,   0.8315,   0.5609,   0.5189,   0.1753
B51141,1991,  46.9688,   2.4839,   1.3638,   6.3384,   0.8328,   0.5430,   0.5023,   0.1697
B51141,1992,  56.8586,   2.5971,   1.4341,   6.2609,   0.8341,   0.6987,   0.6463,   0.2184
B51141,1993,  50.8974,   2.5889,   1.3336,   6.1834,   0.8354,   0.5476,   0.5065,   0.1711
B51141,1994,  54.3564,   2.5480,   1.7370,   6.1059,   0.8367,   0.5744,   0.5313,   0.1795
B51141,1995,  44.9509,   2.2748,   1.4347,   6.0284,   0.8379,   0.5262,   0.4867,   0.1644
B51141,1996,  62.7837,   3.3188,   1.9797,   5.9509,   0.8392,   0.7057,   0.6528,   0.2205
B51141,1997,  37.3611,   2.1132,   1.1826,   5.8734,   0.8405,   0.4407,   0.4077,   0.1377
B51141,1998,  51.4317,   2.5991,   1.6293,   5.7959,   0.8418,   0.6031,   0.5579,   0.1885
B51141,1999,  43.5002,   2.1599,   1.2759,   5.7184,   0.8431,   0.4777,   0.4419,   0.1493
B51141,2000,  37.0633,   2.0974,   1.3316,   5.6410,   0.8444,   0.4386,   0.4057,   0.1371
B51141,2001,  39.4593,   2.1149,   1.4578,   5.5635,   0.8456,   0.4662,   0.4313,   0.1457
B51141,2002,  44.4282,   1.8692,   1.1800,   5.4859,   0.8469,   0.4638,   0.4290,   0.1449
B51141,2003,  68.4809,   2.8178,   2.0727,   5.4085,   0.8482,   0.8272,   0.7652,   0.2585
B51141,2004,  54.3042,   1.9772,   1.4010,   5.3310,   0.8495,   0.6377,   0.5898,   0.1993
B51141,2005,  45.2025,   1.8144,   1.3014,   5.2535,   0.8508,   0.4878,   0.4512,   0.1524
