seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51017,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,   2,   0.0003,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,   3,   0.0003,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,   4,   0.0003,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,   5,   0.0042,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,   6,   0.0006,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,   7,   0.0014,   0.0001,   0.0001,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,   8,   0.0003,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  10,   0.1766,   0.0128,   0.0056,   0.0120,   0.0004,   0.0016,   0.0015,   0.0005
B51017,1984,   1,  11,   0.4927,   0.0275,   0.0078,   0.0120,   0.0004,   0.0045,   0.0041,   0.0014
B51017,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  13,   0.0101,   0.0002,   0.0001,   0.0120,   0.0004,   0.0001,   0.0001,   0.0000
B51017,1984,   1,  14,   0.0389,   0.0015,   0.0005,   0.0120,   0.0004,   0.0004,   0.0003,   0.0001
B51017,1984,   1,  15,   0.0005,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  16,   0.0445,   0.0023,   0.0007,   0.0120,   0.0004,   0.0004,   0.0004,   0.0001
B51017,1984,   1,  17,   0.0299,   0.0019,   0.0007,   0.0120,   0.0004,   0.0003,   0.0003,   0.0001
B51017,1984,   1,  18,   0.2020,   0.0243,   0.0091,   0.0120,   0.0004,   0.0018,   0.0017,   0.0006
B51017,1984,   1,  19,   0.1430,   0.0109,   0.0033,   0.0120,   0.0004,   0.0013,   0.0012,   0.0004
B51017,1984,   1,  20,   0.0000,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  21,   0.0000,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  22,   0.0000,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  23,   0.0173,   0.0003,   0.0000,   0.0120,   0.0004,   0.0002,   0.0001,   0.0000
B51017,1984,   1,  24,   0.2422,   0.0098,   0.0038,   0.0120,   0.0004,   0.0022,   0.0020,   0.0007
B51017,1984,   1,  25,   0.0411,   0.0016,   0.0005,   0.0120,   0.0004,   0.0004,   0.0003,   0.0001
B51017,1984,   1,  26,   0.0000,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  27,   0.0005,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  28,   0.0000,   0.0000,   0.0000,   0.0120,   0.0004,   0.0000,   0.0000,   0.0000
B51017,1984,   1,  29,   0.0302,   0.0023,   0.0010,   0.0120,   0.0004,   0.0003,   0.0003,   0.0001
B51017,1984,   1,  30,   0.0147,   0.0010,   0.0004,   0.0120,   0.0004,   0.0001,   0.0001,   0.0000
B51017,1984,   1,  31,   0.1411,   0.0099,   0.0055,   0.0120,   0.0004,   0.0013,   0.0012,   0.0004
B51017,1984,   2,   1,   0.0000,   0.0000,   0.0000,   0.0137,   0.0007,   0.0000,   0.0000,   0.0000
B51017,1984,   2,   2,   0.0000,   0.0000,   0.0000,   0.0137,   0.0007,   0.0000,   0.0000,   0.0000
B51017,1984,   2,   3,   0.0370,   0.0007,   0.0001,   0.0137,   0.0007,   0.0003,   0.0003,   0.0001
B51017,1984,   2,   4,   0.0344,   0.0025,   0.0016,   0.0137,   0.0007,   0.0003,   0.0003,   0.0001
B51017,1984,   2,   5,   0.0307,   0.0023,   0.0011,   0.0137,   0.0007,   0.0003,   0.0003,   0.0001
B51017,1984,   2,   6,   0.0002,   0.0000,   0.0000,   0.0137,   0.0007,   0.0000,   0.0000,   0.0000
B51017,1984,   2,   7,   0.0000,   0.0000,   0.0000,   0.0137,   0.0007,   0.0000,   0.0000,   0.0000
