seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
C51015,1984,  42.4915,   2.5484,   1.2869,   5.7978,   1.2039,   0.4709,   0.4356,   0.1472
C51015,1985,  43.7645,   2.7868,   1.2163,   5.7116,   1.2047,   0.4680,   0.4329,   0.1463
C51015,1986,  30.6955,   2.6556,   1.2811,   5.6253,   1.2056,   0.3464,   0.3204,   0.1082
C51015,1987,  42.6543,   2.7500,   1.3527,   5.5391,   1.2064,   0.5077,   0.4696,   0.1586
C51015,1988,  31.5872,   2.4629,   1.1465,   5.4528,   1.2073,   0.3556,   0.3289,   0.1111
C51015,1989,  49.4816,   3.0224,   1.7796,   5.3665,   1.2081,   0.5948,   0.5502,   0.1859
C51015,1990,  43.5542,   2.4457,   1.5095,   5.2803,   1.2089,   0.4914,   0.4546,   0.1536
C51015,1991,  39.6128,   2.4301,   1.2718,   5.1940,   1.2097,   0.4214,   0.3898,   0.1317
C51015,1992,  41.8103,   2.6106,   1.4501,   5.1077,   1.2106,   0.5083,   0.4702,   0.1588
C51015,1993,  41.0229,   2.7865,   1.6072,   5.0215,   1.2114,   0.4611,   0.4265,   0.1441
C51015,1994,  39.9447,   2.2896,   1.3841,   4.9352,   1.2123,   0.4306,   0.3983,   0.1346
C51015,1995,  43.2599,   2.5069,   1.5796,   4.8490,   1.2131,   0.5441,   0.5033,   0.1700
C51015,1996,  56.3993,   3.3208,   1.8258,   4.7627,   1.2139,   0.6373,   0.5895,   0.1991
C51015,1997,  37.4645,   2.3972,   1.3554,   4.6764,   1.2148,   0.4118,   0.3809,   0.1287
C51015,1998,  42.3624,   2.3701,   1.3461,   4.5902,   1.2156,   0.5204,   0.4813,   0.1626
C51015,1999,  35.0222,   1.9027,   1.0504,   4.5039,   1.2164,   0.3673,   0.3397,   0.1148
C51015,2000,  38.3915,   2.1051,   1.1968,   4.4177,   1.2173,   0.4694,   0.4342,   0.1467
C51015,2001,  29.7567,   1.8054,   1.1128,   4.3314,   1.2181,   0.3547,   0.3281,   0.1108
C51015,2002,  38.3303,   2.0733,   1.3509,   4.2451,   1.2189,   0.4385,   0.4056,   0.1370
C51015,2003,  59.6207,   2.6764,   1.9099,   4.1589,   1.2198,   0.7089,   0.6558,   0.2215
C51015,2004,  46.4428,   1.9088,   1.3812,   4.0726,   1.2206,   0.5437,   0.5030,   0.1699
C51015,2005,  40.0827,   1.8549,   1.6175,   3.9864,   1.2214,   0.4369,   0.4042,   0.1365
