seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51139,1984,   1,   1.4949,   0.1142,   0.0428,   0.5478,   0.0969,   0.0136,   0.0125,   0.0042
B51139,1984,   2,   5.7554,   0.1693,   0.0772,   0.5606,   0.1158,   0.0522,   0.0483,   0.0163
B51139,1984,   3,   5.5914,   0.3564,   0.1555,   0.7224,   0.1647,   0.0507,   0.0469,   0.0158
B51139,1984,   4,   5.1410,   0.3578,   0.2147,   0.7791,   0.3345,   0.0932,   0.0862,   0.0291
B51139,1984,   5,   2.7061,   0.2153,   0.1397,   0.7905,   0.3045,   0.0491,   0.0454,   0.0153
B51139,1984,   6,   1.6164,   0.1884,   0.1223,   0.6481,   0.5086,   0.0293,   0.0271,   0.0092
B51139,1984,   7,   4.9536,   0.3610,   0.1650,   0.7994,   0.7622,   0.0449,   0.0415,   0.0140
B51139,1984,   8,   6.4936,   0.4883,   0.1950,   0.7196,   0.4817,   0.0589,   0.0544,   0.0184
B51139,1984,   9,   1.7391,   0.1210,   0.0623,   0.9047,   0.2640,   0.0158,   0.0146,   0.0049
B51139,1984,  10,   3.1936,   0.1720,   0.0846,   0.8407,   0.2396,   0.0289,   0.0268,   0.0090
B51139,1984,  11,   3.0299,   0.1430,   0.0599,   0.4533,   0.2657,   0.0275,   0.0254,   0.0086
B51139,1984,  12,   1.4853,   0.1026,   0.0411,   0.6202,   0.0281,   0.0135,   0.0125,   0.0042
B51139,1985,   1,   2.1085,   0.1448,   0.0550,   0.5356,   0.0970,   0.0191,   0.0177,   0.0060
B51139,1985,   2,   3.5973,   0.1453,   0.0470,   0.5482,   0.1159,   0.0326,   0.0302,   0.0102
B51139,1985,   3,   1.5879,   0.1406,   0.0566,   0.7064,   0.1649,   0.0144,   0.0133,   0.0045
B51139,1985,   4,   0.8833,   0.1056,   0.0738,   0.7618,   0.3348,   0.0160,   0.0148,   0.0050
B51139,1985,   5,   5.5262,   0.5805,   0.3292,   0.7730,   0.3048,   0.1002,   0.0927,   0.0313
B51139,1985,   6,   2.0748,   0.2041,   0.1132,   0.6337,   0.5091,   0.0376,   0.0348,   0.0118
B51139,1985,   7,   4.8183,   0.5072,   0.2131,   0.7818,   0.7628,   0.0437,   0.0404,   0.0136
B51139,1985,   8,   4.1278,   0.3996,   0.1581,   0.7037,   0.4821,   0.0374,   0.0346,   0.0117
B51139,1985,   9,   0.7381,   0.0618,   0.0271,   0.8847,   0.2642,   0.0067,   0.0062,   0.0021
B51139,1985,  10,   4.7058,   0.2646,   0.1042,   0.8221,   0.2397,   0.0427,   0.0395,   0.0133
B51139,1985,  11,  12.7417,   0.3691,   0.1247,   0.4433,   0.2659,   0.1155,   0.1068,   0.0361
