seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51670,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
A51670,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
A51670,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
A51670,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
A51670,1984,   1,   5,   0.0074,   0.0006,   0.0011,   0.0129,   0.0330,   0.0001,   0.0001,   0.0000
A51670,1984,   1,   6,   0.0140,   0.0018,   0.0025,   0.0129,   0.0330,   0.0001,   0.0001,   0.0000
A51670,1984,   1,   7,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
A51670,1984,   1,   8,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
A51670,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
A51670,1984,   1,  10,   0.7174,   0.0428,   0.0401,   0.0129,   0.0330,   0.0065,   0.0060,   0.0020
A51670,1984,   1,  11,   1.3036,   0.0491,   0.0291,   0.0129,   0.0330,   0.0118,   0.0109,   0.0037
A51670,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
A51670,1984,   1,  13,   0.0140,   0.0004,   0.0002,   0.0129,   0.0330,   0.0001,   0.0001,   0.0000
A51670,1984,   1,  14,   0.0674,   0.0017,   0.0008,   0.0129,   0.0330,   0.0006,   0.0006,   0.0002
A51670,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0129,   0.0330,   0.0000,   0.0000,   0.0000
