seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A10001,1984,  42.7902,   3.2455,   2.0290,   7.5394,   2.8662,   0.5095,   0.4713,   0.1592
A10001,1985,  42.3422,   3.2599,   1.8895,   7.4026,   2.8669,   0.4613,   0.4267,   0.1441
A10001,1986,  37.1091,   2.9401,   1.8001,   7.2658,   2.8677,   0.3865,   0.3575,   0.1208
A10001,1987,  36.6732,   3.1806,   1.9374,   7.1290,   2.8684,   0.4148,   0.3837,   0.1296
A10001,1988,  39.3004,   2.6308,   1.6480,   6.9922,   2.8691,   0.4368,   0.4041,   0.1365
A10001,1989,  59.1191,   4.4241,   3.1593,   6.8554,   2.8699,   0.7054,   0.6525,   0.2204
A10001,1990,  45.0205,   3.4680,   2.4801,   6.7186,   2.8706,   0.5376,   0.4973,   0.1680
A10001,1991,  40.9250,   3.1311,   2.1519,   6.5818,   2.8713,   0.4424,   0.4093,   0.1383
A10001,1992,  39.3280,   2.6388,   1.8289,   6.4450,   2.8721,   0.4294,   0.3972,   0.1342
A10001,1993,  42.4003,   3.3201,   2.2884,   6.3082,   2.8728,   0.4642,   0.4294,   0.1451
A10001,1994,  47.9319,   3.5733,   2.6344,   6.1714,   2.8735,   0.5166,   0.4779,   0.1614
A10001,1995,  41.1201,   2.7166,   2.2742,   6.0346,   2.8742,   0.4570,   0.4227,   0.1428
A10001,1996,  61.0620,   4.1028,   2.9946,   5.8978,   2.8750,   0.7249,   0.6706,   0.2265
A10001,1997,  41.6098,   2.8525,   1.7925,   5.7610,   2.8757,   0.4558,   0.4216,   0.1424
A10001,1998,  41.4040,   3.0061,   2.0499,   5.6242,   2.8764,   0.4806,   0.4445,   0.1502
A10001,1999,  46.8243,   2.3559,   1.6404,   5.4874,   2.8772,   0.4828,   0.4465,   0.1509
A10001,2000,  49.4094,   3.1564,   2.1018,   5.3506,   2.8779,   0.5610,   0.5189,   0.1753
A10001,2001,  40.7128,   2.7977,   2.2885,   5.2138,   2.8786,   0.4701,   0.4349,   0.1469
A10001,2002,  50.4301,   2.4305,   2.1579,   5.0770,   2.8794,   0.5571,   0.5154,   0.1741
A10001,2003,  60.5642,   3.2443,   2.9495,   4.9402,   2.8801,   0.6931,   0.6411,   0.2166
A10001,2004,  44.8066,   2.6283,   2.5203,   4.8034,   2.8808,   0.5180,   0.4791,   0.1619
A10001,2005,  48.0305,   2.4130,   2.5373,   4.6666,   2.8816,   0.5545,   0.5130,   0.1733
