seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51820,1984,  47.9137,   2.8782,   1.6426,   5.6959,   2.5725,   0.5476,   0.5065,   0.1711
A51820,1985,  50.3758,   3.1805,   1.4990,   5.6254,   2.5766,   0.5340,   0.4940,   0.1669
A51820,1986,  34.7391,   3.3528,   1.8466,   5.5550,   2.5806,   0.3737,   0.3457,   0.1168
A51820,1987,  49.5740,   3.1566,   1.5734,   5.4845,   2.5847,   0.5961,   0.5514,   0.1863
A51820,1988,  33.6701,   2.8515,   1.5968,   5.4141,   2.5887,   0.3953,   0.3657,   0.1235
A51820,1989,  51.4272,   3.0971,   2.3083,   5.3436,   2.5928,   0.6075,   0.5619,   0.1898
A51820,1990,  48.0708,   2.7715,   1.9574,   5.2732,   2.5968,   0.5588,   0.5169,   0.1746
A51820,1991,  41.1306,   2.6173,   1.5576,   5.2027,   2.6009,   0.4406,   0.4076,   0.1377
A51820,1992,  46.6804,   2.9502,   1.7482,   5.1323,   2.6049,   0.5454,   0.5044,   0.1704
A51820,1993,  44.4195,   3.3308,   2.1878,   5.0618,   2.6090,   0.4919,   0.4550,   0.1537
A51820,1994,  44.1697,   2.6817,   1.8187,   4.9914,   2.6130,   0.4562,   0.4220,   0.1426
A51820,1995,  49.1064,   3.1640,   2.2179,   4.9209,   2.6171,   0.6207,   0.5741,   0.1940
A51820,1996,  55.9608,   3.5304,   2.1635,   4.8504,   2.6211,   0.6241,   0.5773,   0.1950
A51820,1997,  42.1230,   2.7901,   1.8645,   4.7800,   2.6252,   0.4517,   0.4178,   0.1412
A51820,1998,  48.9782,   2.9032,   1.6827,   4.7095,   2.6292,   0.5880,   0.5439,   0.1838
A51820,1999,  42.1189,   2.2427,   1.4057,   4.6391,   2.6333,   0.4291,   0.3970,   0.1341
A51820,2000,  41.2411,   2.3312,   1.3714,   4.5686,   2.6373,   0.5110,   0.4727,   0.1597
A51820,2001,  31.3393,   2.1078,   1.4763,   4.4982,   2.6414,   0.3704,   0.3426,   0.1158
A51820,2002,  38.2468,   2.5448,   1.8744,   4.4277,   2.6454,   0.4242,   0.3924,   0.1326
A51820,2003,  69.9454,   3.1586,   2.5916,   4.3573,   2.6495,   0.8093,   0.7486,   0.2529
A51820,2004,  47.5048,   2.0440,   1.6406,   4.2868,   2.6535,   0.5424,   0.5017,   0.1695
A51820,2005,  44.1764,   2.0045,   2.0896,   4.2163,   2.6576,   0.4836,   0.4474,   0.1511
