seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51089,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,   5,   0.0018,   0.0001,   0.0001,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,   6,   0.0012,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,   7,   0.0002,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,   8,   0.0000,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,  10,   0.0833,   0.0036,   0.0022,   0.0125,   0.0007,   0.0008,   0.0007,   0.0002
A51089,1984,   1,  11,   1.0866,   0.0364,   0.0161,   0.0125,   0.0007,   0.0098,   0.0091,   0.0031
A51089,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,  13,   0.0003,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
A51089,1984,   1,  14,   0.1593,   0.0041,   0.0015,   0.0125,   0.0007,   0.0014,   0.0013,   0.0005
A51089,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0125,   0.0007,   0.0000,   0.0000,   0.0000
