seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A42009,1984,  43.2252,   4.3319,   2.1427,   7.1144,   0.9488,   0.4984,   0.4610,   0.1558
A42009,1985,  40.8293,   3.4741,   1.6382,   7.0090,   0.9477,   0.4510,   0.4172,   0.1409
A42009,1986,  33.9386,   3.5467,   1.6694,   6.9035,   0.9465,   0.3753,   0.3471,   0.1173
A42009,1987,  35.0856,   3.4426,   1.6969,   6.7980,   0.9454,   0.4241,   0.3923,   0.1325
A42009,1988,  34.3082,   3.0789,   1.4757,   6.6926,   0.9443,   0.4072,   0.3766,   0.1272
A42009,1989,  46.9725,   4.3690,   2.4961,   6.5872,   0.9432,   0.5588,   0.5169,   0.1746
A42009,1990,  43.3916,   3.3306,   1.8649,   6.4817,   0.9420,   0.4788,   0.4429,   0.1496
A42009,1991,  27.2366,   2.5708,   1.3211,   6.3763,   0.9409,   0.2985,   0.2761,   0.0933
A42009,1992,  36.4466,   3.0949,   1.6062,   6.2708,   0.9398,   0.3934,   0.3639,   0.1229
A42009,1993,  46.4296,   3.6882,   1.8212,   6.1654,   0.9387,   0.5479,   0.5068,   0.1712
A42009,1994,  44.0843,   3.6047,   1.9136,   6.0599,   0.9375,   0.4719,   0.4366,   0.1475
A42009,1995,  38.2044,   3.0338,   1.6910,   5.9545,   0.9364,   0.4662,   0.4312,   0.1457
A42009,1996,  59.9323,   4.6963,   2.7132,   5.8490,   0.9353,   0.6771,   0.6263,   0.2116
A42009,1997,  40.4955,   2.9552,   1.4448,   5.7436,   0.9342,   0.4431,   0.4099,   0.1385
A42009,1998,  38.2678,   3.4449,   1.8492,   5.6381,   0.9331,   0.4949,   0.4578,   0.1547
A42009,1999,  38.7469,   3.1699,   1.8682,   5.5327,   0.9319,   0.4384,   0.4055,   0.1370
A42009,2000,  38.0714,   3.2124,   1.8282,   5.4272,   0.9308,   0.4745,   0.4389,   0.1483
A42009,2001,  29.7044,   2.5674,   1.7133,   5.3218,   0.9297,   0.3677,   0.3401,   0.1149
A42009,2002,  41.4438,   3.1724,   2.0201,   5.2163,   0.9286,   0.4986,   0.4612,   0.1558
A42009,2003,  53.8564,   3.2705,   2.3941,   5.1109,   0.9274,   0.6399,   0.5919,   0.2000
A42009,2004,  51.5334,   3.0359,   2.2204,   5.0054,   0.9263,   0.5864,   0.5424,   0.1833
A42009,2005,  35.2566,   1.8765,   1.3391,   4.9000,   0.9252,   0.3755,   0.3473,   0.1173
