seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51105,1984,   1,   2.9639,   0.1983,   0.0927,   0.4400,   0.0120,   0.0269,   0.0249,   0.0084
A51105,1984,   2,   4.9791,   0.1913,   0.1122,   0.4144,   0.0200,   0.0451,   0.0417,   0.0141
A51105,1984,   3,   5.2731,   0.4749,   0.2956,   0.4444,   0.0335,   0.0478,   0.0442,   0.0149
A51105,1984,   4,   3.4321,   0.2483,   0.1764,   0.5111,   0.0560,   0.0622,   0.0576,   0.0194
A51105,1984,   5,   8.9463,   0.4345,   0.3431,   0.5489,   0.0424,   0.1622,   0.1500,   0.0507
A51105,1984,   6,   3.7077,   0.3079,   0.2494,   0.4499,   0.0542,   0.0672,   0.0622,   0.0210
A51105,1984,   7,   4.9808,   0.3358,   0.1609,   0.4497,   0.0546,   0.0451,   0.0418,   0.0141
A51105,1984,   8,   2.0767,   0.1700,   0.0814,   0.4761,   0.0386,   0.0188,   0.0174,   0.0059
A51105,1984,   9,   1.2294,   0.0916,   0.0613,   0.4869,   0.0265,   0.0111,   0.0103,   0.0035
A51105,1984,  10,   5.2950,   0.2144,   0.1260,   0.5111,   0.0248,   0.0480,   0.0444,   0.0150
A51105,1984,  11,   5.5156,   0.2054,   0.1056,   0.4113,   0.0277,   0.0500,   0.0462,   0.0156
A51105,1984,  12,   3.5045,   0.1698,   0.0869,   0.3994,   0.0090,   0.0318,   0.0294,   0.0099
A51105,1985,   1,   3.0968,   0.1601,   0.0623,   0.4363,   0.0120,   0.0281,   0.0260,   0.0088
A51105,1985,   2,   4.8801,   0.2035,   0.0818,   0.4109,   0.0200,   0.0442,   0.0409,   0.0138
A51105,1985,   3,   2.3302,   0.1899,   0.0991,   0.4407,   0.0336,   0.0211,   0.0195,   0.0066
A51105,1985,   4,   3.7158,   0.2680,   0.1760,   0.5068,   0.0563,   0.0674,   0.0623,   0.0211
A51105,1985,   5,   3.4264,   0.2824,   0.1534,   0.5443,   0.0426,   0.0621,   0.0575,   0.0194
A51105,1985,   6,   4.6161,   0.2887,   0.1872,   0.4461,   0.0544,   0.0837,   0.0774,   0.0262
A51105,1985,   7,   4.4020,   0.3480,   0.1378,   0.4459,   0.0548,   0.0399,   0.0369,   0.0125
A51105,1985,   8,   5.4316,   0.3754,   0.1254,   0.4721,   0.0388,   0.0492,   0.0455,   0.0154
A51105,1985,   9,   0.8164,   0.0553,   0.0279,   0.4827,   0.0266,   0.0074,   0.0068,   0.0023
A51105,1985,  10,   2.7704,   0.1756,   0.0724,   0.5068,   0.0249,   0.0251,   0.0232,   0.0078
A51105,1985,  11,   6.2588,   0.2645,   0.0992,   0.4078,   0.0278,   0.0567,   0.0525,   0.0177
A51105,1985,  12,   1.4986,   0.0967,   0.0380,   0.3961,   0.0090,   0.0136,   0.0126,   0.0042
A51105,1986,   1,   1.4527,   0.0797,   0.0367,   0.4326,   0.0121,   0.0132,   0.0122,   0.0041
A51105,1986,   2,   7.0282,   0.2908,   0.1455,   0.4074,   0.0201,   0.0637,   0.0589,   0.0199
A51105,1986,   3,   2.3451,   0.1739,   0.1026,   0.4369,   0.0337,   0.0213,   0.0197,   0.0066
A51105,1986,   4,   1.4986,   0.1540,   0.1182,   0.5025,   0.0565,   0.0272,   0.0251,   0.0085
A51105,1986,   5,   4.0547,   0.3227,   0.1850,   0.5396,   0.0428,   0.0735,   0.0680,   0.0230
A51105,1986,   6,   1.7652,   0.1596,   0.0986,   0.4423,   0.0546,   0.0320,   0.0296,   0.0100
A51105,1986,   7,   4.2171,   0.2253,   0.0902,   0.4421,   0.0550,   0.0382,   0.0354,   0.0119
A51105,1986,   8,   4.5328,   0.3912,   0.1554,   0.4681,   0.0389,   0.0411,   0.0380,   0.0128
A51105,1986,   9,   5.4802,   0.2580,   0.1040,   0.4786,   0.0267,   0.0497,   0.0459,   0.0155
A51105,1986,  10,   4.2041,   0.2604,   0.1157,   0.5025,   0.0250,   0.0381,   0.0353,   0.0119
A51105,1986,  11,   6.1333,   0.2616,   0.1075,   0.4044,   0.0279,   0.0556,   0.0514,   0.0174
A51105,1986,  12,   4.0015,   0.1734,   0.0556,   0.3927,   0.0090,   0.0363,   0.0336,   0.0113
A51105,1987,   1,   4.0216,   0.1484,   0.0531,   0.4288,   0.0121,   0.0365,   0.0337,   0.0114
A51105,1987,   2,   3.6653,   0.1538,   0.0512,   0.4039,   0.0202,   0.0332,   0.0307,   0.0104
A51105,1987,   3,   2.3751,   0.2139,   0.0992,   0.4332,   0.0339,   0.0215,   0.0199,   0.0067
A51105,1987,   4,   4.8397,   0.3588,   0.2397,   0.4981,   0.0567,   0.0877,   0.0812,   0.0274
A51105,1987,   5,   4.2533,   0.3905,   0.2395,   0.5350,   0.0430,   0.0771,   0.0713,   0.0241
A51105,1987,   6,   4.0453,   0.2961,   0.1773,   0.4385,   0.0549,   0.0733,   0.0678,   0.0229
A51105,1987,   7,   3.7543,   0.2311,   0.0920,   0.4383,   0.0552,   0.0340,   0.0315,   0.0106
A51105,1987,   8,   3.5642,   0.2633,   0.1195,   0.4641,   0.0391,   0.0323,   0.0299,   0.0101
A51105,1987,   9,   3.8517,   0.1972,   0.1040,   0.4745,   0.0268,   0.0349,   0.0323,   0.0109
A51105,1987,  10,   0.7188,   0.0499,   0.0312,   0.4982,   0.0251,   0.0065,   0.0060,   0.0020
A51105,1987,  11,   1.7038,   0.0795,   0.0371,   0.4009,   0.0280,   0.0154,   0.0143,   0.0048
A51105,1987,  12,   5.2051,   0.1404,   0.0491,   0.3893,   0.0091,   0.0472,   0.0436,   0.0147
A51105,1988,   1,   3.0911,   0.1031,   0.0359,   0.4251,   0.0122,   0.0280,   0.0259,   0.0088
A51105,1988,   2,   2.2050,   0.1064,   0.0789,   0.4004,   0.0203,   0.0200,   0.0185,   0.0062
A51105,1988,   3,   1.7302,   0.1177,   0.0840,   0.4294,   0.0340,   0.0157,   0.0145,   0.0049
A51105,1988,   4,   4.2319,   0.2265,   0.1596,   0.4938,   0.0569,   0.0767,   0.0710,   0.0240
A51105,1988,   5,   4.1307,   0.2630,   0.1922,   0.5304,   0.0431,   0.0749,   0.0693,   0.0234
A51105,1988,   6,   1.0705,   0.0991,   0.0731,   0.4347,   0.0551,   0.0194,   0.0180,   0.0061
A51105,1988,   7,   3.7942,   0.2629,   0.1169,   0.4345,   0.0555,   0.0344,   0.0318,   0.0107
A51105,1988,   8,   3.3920,   0.2676,   0.1084,   0.4600,   0.0392,   0.0307,   0.0284,   0.0096
A51105,1988,   9,   6.0385,   0.2356,   0.1221,   0.4704,   0.0269,   0.0547,   0.0506,   0.0171
A51105,1988,  10,   2.1230,   0.1230,   0.0656,   0.4939,   0.0252,   0.0192,   0.0178,   0.0060
A51105,1988,  11,   5.3655,   0.1735,   0.0862,   0.3974,   0.0281,   0.0486,   0.0450,   0.0152
A51105,1988,  12,   2.9345,   0.0896,   0.0355,   0.3860,   0.0091,   0.0266,   0.0246,   0.0083
A51105,1989,   1,   5.4411,   0.1606,   0.0896,   0.4214,   0.0122,   0.0493,   0.0456,   0.0154
A51105,1989,   2,   4.9093,   0.2090,   0.1343,   0.3969,   0.0204,   0.0445,   0.0412,   0.0139
A51105,1989,   3,   4.2780,   0.2930,   0.1929,   0.4257,   0.0341,   0.0388,   0.0359,   0.0121
A51105,1989,   4,   4.1742,   0.2645,   0.2592,   0.4895,   0.0572,   0.0757,   0.0700,   0.0236
A51105,1989,   5,   6.2099,   0.3811,   0.2616,   0.5257,   0.0433,   0.1126,   0.1041,   0.0352
A51105,1989,   6,   8.9372,   0.4490,   0.3475,   0.4309,   0.0553,   0.1620,   0.1499,   0.0506
A51105,1989,   7,   4.1877,   0.2790,   0.1499,   0.4307,   0.0557,   0.0380,   0.0351,   0.0119
A51105,1989,   8,   5.9347,   0.3916,   0.1861,   0.4560,   0.0394,   0.0538,   0.0498,   0.0168
A51105,1989,   9,   5.7836,   0.2774,   0.1409,   0.4663,   0.0270,   0.0524,   0.0485,   0.0164
A51105,1989,  10,   4.1309,   0.1165,   0.0676,   0.4895,   0.0253,   0.0374,   0.0346,   0.0117
A51105,1989,  11,   4.7964,   0.1855,   0.1177,   0.3939,   0.0282,   0.0435,   0.0402,   0.0136
A51105,1989,  12,   1.9665,   0.1240,   0.0600,   0.3826,   0.0091,   0.0178,   0.0165,   0.0056
A51105,1990,   1,   3.3194,   0.1535,   0.0996,   0.4177,   0.0123,   0.0301,   0.0278,   0.0094
A51105,1990,   2,   5.4919,   0.1236,   0.0990,   0.3934,   0.0204,   0.0498,   0.0460,   0.0156
A51105,1990,   3,   3.5329,   0.2546,   0.1549,   0.4219,   0.0343,   0.0320,   0.0296,   0.0100
A51105,1990,   4,   3.3709,   0.2515,   0.1962,   0.4852,   0.0574,   0.0611,   0.0565,   0.0191
A51105,1990,   5,   7.2255,   0.3904,   0.3253,   0.5211,   0.0435,   0.1310,   0.1212,   0.0409
A51105,1990,   6,   2.9251,   0.1737,   0.1494,   0.4271,   0.0555,   0.0530,   0.0491,   0.0166
A51105,1990,   7,   5.0308,   0.3107,   0.1720,   0.4269,   0.0559,   0.0456,   0.0422,   0.0143
A51105,1990,   8,   4.2189,   0.3187,   0.1743,   0.4520,   0.0395,   0.0382,   0.0354,   0.0120
A51105,1990,   9,   2.3901,   0.1361,   0.0879,   0.4622,   0.0271,   0.0217,   0.0200,   0.0068
A51105,1990,  10,   3.8664,   0.1469,   0.0965,   0.4852,   0.0254,   0.0350,   0.0324,   0.0110
A51105,1990,  11,   1.6307,   0.0743,   0.0469,   0.3905,   0.0284,   0.0148,   0.0137,   0.0046
