seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B54031,1984,  39.3090,   3.0384,   1.5409,   6.0393,   2.3091,   0.4414,   0.4083,   0.1379
B54031,1985,  42.5148,   3.3289,   1.5242,   5.9274,   2.2990,   0.4739,   0.4384,   0.1481
B54031,1986,  31.4821,   3.6161,   1.7556,   5.8155,   2.2889,   0.3603,   0.3333,   0.1126
B54031,1987,  36.2526,   3.1422,   1.5767,   5.7035,   2.2789,   0.4346,   0.4020,   0.1358
B54031,1988,  29.2002,   2.6115,   1.2863,   5.5916,   2.2688,   0.3632,   0.3360,   0.1135
B54031,1989,  41.0199,   3.3319,   1.8831,   5.4797,   2.2587,   0.4787,   0.4428,   0.1496
B54031,1990,  34.5526,   2.4463,   1.4560,   5.3677,   2.2486,   0.3910,   0.3617,   0.1222
B54031,1991,  31.0929,   2.4623,   1.2692,   5.2558,   2.2386,   0.3430,   0.3172,   0.1072
B54031,1992,  32.5842,   2.5903,   1.3952,   5.1439,   2.2285,   0.3753,   0.3472,   0.1173
B54031,1993,  38.9403,   3.0853,   1.6193,   5.0320,   2.2184,   0.4450,   0.4116,   0.1391
B54031,1994,  42.7970,   3.0285,   1.8000,   4.9200,   2.2083,   0.4820,   0.4459,   0.1506
B54031,1995,  35.7223,   2.7491,   1.7089,   4.8081,   2.1982,   0.4285,   0.3963,   0.1339
B54031,1996,  57.2089,   4.0020,   2.1379,   4.6962,   2.1882,   0.6336,   0.5861,   0.1980
B54031,1997,  34.0666,   2.4654,   1.2359,   4.5842,   2.1781,   0.3768,   0.3486,   0.1178
B54031,1998,  34.9848,   2.5398,   1.4577,   4.4723,   2.1680,   0.4357,   0.4030,   0.1361
B54031,1999,  30.2560,   2.0309,   1.1503,   4.3604,   2.1579,   0.3187,   0.2948,   0.0996
B54031,2000,  33.3446,   2.1606,   1.2676,   4.2485,   2.1479,   0.3878,   0.3587,   0.1212
B54031,2001,  31.8519,   2.2939,   1.4415,   4.1365,   2.1378,   0.3822,   0.3535,   0.1194
B54031,2002,  44.2366,   2.7306,   1.8482,   4.0246,   2.1277,   0.5266,   0.4871,   0.1646
B54031,2003,  54.9883,   2.6617,   1.8797,   3.9127,   2.1176,   0.6406,   0.5926,   0.2002
B54031,2004,  40.9344,   2.1293,   1.6587,   3.8007,   2.1075,   0.4920,   0.4551,   0.1537
B54031,2005,  31.6531,   1.7031,   1.3843,   3.6888,   2.0975,   0.3543,   0.3277,   0.1107
