seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A42111,1984,  45.5349,   4.0909,   1.9421,   8.4518,   0.8961,   0.5184,   0.4795,   0.1620
A42111,1985,  47.5695,   3.7466,   1.6739,   8.3397,   0.8950,   0.5206,   0.4816,   0.1627
A42111,1986,  38.5352,   3.7487,   1.7202,   8.2276,   0.8940,   0.4192,   0.3878,   0.1310
A42111,1987,  37.0221,   3.2854,   1.5509,   8.1156,   0.8930,   0.4427,   0.4095,   0.1384
A42111,1988,  36.4855,   3.2015,   1.4766,   8.0035,   0.8920,   0.4283,   0.3962,   0.1338
A42111,1989,  47.6392,   4.2404,   2.2444,   7.8914,   0.8909,   0.5622,   0.5200,   0.1757
A42111,1990,  44.8334,   3.3247,   1.8317,   7.7794,   0.8899,   0.4925,   0.4556,   0.1539
A42111,1991,  30.5555,   2.6285,   1.2754,   7.6673,   0.8889,   0.3398,   0.3143,   0.1062
A42111,1992,  39.3320,   3.3803,   1.7025,   7.5552,   0.8879,   0.4266,   0.3946,   0.1333
A42111,1993,  47.9838,   4.0489,   1.9204,   7.4431,   0.8869,   0.5573,   0.5155,   0.1742
A42111,1994,  45.2373,   3.6001,   1.8165,   7.3311,   0.8858,   0.4918,   0.4549,   0.1537
A42111,1995,  38.8532,   3.0262,   1.6460,   7.2190,   0.8848,   0.4705,   0.4352,   0.1470
A42111,1996,  59.4174,   4.4469,   2.4096,   7.1069,   0.8838,   0.6634,   0.6137,   0.2073
A42111,1997,  40.2957,   2.8890,   1.3453,   6.9949,   0.8828,   0.4395,   0.4065,   0.1373
A42111,1998,  41.5196,   3.6273,   1.8744,   6.8828,   0.8817,   0.5275,   0.4880,   0.1649
A42111,1999,  38.1801,   3.0465,   1.6282,   6.7707,   0.8807,   0.4355,   0.4028,   0.1361
A42111,2000,  39.4331,   3.1268,   1.6943,   6.6586,   0.8797,   0.4774,   0.4416,   0.1492
A42111,2001,  34.1557,   2.7948,   1.6664,   6.5466,   0.8787,   0.4254,   0.3935,   0.1329
A42111,2002,  42.4875,   3.2047,   1.9299,   6.4345,   0.8777,   0.5025,   0.4648,   0.1570
A42111,2003,  55.3616,   3.2457,   2.2065,   6.3224,   0.8766,   0.6620,   0.6124,   0.2069
A42111,2004,  51.5146,   2.9407,   1.9842,   6.2104,   0.8756,   0.5952,   0.5506,   0.1860
A42111,2005,  39.6206,   1.9888,   1.3401,   6.0983,   0.8746,   0.4325,   0.4000,   0.1351
