seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
C51165,1984,  45.4721,   2.9056,   1.4127,   6.9412,   3.5756,   0.5110,   0.4727,   0.1597
C51165,1985,  47.2669,   3.1572,   1.3489,   6.8212,   3.5872,   0.5050,   0.4671,   0.1578
C51165,1986,  31.5696,   3.0234,   1.3927,   6.7012,   3.5987,   0.3415,   0.3159,   0.1067
C51165,1987,  47.4230,   3.1938,   1.3607,   6.5813,   3.6102,   0.5645,   0.5222,   0.1764
C51165,1988,  31.5796,   2.7641,   1.3745,   6.4613,   3.6218,   0.3745,   0.3464,   0.1170
C51165,1989,  48.6026,   2.8522,   2.1100,   6.3413,   3.6333,   0.5809,   0.5373,   0.1815
C51165,1990,  46.6042,   2.3653,   1.6325,   6.2214,   3.6449,   0.5354,   0.4952,   0.1673
C51165,1991,  39.2771,   2.3163,   1.4683,   6.1014,   3.6564,   0.4273,   0.3952,   0.1335
C51165,1992,  46.2487,   2.4037,   1.4697,   5.9814,   3.6679,   0.5332,   0.4932,   0.1666
C51165,1993,  45.3338,   2.9074,   1.9189,   5.8615,   3.6795,   0.5044,   0.4666,   0.1576
C51165,1994,  43.5485,   2.4673,   1.6810,   5.7415,   3.6910,   0.4581,   0.4237,   0.1432
C51165,1995,  47.9832,   3.2988,   2.0113,   5.6215,   3.7026,   0.5865,   0.5425,   0.1833
C51165,1996,  59.6757,   3.7474,   1.9845,   5.5015,   3.7141,   0.6627,   0.6130,   0.2071
C51165,1997,  41.5082,   2.4570,   1.5912,   5.3816,   3.7256,   0.4412,   0.4081,   0.1379
C51165,1998,  46.3836,   2.5251,   1.6499,   5.2616,   3.7372,   0.5611,   0.5190,   0.1753
C51165,1999,  39.5616,   1.9256,   1.2456,   5.1416,   3.7487,   0.4038,   0.3736,   0.1262
C51165,2000,  38.7060,   2.0350,   1.2687,   5.0217,   3.7603,   0.4791,   0.4432,   0.1497
C51165,2001,  31.2105,   1.8303,   1.3404,   4.9017,   3.7718,   0.3743,   0.3462,   0.1170
C51165,2002,  38.4418,   2.1970,   1.6173,   4.7817,   3.7833,   0.4320,   0.3996,   0.1350
C51165,2003,  66.1230,   2.6523,   2.1331,   4.6618,   3.7949,   0.7610,   0.7039,   0.2378
C51165,2004,  45.9236,   1.8321,   1.5890,   4.5418,   3.8064,   0.5348,   0.4947,   0.1671
C51165,2005,  38.6824,   1.5873,   1.7049,   4.4218,   3.8180,   0.4207,   0.3891,   0.1315
