seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51660,1984,  39.6574,   2.7709,   1.6499,   4.7558,   7.9538,   0.4433,   0.4100,   0.1385
A51660,1985,  42.1056,   3.0924,   1.6202,   4.6672,   7.9806,   0.4586,   0.4242,   0.1433
A51660,1986,  28.3639,   2.9999,   1.7269,   4.5786,   8.0075,   0.3186,   0.2947,   0.0996
A51660,1987,  40.6421,   3.2001,   1.7754,   4.4900,   8.0344,   0.4878,   0.4513,   0.1525
A51660,1988,  30.1162,   2.7779,   1.6268,   4.4013,   8.0612,   0.3597,   0.3327,   0.1124
A51660,1989,  44.1873,   2.9751,   2.3567,   4.3127,   8.0881,   0.5255,   0.4861,   0.1642
A51660,1990,  39.8151,   2.3076,   1.8486,   4.2241,   8.1149,   0.4464,   0.4129,   0.1395
A51660,1991,  34.3563,   2.3018,   1.7096,   4.1355,   8.1418,   0.3751,   0.3470,   0.1172
A51660,1992,  36.8002,   2.3200,   1.7221,   4.0468,   8.1686,   0.4355,   0.4028,   0.1361
A51660,1993,  38.5147,   2.7863,   2.1155,   3.9582,   8.1955,   0.4278,   0.3957,   0.1337
A51660,1994,  37.3795,   2.2964,   1.8501,   3.8696,   8.2223,   0.3999,   0.3699,   0.1250
A51660,1995,  43.9174,   3.0686,   2.2998,   3.7810,   8.2492,   0.5413,   0.5007,   0.1692
A51660,1996,  57.9124,   3.8517,   2.4977,   3.6924,   8.2760,   0.6454,   0.5970,   0.2017
A51660,1997,  36.7636,   2.4085,   1.8258,   3.6037,   8.3029,   0.4003,   0.3703,   0.1251
A51660,1998,  41.3741,   2.4505,   1.9287,   3.5151,   8.3297,   0.4986,   0.4612,   0.1558
A51660,1999,  33.3439,   1.8271,   1.4162,   3.4265,   8.3566,   0.3435,   0.3177,   0.1073
A51660,2000,  35.7584,   2.0719,   1.5643,   3.3379,   8.3834,   0.4322,   0.3998,   0.1351
A51660,2001,  28.3917,   1.8249,   1.6077,   3.2493,   8.4103,   0.3392,   0.3137,   0.1060
A51660,2002,  36.4563,   2.1369,   1.8812,   3.1606,   8.4371,   0.4162,   0.3850,   0.1301
A51660,2003,  58.1887,   2.6327,   2.5018,   3.0720,   8.4640,   0.6849,   0.6335,   0.2140
A51660,2004,  42.4372,   1.9409,   2.0502,   2.9834,   8.4908,   0.4888,   0.4522,   0.1528
A51660,2005,  35.8724,   1.6399,   2.2386,   2.8948,   8.5176,   0.3951,   0.3655,   0.1235
