seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51161,1984,  39.8164,   2.2196,   1.5753,   6.7472,   0.6249,   0.4533,   0.4193,   0.1417
B51161,1985,  46.1463,   2.5707,   1.4260,   6.6572,   0.6243,   0.5085,   0.4704,   0.1589
B51161,1986,  35.0580,   2.5477,   1.4598,   6.5671,   0.6237,   0.3730,   0.3450,   0.1166
B51161,1987,  48.3631,   2.3400,   1.3690,   6.4770,   0.6231,   0.5652,   0.5228,   0.1766
B51161,1988,  30.7416,   1.9906,   1.1700,   6.3869,   0.6225,   0.3630,   0.3358,   0.1134
B51161,1989,  51.3621,   2.9021,   2.0466,   6.2968,   0.6219,   0.6127,   0.5668,   0.1915
B51161,1990,  45.8927,   2.1758,   1.7506,   6.2068,   0.6213,   0.5105,   0.4723,   0.1595
B51161,1991,  36.3427,   1.9547,   1.2317,   6.1167,   0.6207,   0.4103,   0.3795,   0.1282
B51161,1992,  46.4530,   2.3698,   1.5136,   6.0266,   0.6201,   0.5775,   0.5342,   0.1805
B51161,1993,  45.0266,   2.4755,   1.5137,   5.9365,   0.6196,   0.4976,   0.4603,   0.1555
B51161,1994,  44.1056,   2.3698,   1.8984,   5.8464,   0.6190,   0.4775,   0.4417,   0.1492
B51161,1995,  41.4528,   2.1746,   1.5676,   5.7563,   0.6184,   0.5104,   0.4721,   0.1595
B51161,1996,  52.9830,   2.7620,   1.8859,   5.6663,   0.6178,   0.5847,   0.5408,   0.1827
B51161,1997,  33.6627,   2.0256,   1.2987,   5.5762,   0.6172,   0.3899,   0.3607,   0.1219
B51161,1998,  44.8856,   2.2549,   1.6677,   5.4861,   0.6166,   0.5299,   0.4901,   0.1656
B51161,1999,  36.0866,   1.8145,   1.2088,   5.3960,   0.6160,   0.3853,   0.3564,   0.1204
B51161,2000,  39.0305,   2.1987,   1.7194,   5.3059,   0.6154,   0.4750,   0.4394,   0.1484
B51161,2001,  30.5905,   1.6459,   1.2415,   5.2159,   0.6148,   0.3686,   0.3410,   0.1152
B51161,2002,  38.2926,   1.6468,   1.2347,   5.1258,   0.6142,   0.4199,   0.3884,   0.1312
B51161,2003,  56.4517,   2.3277,   2.0245,   5.0357,   0.6136,   0.6969,   0.6447,   0.2178
B51161,2004,  49.3530,   1.8623,   1.4944,   4.9456,   0.6130,   0.5707,   0.5279,   0.1783
B51161,2005,  37.3408,   1.5931,   1.3085,   4.8555,   0.6125,   0.4072,   0.3767,   0.1273
