seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B42081,1984,  47.4926,   4.8721,   2.6121,   6.8853,   1.3666,   0.5687,   0.5261,   0.1777
B42081,1985,  36.9317,   3.6930,   1.9088,   6.7442,   1.3561,   0.4215,   0.3899,   0.1317
B42081,1986,  45.3117,   4.5828,   2.2694,   6.6031,   1.3457,   0.5226,   0.4834,   0.1633
B42081,1987,  38.1245,   4.1259,   2.1058,   6.4619,   1.3353,   0.4335,   0.4010,   0.1355
B42081,1988,  37.0957,   3.6317,   1.8166,   6.3208,   1.3249,   0.4106,   0.3798,   0.1283
B42081,1989,  41.7307,   3.8495,   2.3307,   6.1797,   1.3144,   0.5157,   0.4770,   0.1612
B42081,1990,  50.3799,   4.3668,   2.6491,   6.0386,   1.3040,   0.5656,   0.5231,   0.1767
B42081,1991,  33.7024,   3.3793,   1.8671,   5.8975,   1.2936,   0.3634,   0.3362,   0.1136
B42081,1992,  41.9390,   3.6906,   2.0754,   5.7564,   1.2831,   0.4591,   0.4247,   0.1435
B42081,1993,  47.0624,   4.2848,   2.2277,   5.6153,   1.2727,   0.5577,   0.5158,   0.1743
B42081,1994,  49.6506,   4.2343,   2.6357,   5.4742,   1.2623,   0.5600,   0.5180,   0.1750
B42081,1995,  36.2882,   2.8221,   1.7479,   5.3331,   1.2519,   0.4092,   0.3786,   0.1279
B42081,1996,  55.7796,   4.6453,   2.8631,   5.1920,   1.2414,   0.6241,   0.5773,   0.1950
B42081,1997,  35.7340,   2.9576,   1.6201,   5.0508,   1.2310,   0.3954,   0.3657,   0.1236
B42081,1998,  42.9411,   3.6132,   2.1742,   4.9097,   1.2206,   0.5397,   0.4992,   0.1687
B42081,1999,  44.5495,   3.1791,   1.9144,   4.7686,   1.2101,   0.4821,   0.4460,   0.1507
B42081,2000,  42.1769,   3.3092,   2.0672,   4.6275,   1.1997,   0.5198,   0.4808,   0.1624
B42081,2001,  36.2531,   2.7192,   1.9273,   4.4864,   1.1893,   0.4176,   0.3863,   0.1305
B42081,2002,  44.9001,   3.0427,   2.1592,   4.3453,   1.1789,   0.5368,   0.4965,   0.1677
B42081,2003,  54.3489,   3.2748,   2.5120,   4.2042,   1.1684,   0.6124,   0.5665,   0.1914
B42081,2004,  55.8540,   3.4716,   2.7304,   4.0631,   1.1580,   0.6362,   0.5885,   0.1988
B42081,2005,  45.2597,   2.2301,   1.6855,   3.9220,   1.1476,   0.4846,   0.4482,   0.1514
