seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51187,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,   5,   0.0060,   0.0001,   0.0000,   0.0157,   0.0013,   0.0001,   0.0001,   0.0000
B51187,1984,   1,   6,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,   7,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,   8,   0.0030,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,  10,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,  11,   0.8320,   0.0554,   0.0158,   0.0157,   0.0013,   0.0075,   0.0070,   0.0024
B51187,1984,   1,  12,   0.0029,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,  13,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,  14,   0.0697,   0.0034,   0.0011,   0.0157,   0.0013,   0.0006,   0.0006,   0.0002
B51187,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
B51187,1984,   1,  16,   0.0030,   0.0002,   0.0001,   0.0157,   0.0013,   0.0000,   0.0000,   0.0000
