seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A36003,1984,   1,   1,   0.0005,   0.0000,   0.0000,   0.0195,   0.0008,   0.0000,   0.0000,   0.0000
A36003,1984,   1,   2,   0.0131,   0.0009,   0.0002,   0.0195,   0.0008,   0.0001,   0.0001,   0.0000
A36003,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0195,   0.0008,   0.0000,   0.0000,   0.0000
A36003,1984,   1,   4,   0.0126,   0.0004,   0.0000,   0.0195,   0.0008,   0.0001,   0.0001,   0.0000
A36003,1984,   1,   5,   0.0152,   0.0010,   0.0007,   0.0195,   0.0008,   0.0001,   0.0001,   0.0000
A36003,1984,   1,   6,   0.0244,   0.0038,   0.0023,   0.0195,   0.0008,   0.0002,   0.0002,   0.0001
A36003,1984,   1,   7,   0.0384,   0.0065,   0.0038,   0.0195,   0.0008,   0.0003,   0.0003,   0.0001
A36003,1984,   1,   8,   0.0230,   0.0025,   0.0015,   0.0195,   0.0008,   0.0002,   0.0002,   0.0001
A36003,1984,   1,   9,   0.0674,   0.0068,   0.0023,   0.0195,   0.0008,   0.0006,   0.0006,   0.0002
A36003,1984,   1,  10,   0.6132,   0.0508,   0.0141,   0.0195,   0.0008,   0.0056,   0.0051,   0.0017
A36003,1984,   1,  11,   0.0545,   0.0044,   0.0010,   0.0195,   0.0008,   0.0005,   0.0005,   0.0002
A36003,1984,   1,  12,   0.0086,   0.0002,   0.0000,   0.0195,   0.0008,   0.0001,   0.0001,   0.0000
A36003,1984,   1,  13,   0.0000,   0.0000,   0.0000,   0.0195,   0.0008,   0.0000,   0.0000,   0.0000
A36003,1984,   1,  14,   0.0308,   0.0031,   0.0012,   0.0195,   0.0008,   0.0003,   0.0003,   0.0001
A36003,1984,   1,  15,   0.0307,   0.0036,   0.0010,   0.0195,   0.0008,   0.0003,   0.0003,   0.0001
A36003,1984,   1,  16,   0.0131,   0.0005,   0.0001,   0.0195,   0.0008,   0.0001,   0.0001,   0.0000
A36003,1984,   1,  17,   0.0131,   0.0013,   0.0003,   0.0195,   0.0008,   0.0001,   0.0001,   0.0000
A36003,1984,   1,  18,   0.0131,   0.0021,   0.0012,   0.0195,   0.0008,   0.0001,   0.0001,   0.0000
A36003,1984,   1,  19,   0.0957,   0.0153,   0.0070,   0.0195,   0.0008,   0.0009,   0.0008,   0.0003
A36003,1984,   1,  20,   0.0000,   0.0000,   0.0000,   0.0195,   0.0008,   0.0000,   0.0000,   0.0000
A36003,1984,   1,  21,   0.0126,   0.0006,   0.0001,   0.0195,   0.0008,   0.0001,   0.0001,   0.0000
A36003,1984,   1,  22,   0.0000,   0.0000,   0.0000,   0.0195,   0.0008,   0.0000,   0.0000,   0.0000
A36003,1984,   1,  23,   0.0000,   0.0000,   0.0000,   0.0195,   0.0008,   0.0000,   0.0000,   0.0000
