seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A37185,1984,  44.4292,   2.0574,   1.0283,   5.8302,   1.0687,   0.5183,   0.4794,   0.1620
A37185,1985,  41.8165,   1.8753,   0.8638,   5.7777,   1.0870,   0.4477,   0.4142,   0.1399
A37185,1986,  33.2299,   1.9745,   1.0520,   5.7252,   1.1054,   0.3413,   0.3157,   0.1066
A37185,1987,  50.0145,   2.5020,   1.3253,   5.6727,   1.1237,   0.5815,   0.5379,   0.1817
A37185,1988,  35.7367,   2.0620,   1.0254,   5.6202,   1.1420,   0.4041,   0.3737,   0.1263
A37185,1989,  56.0809,   3.0298,   1.8490,   5.5677,   1.1603,   0.6549,   0.6058,   0.2047
A37185,1990,  45.0543,   2.2492,   1.5794,   5.5152,   1.1786,   0.5354,   0.4952,   0.1673
A37185,1991,  36.9153,   1.8748,   1.1524,   5.4627,   1.1969,   0.4015,   0.3714,   0.1255
A37185,1992,  41.8033,   1.8896,   1.1404,   5.4102,   1.2152,   0.4626,   0.4279,   0.1446
A37185,1993,  41.2059,   1.9932,   1.3429,   5.3577,   1.2335,   0.4843,   0.4480,   0.1514
A37185,1994,  39.8035,   1.9418,   1.2241,   5.3052,   1.2518,   0.4289,   0.3967,   0.1340
A37185,1995,  44.2780,   2.0817,   1.3244,   5.2527,   1.2701,   0.5313,   0.4915,   0.1660
A37185,1996,  47.2159,   2.1219,   1.4842,   5.2002,   1.2884,   0.5080,   0.4699,   0.1588
A37185,1997,  38.5111,   2.0708,   1.4682,   5.1477,   1.3067,   0.4515,   0.4177,   0.1411
A37185,1998,  43.9300,   2.2324,   1.3763,   5.0952,   1.3250,   0.4887,   0.4521,   0.1527
A37185,1999,  46.7205,   1.7493,   1.1560,   5.0427,   1.3433,   0.4955,   0.4584,   0.1549
A37185,2000,  40.2298,   2.2004,   1.4275,   4.9902,   1.3616,   0.4914,   0.4546,   0.1536
A37185,2001,  36.5173,   1.7864,   1.2963,   4.9377,   1.3800,   0.4309,   0.3986,   0.1347
A37185,2002,  46.8081,   2.0337,   1.4184,   4.8852,   1.3983,   0.4826,   0.4464,   0.1508
A37185,2003,  64.5261,   2.6801,   2.2670,   4.8327,   1.4166,   0.7710,   0.7131,   0.2409
A37185,2004,  45.9042,   1.8477,   1.6539,   4.7802,   1.4349,   0.5314,   0.4916,   0.1661
A37185,2005,  36.8687,   1.4460,   1.2402,   4.7277,   1.4532,   0.4005,   0.3705,   0.1252
