seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51047,1984,  45.7722,   2.8059,   1.3114,   7.2894,   1.0264,   0.5122,   0.4738,   0.1601
A51047,1985,  42.1381,   2.8138,   1.2142,   7.1658,   1.0291,   0.4622,   0.4275,   0.1444
A51047,1986,  33.7016,   2.9566,   1.3299,   7.0422,   1.0317,   0.3573,   0.3305,   0.1117
A51047,1987,  44.6130,   3.1956,   1.4064,   6.9186,   1.0344,   0.5305,   0.4907,   0.1658
A51047,1988,  32.7054,   2.5823,   1.2195,   6.7950,   1.0370,   0.3896,   0.3604,   0.1217
A51047,1989,  46.7034,   2.8544,   2.1149,   6.6714,   1.0397,   0.5900,   0.5457,   0.1844
A51047,1990,  45.5602,   2.3134,   1.5832,   6.5479,   1.0423,   0.5244,   0.4851,   0.1639
A51047,1991,  34.6544,   2.0375,   1.2642,   6.4243,   1.0450,   0.3817,   0.3531,   0.1193
A51047,1992,  44.4797,   2.0606,   1.2271,   6.3007,   1.0476,   0.5054,   0.4675,   0.1579
A51047,1993,  46.1324,   2.5178,   1.6208,   6.1771,   1.0503,   0.5218,   0.4827,   0.1631
A51047,1994,  47.4875,   2.5619,   1.7418,   6.0535,   1.0529,   0.5017,   0.4641,   0.1568
A51047,1995,  44.1655,   2.7892,   1.6722,   5.9299,   1.0556,   0.5337,   0.4937,   0.1668
A51047,1996,  60.2490,   3.7366,   1.9917,   5.8063,   1.0582,   0.6652,   0.6153,   0.2079
A51047,1997,  41.7871,   2.4286,   1.5008,   5.6828,   1.0609,   0.4440,   0.4107,   0.1387
A51047,1998,  44.3930,   2.3164,   1.5590,   5.5592,   1.0635,   0.5369,   0.4967,   0.1678
A51047,1999,  38.4661,   1.9415,   1.2335,   5.4356,   1.0662,   0.3933,   0.3638,   0.1229
A51047,2000,  36.8935,   1.9646,   1.2403,   5.3120,   1.0688,   0.4590,   0.4246,   0.1434
A51047,2001,  31.9580,   1.8046,   1.3676,   5.1884,   1.0714,   0.3913,   0.3620,   0.1223
A51047,2002,  37.5349,   2.0528,   1.5484,   5.0648,   1.0741,   0.4293,   0.3971,   0.1342
A51047,2003,  63.8756,   2.4451,   1.9656,   4.9412,   1.0767,   0.7296,   0.6748,   0.2280
A51047,2004,  42.4060,   1.7663,   1.4884,   4.8177,   1.0794,   0.5041,   0.4663,   0.1575
A51047,2005,  40.2028,   1.5956,   1.3745,   4.6941,   1.0820,   0.4465,   0.4130,   0.1395
