seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51157,1984,   1,   1.5079,   0.1147,   0.0381,   0.5707,   0.0554,   0.0137,   0.0126,   0.0043
B51157,1984,   2,   6.0412,   0.1848,   0.0787,   0.5841,   0.0601,   0.0548,   0.0507,   0.0171
B51157,1984,   3,   6.1657,   0.3878,   0.1655,   0.7437,   0.0869,   0.0559,   0.0517,   0.0175
B51157,1984,   4,   4.8503,   0.3364,   0.1981,   0.8613,   0.1727,   0.0879,   0.0813,   0.0275
B51157,1984,   5,   3.1907,   0.2699,   0.1706,   0.7968,   0.1566,   0.0578,   0.0535,   0.0181
B51157,1984,   6,   1.4404,   0.1693,   0.1106,   0.6552,   0.2656,   0.0261,   0.0242,   0.0082
B51157,1984,   7,   4.9541,   0.3611,   0.1476,   0.8159,   0.3396,   0.0449,   0.0415,   0.0140
B51157,1984,   8,   7.4481,   0.5174,   0.1926,   0.7684,   0.2040,   0.0675,   0.0625,   0.0211
B51157,1984,   9,   1.9613,   0.1391,   0.0719,   0.9575,   0.1075,   0.0178,   0.0164,   0.0056
B51157,1984,  10,   3.1925,   0.1716,   0.0809,   0.8822,   0.0932,   0.0289,   0.0268,   0.0090
B51157,1984,  11,   3.1677,   0.1395,   0.0578,   0.4505,   0.1217,   0.0287,   0.0266,   0.0090
B51157,1984,  12,   1.2830,   0.0983,   0.0349,   0.5830,   0.0179,   0.0116,   0.0108,   0.0036
B51157,1985,   1,   2.2504,   0.1560,   0.0607,   0.5592,   0.0554,   0.0204,   0.0189,   0.0064
B51157,1985,   2,   3.7902,   0.1542,   0.0539,   0.5724,   0.0602,   0.0344,   0.0318,   0.0107
B51157,1985,   3,   1.5726,   0.1335,   0.0550,   0.7287,   0.0869,   0.0143,   0.0132,   0.0045
B51157,1985,   4,   0.7688,   0.0923,   0.0619,   0.8440,   0.1728,   0.0139,   0.0129,   0.0044
B51157,1985,   5,   5.1155,   0.5040,   0.2800,   0.7808,   0.1568,   0.0927,   0.0858,   0.0290
B51157,1985,   6,   2.2778,   0.2217,   0.1222,   0.6420,   0.2658,   0.0413,   0.0382,   0.0129
B51157,1985,   7,   4.3992,   0.4639,   0.1907,   0.7995,   0.3398,   0.0399,   0.0369,   0.0125
B51157,1985,   8,   3.9898,   0.3824,   0.1411,   0.7529,   0.2041,   0.0362,   0.0335,   0.0113
B51157,1985,   9,   1.1436,   0.0868,   0.0337,   0.9382,   0.1075,   0.0104,   0.0096,   0.0032
B51157,1985,  10,   4.8938,   0.2524,   0.0971,   0.8644,   0.0932,   0.0444,   0.0410,   0.0139
B51157,1985,  11,   9.9808,   0.3325,   0.1111,   0.4414,   0.1217,   0.0905,   0.0837,   0.0283
B51157,1985,  12,   0.8150,   0.0636,   0.0221,   0.5713,   0.0179,   0.0074,   0.0068,   0.0023
B51157,1986,   1,   1.4460,   0.1301,   0.0586,   0.5477,   0.0555,   0.0131,   0.0121,   0.0041
B51157,1986,   2,   3.2516,   0.3469,   0.1460,   0.5606,   0.0602,   0.0295,   0.0273,   0.0092
B51157,1986,   3,   1.6982,   0.1826,   0.0925,   0.7137,   0.0870,   0.0154,   0.0142,   0.0048
B51157,1986,   4,   1.9807,   0.2572,   0.1864,   0.8266,   0.1729,   0.0359,   0.0332,   0.0112
B51157,1986,   5,   1.5680,   0.1995,   0.1011,   0.7647,   0.1569,   0.0284,   0.0263,   0.0089
B51157,1986,   6,   1.6303,   0.1921,   0.1274,   0.6289,   0.2660,   0.0296,   0.0273,   0.0092
B51157,1986,   7,   5.3724,   0.5530,   0.2187,   0.7831,   0.3400,   0.0487,   0.0450,   0.0152
B51157,1986,   8,   4.9373,   0.5206,   0.1979,   0.7374,   0.2042,   0.0448,   0.0414,   0.0140
B51157,1986,   9,   1.8111,   0.1238,   0.0563,   0.9189,   0.1076,   0.0164,   0.0152,   0.0051
B51157,1986,  10,   1.3391,   0.1220,   0.0565,   0.8467,   0.0933,   0.0121,   0.0112,   0.0038
B51157,1986,  11,   4.6264,   0.3594,   0.1278,   0.4323,   0.1218,   0.0419,   0.0388,   0.0131
B51157,1986,  12,   4.5505,   0.2314,   0.0619,   0.5595,   0.0179,   0.0412,   0.0382,   0.0129
B51157,1987,   1,   4.4296,   0.2419,   0.0758,   0.5362,   0.0555,   0.0402,   0.0371,   0.0125
B51157,1987,   2,   1.4216,   0.0779,   0.0264,   0.5489,   0.0602,   0.0129,   0.0119,   0.0040
B51157,1987,   3,   2.3118,   0.2413,   0.1116,   0.6988,   0.0870,   0.0210,   0.0194,   0.0065
B51157,1987,   4,   6.3403,   0.3930,   0.1987,   0.8093,   0.1730,   0.1149,   0.1063,   0.0359
B51157,1987,   5,   3.7777,   0.4821,   0.2657,   0.7487,   0.1570,   0.0685,   0.0634,   0.0214
B51157,1987,   6,   3.3076,   0.4252,   0.2643,   0.6157,   0.2662,   0.0600,   0.0555,   0.0187
B51157,1987,   7,   2.3233,   0.2602,   0.1124,   0.7667,   0.3403,   0.0211,   0.0195,   0.0066
B51157,1987,   8,   1.8587,   0.2000,   0.0857,   0.7219,   0.2044,   0.0168,   0.0156,   0.0053
B51157,1987,   9,   8.1541,   0.4086,   0.1554,   0.8996,   0.1077,   0.0739,   0.0684,   0.0231
B51157,1987,  10,   1.6304,   0.1455,   0.0618,   0.8289,   0.0933,   0.0148,   0.0137,   0.0046
B51157,1987,  11,   3.9627,   0.1600,   0.0589,   0.4233,   0.1219,   0.0359,   0.0332,   0.0112
B51157,1987,  12,   2.5430,   0.1695,   0.0568,   0.5478,   0.0179,   0.0231,   0.0213,   0.0072
B51157,1988,   1,   2.2713,   0.1232,   0.0346,   0.5247,   0.0556,   0.0206,   0.0190,   0.0064
B51157,1988,   2,   1.5907,   0.1199,   0.0476,   0.5371,   0.0603,   0.0144,   0.0133,   0.0045
B51157,1988,   3,   1.5333,   0.1692,   0.0908,   0.6838,   0.0871,   0.0139,   0.0129,   0.0043
B51157,1988,   4,   2.3374,   0.2946,   0.2214,   0.7920,   0.1732,   0.0424,   0.0392,   0.0132
B51157,1988,   5,   6.2775,   0.4520,   0.2649,   0.7326,   0.1571,   0.1138,   0.1053,   0.0356
B51157,1988,   6,   1.5399,   0.1731,   0.0973,   0.6025,   0.2664,   0.0279,   0.0258,   0.0087
B51157,1988,   7,   3.5339,   0.3001,   0.1229,   0.7502,   0.3405,   0.0320,   0.0296,   0.0100
B51157,1988,   8,   3.8642,   0.3744,   0.1593,   0.7065,   0.2045,   0.0350,   0.0324,   0.0109
B51157,1988,   9,   2.9208,   0.2126,   0.0848,   0.8803,   0.1078,   0.0265,   0.0245,   0.0083
B51157,1988,  10,   1.0537,   0.0908,   0.0367,   0.8111,   0.0934,   0.0096,   0.0088,   0.0030
B51157,1988,  11,   3.8001,   0.2134,   0.0854,   0.4142,   0.1220,   0.0344,   0.0319,   0.0108
B51157,1988,  12,   1.0972,   0.1026,   0.0347,   0.5361,   0.0180,   0.0099,   0.0092,   0.0031
B51157,1989,   1,   2.0731,   0.1181,   0.0746,   0.5132,   0.0556,   0.0188,   0.0174,   0.0059
B51157,1989,   2,   2.0958,   0.1245,   0.0927,   0.5253,   0.0603,   0.0190,   0.0176,   0.0059
B51157,1989,   3,   3.8963,   0.2459,   0.1671,   0.6688,   0.0872,   0.0353,   0.0327,   0.0110
B51157,1989,   4,   2.4894,   0.2726,   0.2504,   0.7746,   0.1733,   0.0451,   0.0417,   0.0141
B51157,1989,   5,   7.6586,   0.4768,   0.4141,   0.7166,   0.1572,   0.1388,   0.1284,   0.0434
B51157,1989,   6,   6.7070,   0.4057,   0.3909,   0.5893,   0.2665,   0.1216,   0.1125,   0.0380
B51157,1989,   7,   5.2848,   0.3859,   0.2303,   0.7338,   0.3407,   0.0479,   0.0443,   0.0150
B51157,1989,   8,   3.2149,   0.2491,   0.1425,   0.6910,   0.2047,   0.0291,   0.0270,   0.0091
B51157,1989,   9,   3.9063,   0.2047,   0.1298,   0.8611,   0.1078,   0.0354,   0.0328,   0.0111
B51157,1989,  10,   4.1272,   0.1372,   0.0920,   0.7934,   0.0935,   0.0374,   0.0346,   0.0117
B51157,1989,  11,   2.0696,   0.1114,   0.0782,   0.4051,   0.1221,   0.0188,   0.0174,   0.0059
B51157,1989,  12,   1.0847,   0.0684,   0.0296,   0.5243,   0.0180,   0.0098,   0.0091,   0.0031
B51157,1990,   1,   3.0143,   0.1265,   0.0867,   0.5017,   0.0556,   0.0273,   0.0253,   0.0085
B51157,1990,   2,   2.1839,   0.1101,   0.0962,   0.5136,   0.0604,   0.0198,   0.0183,   0.0062
B51157,1990,   3,   2.8075,   0.1691,   0.1208,   0.6539,   0.0872,   0.0254,   0.0235,   0.0080
B51157,1990,   4,   3.5033,   0.2535,   0.2288,   0.7573,   0.1734,   0.0635,   0.0587,   0.0198
B51157,1990,   5,   5.5694,   0.2938,   0.2424,   0.7005,   0.1573,   0.1010,   0.0934,   0.0316
B51157,1990,   6,   1.1916,   0.0664,   0.0644,   0.5761,   0.2667,   0.0216,   0.0200,   0.0068
B51157,1990,   7,   7.5878,   0.3883,   0.2725,   0.7174,   0.3410,   0.0688,   0.0636,   0.0215
B51157,1990,   8,   4.1845,   0.2733,   0.1680,   0.6755,   0.2048,   0.0379,   0.0351,   0.0119
B51157,1990,   9,   2.6474,   0.1397,   0.0863,   0.8418,   0.1079,   0.0240,   0.0222,   0.0075
B51157,1990,  10,   7.5686,   0.1678,   0.1299,   0.7756,   0.0935,   0.0686,   0.0635,   0.0214
B51157,1990,  11,   1.3723,   0.0596,   0.0338,   0.3960,   0.1222,   0.0124,   0.0115,   0.0039
B51157,1990,  12,   4.3089,   0.1519,   0.0715,   0.5126,   0.0180,   0.0391,   0.0361,   0.0122
B51157,1991,   1,   4.3013,   0.1665,   0.0777,   0.4902,   0.0557,   0.0390,   0.0361,   0.0122
B51157,1991,   2,   1.1483,   0.0782,   0.0635,   0.5018,   0.0604,   0.0104,   0.0096,   0.0033
B51157,1991,   3,   4.4753,   0.2445,   0.1751,   0.6389,   0.0873,   0.0406,   0.0375,   0.0127
B51157,1991,   4,   2.3576,   0.1513,   0.1387,   0.7399,   0.1735,   0.0427,   0.0395,   0.0134
B51157,1991,   5,   2.2510,   0.1574,   0.1267,   0.6845,   0.1574,   0.0408,   0.0377,   0.0128
B51157,1991,   6,   3.0275,   0.2146,   0.1534,   0.5629,   0.2669,   0.0549,   0.0508,   0.0172
B51157,1991,   7,   3.8817,   0.2838,   0.1898,   0.7009,   0.3412,   0.0352,   0.0325,   0.0110
B51157,1991,   8,   1.8337,   0.1473,   0.0971,   0.6601,   0.2049,   0.0166,   0.0154,   0.0052
B51157,1991,   9,   2.9998,   0.2044,   0.1320,   0.8225,   0.1080,   0.0272,   0.0252,   0.0085
B51157,1991,  10,   1.5458,   0.0884,   0.0572,   0.7578,   0.0936,   0.0140,   0.0130,   0.0044
B51157,1991,  11,   2.7007,   0.0673,   0.0341,   0.3870,   0.1222,   0.0245,   0.0226,   0.0077
B51157,1991,  12,   5.0028,   0.1736,   0.0814,   0.5008,   0.0180,   0.0453,   0.0419,   0.0142
B51157,1992,   1,   2.4785,   0.0806,   0.0354,   0.4788,   0.0557,   0.0225,   0.0208,   0.0070
B51157,1992,   2,   2.1807,   0.1093,   0.0656,   0.4900,   0.0604,   0.0198,   0.0183,   0.0062
B51157,1992,   3,   3.7160,   0.2045,   0.1445,   0.6239,   0.0873,   0.0337,   0.0312,   0.0105
B51157,1992,   4,   4.1403,   0.1310,   0.1849,   0.7226,   0.1736,   0.0751,   0.0694,   0.0235
B51157,1992,   5,   4.1595,   0.2863,   0.1827,   0.6685,   0.1575,   0.0754,   0.0698,   0.0236
B51157,1992,   6,   3.3025,   0.1536,   0.1145,   0.5497,   0.2671,   0.0599,   0.0554,   0.0187
B51157,1992,   7,   6.1752,   0.3349,   0.2073,   0.6845,   0.3414,   0.0560,   0.0518,   0.0175
B51157,1992,   8,   3.1702,   0.1864,   0.1102,   0.6446,   0.2051,   0.0287,   0.0266,   0.0090
B51157,1992,   9,   6.0597,   0.1793,   0.1163,   0.8032,   0.1081,   0.0549,   0.0508,   0.0172
B51157,1992,  10,   1.5582,   0.0765,   0.0556,   0.7401,   0.0937,   0.0141,   0.0131,   0.0044
B51157,1992,  11,   3.9824,   0.1187,   0.0803,   0.3779,   0.1223,   0.0361,   0.0334,   0.0113
B51157,1992,  12,   6.0882,   0.1179,   0.0435,   0.4891,   0.0180,   0.0552,   0.0510,   0.0172
B51157,1993,   1,   2.7941,   0.1423,   0.0804,   0.4673,   0.0558,   0.0253,   0.0234,   0.0079
B51157,1993,   2,   2.2482,   0.0999,   0.0430,   0.4783,   0.0605,   0.0204,   0.0189,   0.0064
B51157,1993,   3,   8.1494,   0.3905,   0.1911,   0.6089,   0.0874,   0.0739,   0.0683,   0.0231
B51157,1993,   4,   5.3346,   0.2353,   0.2199,   0.7053,   0.1738,   0.0967,   0.0895,   0.0302
B51157,1993,   5,   2.4712,   0.1799,   0.1592,   0.6524,   0.1576,   0.0448,   0.0414,   0.0140
B51157,1993,   6,   2.9672,   0.2368,   0.2090,   0.5365,   0.2673,   0.0538,   0.0498,   0.0168
B51157,1993,   7,   4.1762,   0.3107,   0.2198,   0.6681,   0.3417,   0.0379,   0.0350,   0.0118
B51157,1993,   8,   2.7514,   0.2239,   0.1699,   0.6291,   0.2052,   0.0249,   0.0231,   0.0078
B51157,1993,   9,   4.4033,   0.2717,   0.2069,   0.7840,   0.1081,   0.0399,   0.0369,   0.0125
B51157,1993,  10,   2.1206,   0.1145,   0.0843,   0.7223,   0.0937,   0.0192,   0.0178,   0.0060
B51157,1993,  11,   5.2621,   0.1024,   0.0614,   0.3688,   0.1224,   0.0477,   0.0441,   0.0149
B51157,1993,  12,   3.9381,   0.1522,   0.0752,   0.4774,   0.0180,   0.0357,   0.0330,   0.0112
B51157,1994,   1,   4.4475,   0.2033,   0.1047,   0.4558,   0.0558,   0.0403,   0.0373,   0.0126
B51157,1994,   2,   4.2034,   0.1527,   0.0927,   0.4665,   0.0605,   0.0381,   0.0352,   0.0119
B51157,1994,   3,   7.9441,   0.4258,   0.2679,   0.5940,   0.0874,   0.0720,   0.0666,   0.0225
B51157,1994,   4,   3.0759,   0.2392,   0.2539,   0.6879,   0.1739,   0.0558,   0.0516,   0.0174
B51157,1994,   5,   2.7379,   0.1604,   0.1444,   0.6364,   0.1577,   0.0496,   0.0459,   0.0155
B51157,1994,   6,   4.4057,   0.3555,   0.3280,   0.5233,   0.2675,   0.0799,   0.0739,   0.0250
B51157,1994,   7,   6.9716,   0.3672,   0.2440,   0.6517,   0.3419,   0.0632,   0.0585,   0.0197
B51157,1994,   8,   6.7633,   0.3601,   0.2485,   0.6137,   0.2054,   0.0613,   0.0567,   0.0192
B51157,1994,   9,   2.5669,   0.1113,   0.0853,   0.7647,   0.1082,   0.0233,   0.0215,   0.0073
B51157,1994,  10,   0.7510,   0.0475,   0.0378,   0.7046,   0.0938,   0.0068,   0.0063,   0.0021
B51157,1994,  11,   2.7976,   0.1190,   0.0795,   0.3598,   0.1225,   0.0254,   0.0235,   0.0079
B51157,1994,  12,   1.6804,   0.0808,   0.0477,   0.4656,   0.0180,   0.0152,   0.0141,   0.0048
B51157,1995,   1,   5.7153,   0.2514,   0.1223,   0.4443,   0.0558,   0.0518,   0.0479,   0.0162
B51157,1995,   2,   1.1745,   0.0858,   0.0417,   0.4548,   0.0606,   0.0106,   0.0098,   0.0033
B51157,1995,   3,   1.7397,   0.1534,   0.0899,   0.5790,   0.0875,   0.0158,   0.0146,   0.0049
B51157,1995,   4,   1.7001,   0.1781,   0.1567,   0.6706,   0.1740,   0.0308,   0.0285,   0.0096
B51157,1995,   5,   5.0023,   0.4564,   0.3363,   0.6203,   0.1578,   0.0907,   0.0839,   0.0283
B51157,1995,   6,   6.4665,   0.4536,   0.2998,   0.5101,   0.2676,   0.1172,   0.1084,   0.0366
B51157,1995,   7,   3.5126,   0.2692,   0.1741,   0.6352,   0.3421,   0.0318,   0.0295,   0.0100
B51157,1995,   8,   3.1926,   0.1788,   0.1107,   0.5982,   0.2055,   0.0289,   0.0268,   0.0090
B51157,1995,   9,   3.0114,   0.1794,   0.0819,   0.7454,   0.1083,   0.0273,   0.0252,   0.0085
B51157,1995,  10,   6.1590,   0.1890,   0.1198,   0.6868,   0.0939,   0.0558,   0.0516,   0.0174
B51157,1995,  11,   3.8946,   0.1958,   0.0883,   0.3507,   0.1226,   0.0353,   0.0327,   0.0110
B51157,1995,  12,   2.2852,   0.1717,   0.0577,   0.4539,   0.0180,   0.0207,   0.0192,   0.0065
B51157,1996,   1,   7.7057,   0.3323,   0.1423,   0.4328,   0.0559,   0.0698,   0.0646,   0.0218
B51157,1996,   2,   2.5254,   0.2265,   0.1277,   0.4430,   0.0606,   0.0229,   0.0212,   0.0072
B51157,1996,   3,   3.2605,   0.3432,   0.1796,   0.5640,   0.0876,   0.0296,   0.0273,   0.0092
B51157,1996,   4,   2.5229,   0.2467,   0.1869,   0.6532,   0.1741,   0.0457,   0.0423,   0.0143
B51157,1996,   5,   5.9899,   0.4481,   0.2525,   0.6043,   0.1579,   0.1086,   0.1004,   0.0339
B51157,1996,   6,   5.1469,   0.3712,   0.2674,   0.4969,   0.2678,   0.0933,   0.0863,   0.0292
B51157,1996,   7,   6.9601,   0.4908,   0.2410,   0.6188,   0.3424,   0.0631,   0.0584,   0.0197
B51157,1996,   8,   5.6586,   0.4421,   0.2060,   0.5827,   0.2056,   0.0513,   0.0474,   0.0160
B51157,1996,   9,  13.0698,   0.3652,   0.1825,   0.7261,   0.1084,   0.1185,   0.1096,   0.0370
B51157,1996,  10,   3.2955,   0.1326,   0.0826,   0.6690,   0.0939,   0.0299,   0.0276,   0.0093
B51157,1996,  11,   3.5052,   0.2057,   0.1114,   0.3416,   0.1227,   0.0318,   0.0294,   0.0099
B51157,1996,  12,   4.1011,   0.2408,   0.0911,   0.4421,   0.0180,   0.0372,   0.0344,   0.0116
B51157,1997,   1,   2.0386,   0.1138,   0.0654,   0.4213,   0.0559,   0.0185,   0.0171,   0.0058
B51157,1997,   2,   1.9052,   0.1419,   0.0869,   0.4312,   0.0607,   0.0173,   0.0160,   0.0054
B51157,1997,   3,   4.8629,   0.3140,   0.2095,   0.5490,   0.0876,   0.0441,   0.0408,   0.0138
B51157,1997,   4,   1.6703,   0.1283,   0.0949,   0.6359,   0.1742,   0.0303,   0.0280,   0.0095
B51157,1997,   5,   1.8909,   0.1234,   0.1100,   0.5882,   0.1580,   0.0343,   0.0317,   0.0107
B51157,1997,   6,   5.4376,   0.2535,   0.1866,   0.4837,   0.2680,   0.0986,   0.0912,   0.0308
B51157,1997,   7,   5.1465,   0.3474,   0.2459,   0.6024,   0.3426,   0.0467,   0.0432,   0.0146
B51157,1997,   8,   2.6672,   0.2164,   0.1448,   0.5672,   0.2058,   0.0242,   0.0224,   0.0076
B51157,1997,   9,   5.6066,   0.2180,   0.1446,   0.7068,   0.1084,   0.0508,   0.0470,   0.0159
B51157,1997,  10,   1.8508,   0.1060,   0.0635,   0.6513,   0.0940,   0.0168,   0.0155,   0.0052
B51157,1997,  11,   6.7549,   0.1656,   0.0903,   0.3326,   0.1227,   0.0612,   0.0566,   0.0191
B51157,1997,  12,   2.1125,   0.1514,   0.0642,   0.4304,   0.0181,   0.0191,   0.0177,   0.0060
B51157,1998,   1,   7.3080,   0.2535,   0.1838,   0.4098,   0.0559,   0.0662,   0.0613,   0.0207
B51157,1998,   2,   6.7609,   0.1813,   0.1041,   0.4195,   0.0607,   0.0613,   0.0567,   0.0192
B51157,1998,   3,   4.4248,   0.2426,   0.1487,   0.5341,   0.0877,   0.0401,   0.0371,   0.0125
B51157,1998,   4,   3.6930,   0.2283,   0.2244,   0.6185,   0.1743,   0.0670,   0.0619,   0.0209
B51157,1998,   5,   5.4344,   0.2794,   0.2532,   0.5722,   0.1582,   0.0985,   0.0911,   0.0308
B51157,1998,   6,   6.0616,   0.3666,   0.3046,   0.4705,   0.2682,   0.1099,   0.1017,   0.0343
B51157,1998,   7,   1.5374,   0.1215,   0.0863,   0.5859,   0.3428,   0.0139,   0.0129,   0.0044
B51157,1998,   8,   2.1327,   0.1302,   0.0776,   0.5518,   0.2059,   0.0193,   0.0179,   0.0060
B51157,1998,   9,   1.7924,   0.1168,   0.0824,   0.6876,   0.1085,   0.0162,   0.0150,   0.0051
B51157,1998,  10,   1.4471,   0.0853,   0.0687,   0.6335,   0.0941,   0.0131,   0.0121,   0.0041
B51157,1998,  11,   0.9754,   0.0680,   0.0483,   0.3235,   0.1228,   0.0088,   0.0082,   0.0028
B51157,1998,  12,   1.9664,   0.0934,   0.0612,   0.4187,   0.0181,   0.0178,   0.0165,   0.0056
B51157,1999,   1,   5.4818,   0.1745,   0.1282,   0.3983,   0.0560,   0.0497,   0.0460,   0.0155
B51157,1999,   2,   1.5126,   0.0698,   0.0522,   0.4077,   0.0607,   0.0137,   0.0127,   0.0043
B51157,1999,   3,   4.0459,   0.1992,   0.1141,   0.5191,   0.0877,   0.0367,   0.0339,   0.0115
B51157,1999,   4,   1.7928,   0.1613,   0.1417,   0.6012,   0.1745,   0.0325,   0.0301,   0.0102
B51157,1999,   5,   2.5795,   0.1546,   0.1501,   0.5562,   0.1583,   0.0468,   0.0433,   0.0146
B51157,1999,   6,   0.9646,   0.0753,   0.0499,   0.4573,   0.2684,   0.0175,   0.0162,   0.0055
B51157,1999,   7,   3.8018,   0.2753,   0.1776,   0.5695,   0.3431,   0.0345,   0.0319,   0.0108
B51157,1999,   8,   3.0704,   0.1873,   0.1076,   0.5363,   0.2061,   0.0278,   0.0257,   0.0087
B51157,1999,   9,  10.1213,   0.2647,   0.1685,   0.6683,   0.1086,   0.0917,   0.0849,   0.0287
B51157,1999,  10,   2.3582,   0.1040,   0.0681,   0.6158,   0.0941,   0.0214,   0.0198,   0.0067
B51157,1999,  11,   1.8293,   0.0660,   0.0467,   0.3144,   0.1229,   0.0166,   0.0153,   0.0052
B51157,1999,  12,   2.4364,   0.0897,   0.0427,   0.4069,   0.0181,   0.0221,   0.0204,   0.0069
B51157,2000,   1,   1.8836,   0.1019,   0.0537,   0.3868,   0.0560,   0.0171,   0.0158,   0.0053
