seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51053,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,   2,   0.0000,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,   3,   0.0002,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,   5,   0.0140,   0.0015,   0.0017,   0.0175,   0.0007,   0.0001,   0.0001,   0.0000
A51053,1984,   1,   6,   0.0345,   0.0040,   0.0035,   0.0175,   0.0007,   0.0003,   0.0003,   0.0001
A51053,1984,   1,   7,   0.0068,   0.0007,   0.0005,   0.0175,   0.0007,   0.0001,   0.0001,   0.0000
A51053,1984,   1,   8,   0.0000,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,  10,   0.0820,   0.0053,   0.0033,   0.0175,   0.0007,   0.0007,   0.0007,   0.0002
A51053,1984,   1,  11,   1.7985,   0.0580,   0.0198,   0.0175,   0.0007,   0.0163,   0.0151,   0.0051
A51053,1984,   1,  12,   0.0047,   0.0001,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,  13,   0.0001,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,  14,   0.1008,   0.0036,   0.0008,   0.0175,   0.0007,   0.0009,   0.0008,   0.0003
A51053,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,  16,   0.0000,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,  17,   0.0002,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
A51053,1984,   1,  18,   0.1617,   0.0200,   0.0062,   0.0175,   0.0007,   0.0015,   0.0014,   0.0005
A51053,1984,   1,  19,   0.9755,   0.0431,   0.0109,   0.0175,   0.0007,   0.0088,   0.0082,   0.0028
A51053,1984,   1,  20,   0.0005,   0.0000,   0.0000,   0.0175,   0.0007,   0.0000,   0.0000,   0.0000
