seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51187,1984,  41.1244,   2.7532,   1.3632,   7.0120,   1.2572,   0.4512,   0.4173,   0.1410
A51187,1985,  36.1904,   2.5420,   1.1436,   6.8909,   1.2582,   0.3927,   0.3632,   0.1227
A51187,1986,  30.0700,   3.0095,   1.4341,   6.7697,   1.2592,   0.3259,   0.3014,   0.1018
A51187,1987,  38.8414,   2.9362,   1.4354,   6.6486,   1.2602,   0.4663,   0.4313,   0.1457
A51187,1988,  30.0162,   2.4831,   1.2705,   6.5275,   1.2612,   0.3748,   0.3467,   0.1171
A51187,1989,  37.3521,   2.6581,   1.8709,   6.4064,   1.2622,   0.4608,   0.4263,   0.1440
A51187,1990,  40.7406,   2.2515,   1.5370,   6.2852,   1.2632,   0.4434,   0.4101,   0.1386
A51187,1991,  28.0175,   1.7844,   1.1350,   6.1641,   1.2642,   0.3111,   0.2878,   0.0972
A51187,1992,  40.7484,   2.1591,   1.3733,   6.0430,   1.2652,   0.4735,   0.4380,   0.1480
A51187,1993,  42.3224,   2.5697,   1.6682,   5.9218,   1.2662,   0.4763,   0.4406,   0.1488
A51187,1994,  43.2301,   2.6733,   1.8037,   5.8007,   1.2673,   0.4712,   0.4359,   0.1472
A51187,1995,  39.2989,   2.5566,   1.6106,   5.6796,   1.2683,   0.4598,   0.4254,   0.1437
A51187,1996,  57.9394,   3.6550,   2.0820,   5.5584,   1.2693,   0.6491,   0.6004,   0.2028
A51187,1997,  33.3469,   2.0938,   1.2574,   5.4373,   1.2703,   0.3694,   0.3417,   0.1154
A51187,1998,  37.5950,   2.1910,   1.5171,   5.3162,   1.2713,   0.4695,   0.4343,   0.1467
A51187,1999,  36.5008,   1.9733,   1.2944,   5.1950,   1.2723,   0.3801,   0.3516,   0.1188
A51187,2000,  37.9329,   2.0813,   1.3595,   5.0739,   1.2733,   0.4452,   0.4119,   0.1391
A51187,2001,  31.9480,   2.0071,   1.5127,   4.9528,   1.2743,   0.3808,   0.3522,   0.1190
A51187,2002,  40.3526,   2.3840,   1.8691,   4.8316,   1.2753,   0.4862,   0.4497,   0.1519
A51187,2003,  55.9581,   2.4044,   1.9561,   4.7105,   1.2763,   0.6550,   0.6058,   0.2047
A51187,2004,  43.5032,   1.8754,   1.6753,   4.5894,   1.2773,   0.5162,   0.4775,   0.1613
A51187,2005,  36.5111,   1.6419,   1.4077,   4.4682,   1.2783,   0.4077,   0.3771,   0.1274
