 rseg,year,month,supply_cfs
 MN0_7870_0000, 1986, 5,  0.0464262888
 MN0_7870_0000, 1986, 6,  0.0464262888
 MN0_7870_0000, 1986, 7,  0.0773771554
 MN0_7870_0000, 1986, 8,  0.0619017221
 MN0_7870_0000, 1986, 9,  0.0619017221
 MN0_7870_0000, 1986, 10,  0.0309508611
 MN0_7870_0000, 1987, 5,  0.0154754305
 MN0_7870_0000, 1987, 6,  0.0464262888
 MN0_7870_0000, 1987, 7,  0.108328015
 MN0_7870_0000, 1987, 8,  0.108328015
 MN0_7870_0000, 1987, 9,  0.0154754305
 MN0_7870_0000, 1987, 10,  0.0309508611
 MN0_7870_0000, 1988, 4,  0.0309508611
 MN0_7870_0000, 1988, 5,  0.0154754305
 MN0_7870_0000, 1988, 6,  0.0464262888
 MN0_7870_0000, 1988, 7,  0.0928525776
 MN0_7870_0000, 1988, 8,  0.185705155
 MN0_7870_0000, 1988, 9,  0.0619017221
 MN0_7870_0000, 1988, 10,  0.0309508611
 MN0_7870_0000, 1989, 4,  0.0154754305
 MN0_7870_0000, 1989, 5,  0.0154754305
 MN0_7870_0000, 1989, 6,  0.0309508611
 MN0_7870_0000, 1989, 7,  0.0309508611
 MN0_7870_0000, 1989, 8,  0.0309508611
 MN0_7870_0000, 1989, 9,  0.0619017221
 MN0_7870_0000, 1990, 4,  0.0154754305
 MN0_7870_0000, 1990, 5,  0.0309508611
 MN0_7870_0000, 1990, 6,  0.0464262888
 MN0_7870_0000, 1990, 7,  0.0619017221
 MN0_7870_0000, 1990, 8,  0.0619017221
 MN0_7870_0000, 1990, 9,  0.0464262888
 MN0_7870_0000, 1990, 10,  0.0464262888
 MN0_7870_0000, 1990, 11,  2.86295462
 MN0_7870_0000, 1991, 4,  0.0154754305
 MN0_7870_0000, 1991, 5,  0.0309508611
 MN0_7870_0000, 1991, 6,  0.0464262888
 MN0_7870_0000, 1991, 7,  0.0619017221
 MN0_7870_0000, 1991, 8,  0.0619017221
 MN0_7870_0000, 1991, 9,  0.0464262888
 MN0_7870_0000, 1991, 10,  0.0464262888
 MN0_7870_0000, 1991, 11,  0.0309508611
 MN0_7870_0000, 1992, 2,  0.000533635553
 MN0_7870_0000, 1992, 3,  0.0154754305
 MN0_7870_0000, 1992, 4,  0.0154754305
 MN0_7870_0000, 1992, 5,  0.0309508611
 MN0_7870_0000, 1992, 6,  0.0464262888
 MN0_7870_0000, 1992, 7,  0.0619017221
 MN0_7870_0000, 1992, 8,  0.0464262888
 MN0_7870_0000, 1992, 9,  0.0464262888
 MN0_7870_0000, 1992, 10,  0.0309508611
 MN0_7870_0000, 1992, 11,  0.0309508611
 MN0_7870_0000, 1993, 4,  0.0154754305
 MN0_7870_0000, 1993, 5,  0.139278874
 MN0_7870_0000, 1993, 6,  0.216656029
 MN0_7870_0000, 1993, 7,  0.29403317
 MN0_7870_0000, 1993, 8,  0.216656029
 MN0_7870_0000, 1993, 9,  0.139278874
 MN0_7870_0000, 1993, 10,  0.0464262888
 MN0_7870_0000, 1993, 11,  0.154754311
 MN0_7870_0000, 1993, 12,  0.0773771554
 MN0_7870_0000, 1994, 3,  0.0154754305
 MN0_7870_0000, 1994, 4,  0.154754311
 MN0_7870_0000, 1994, 5,  0.154754311
 MN0_7870_0000, 1994, 6,  0.37141031
 MN0_7870_0000, 1994, 7,  0.185705155
 MN0_7870_0000, 1994, 8,  0.154754311
 MN0_7870_0000, 1994, 9,  0.185705155
 MN0_7870_0000, 1994, 10,  0.108328015
 MN0_7870_0000, 1994, 11,  0.0154754305
 MN0_7870_0000, 1995, 3,  0.0464262888
 MN0_7870_0000, 1995, 4,  0.123803444
 MN0_7870_0000, 1995, 5,  0.123803444
 MN0_7870_0000, 1995, 6,  0.170229733
 MN0_7870_0000, 1995, 7,  0.37141031
 MN0_7870_0000, 1995, 8,  0.29403317
 MN0_7870_0000, 1995, 9,  0.0773771554
 MN0_7870_0000, 1995, 10,  0.0464262888
 MN0_7870_0000, 1995, 11,  0.0154754305
 MN0_7870_0000, 1995, 12,  0.0309508611
 MN0_7870_0000, 1996, 1,  0.201180592
 MN0_7870_0000, 1996, 2,  0.0453590192
 MN0_7870_0000, 1996, 3,  0.0154754305
 MN0_7870_0000, 1996, 4,  0.0619017221
 MN0_7870_0000, 1996, 5,  0.0928525776
 MN0_7870_0000, 1996, 6,  0.108328015
 MN0_7870_0000, 1996, 7,  0.108328015
 MN0_7870_0000, 1996, 8,  0.0773771554
 MN0_7870_0000, 1996, 9,  0.0928525776
 MN0_7870_0000, 1996, 10,  0.108328015
 MN0_7870_0000, 1996, 11,  0.0154754305
 MN0_7870_0000, 1996, 12,  0.0154754305
 MN0_7870_0000, 1997, 1,  0.0309508611
 MN0_7870_0000, 1997, 3,  0.0154754305
 MN0_7870_0000, 1997, 4,  0.0464262888
 MN0_7870_0000, 1997, 5,  0.232131466
 MN0_7870_0000, 1997, 6,  0.278557748
 MN0_7870_0000, 1997, 7,  0.278557748
 MN0_7870_0000, 1997, 8,  0.263082325
 MN0_7870_0000, 1997, 9,  0.232131466
 MN0_7870_0000, 1997, 10,  0.0928525776
 MN0_7870_0000, 1997, 12,  0.0154754305
 MN0_7870_0000, 1998, 3,  0.0154754305
 MN0_7870_0000, 1998, 4,  0.0464262888
 MN0_7870_0000, 1998, 5,  0.0154754305
 MN0_7870_0000, 1998, 6,  0.0154754305
 MN0_7870_0000, 1998, 7,  0.0154754305
 MN0_7870_0000, 1998, 8,  0.0154754305
 MN0_7870_0000, 1998, 9,  0.0309508611
 MN0_7870_0000, 1998, 10,  0.0154754305
 MN0_7870_0000, 1999, 5,  0.0154754305
 MN0_7870_0000, 1999, 6,  0.0309508611
 MN0_7870_0000, 1999, 8,  0.0154754305
 MN0_7870_0000, 2000, 6,  0.0154754305
 MN0_7870_0000, 2000, 7,  0.0154754305
 MN0_7870_0000, 2000, 8,  0.0619017221
 MN0_7870_0000, 2000, 9,  0.0464262888
 MN0_7870_0000, 2000, 10,  0.0154754305
 MN0_7870_0000, 2000, 11,  0.0309508611
 MN0_7870_0000, 2001, 6,  0.0154754305
 MN0_7870_0000, 2001, 7,  0.0154754305
 MN0_7870_0000, 2001, 8,  0.0619017221
 MN0_7870_0000, 2001, 9,  0.0464262888
 MN0_7870_0000, 2001, 10,  0.0154754305
 MN0_7870_0000, 2001, 11,  0.0309508611
 MN0_7870_0000, 2002, 6,  0.0154754305
 MN0_7870_0000, 2002, 7,  0.0154754305
 MN0_7870_0000, 2002, 8,  0.0619017221
 MN0_7870_0000, 2002, 9,  0.0464262888
 MN0_7870_0000, 2002, 10,  0.0154754305
 MN0_7870_0000, 2002, 11,  0.0309508611
 JA2_7290_0001, 1984, 1,  12.3958206
 JA2_7290_0001, 1984, 2,  11.3744411
 JA2_7290_0001, 1984, 3,  12.7053289
 JA2_7290_0001, 1984, 4,  15.3052015
 JA2_7290_0001, 1984, 5,  15.6920872
 JA2_7290_0001, 1984, 6,  14.3921509
 JA2_7290_0001, 1984, 7,  14.1754942
 JA2_7290_0001, 1984, 8,  13.2469692
 JA2_7290_0001, 1984, 9,  14.6242819
 JA2_7290_0001, 1984, 10,  12.9065094
 JA2_7290_0001, 1984, 11,  12.8755579
 JA2_7290_0001, 1984, 12,  12.8910332
 JA2_7290_0001, 1985, 1,  12.3958206
 JA2_7290_0001, 1985, 2,  11.3744411
 JA2_7290_0001, 1985, 3,  12.7053289
 JA2_7290_0001, 1985, 4,  15.3052015
 JA2_7290_0001, 1985, 5,  15.6920872
 JA2_7290_0001, 1985, 6,  14.3921509
 JA2_7290_0001, 1985, 7,  14.1754942
 JA2_7290_0001, 1985, 8,  13.2469692
 JA2_7290_0001, 1985, 9,  14.6242819
 JA2_7290_0001, 1985, 10,  12.9065094
 JA2_7290_0001, 1985, 11,  12.8755579
 JA2_7290_0001, 1985, 12,  12.8910332
 JA2_7290_0001, 1986, 1,  15.2432995
 JA2_7290_0001, 1986, 2,  15.1659222
 JA2_7290_0001, 1986, 3,  16.6051369
 JA2_7290_0001, 1986, 4,  17.7812691
 JA2_7290_0001, 1986, 5,  17.549139
 JA2_7290_0001, 1986, 6,  18.8490753
 JA2_7290_0001, 1986, 7,  18.0443516
 JA2_7290_0001, 1986, 8,  16.8527451
 JA2_7290_0001, 1986, 9,  16.8217926
 JA2_7290_0001, 1986, 10,  17.0074978
 JA2_7290_0001, 1986, 11,  15.4909067
 JA2_7290_0001, 1986, 12,  15.0266428
 JA2_7290_0001, 1987, 1,  15.7694626
 JA2_7290_0001, 1987, 2,  16.9920216
 JA2_7290_0001, 1987, 3,  16.8527451
 JA2_7290_0001, 1987, 4,  16.7753677
 JA2_7290_0001, 1987, 5,  19.5764198
 JA2_7290_0001, 1987, 6,  20.520422
 JA2_7290_0001, 1987, 7,  21.2477646
 JA2_7290_0001, 1987, 8,  20.7680283
 JA2_7290_0001, 1987, 9,  18.7562218
 JA2_7290_0001, 1987, 10,  19.0193043
 JA2_7290_0001, 1987, 11,  17.2705803
 JA2_7290_0001, 1987, 12,  16.961071
 JA2_7290_0001, 1988, 1,  18.1681557
 JA2_7290_0001, 1988, 2,  18.8773575
 JA2_7290_0001, 1988, 3,  19.23596
 JA2_7290_0001, 1988, 4,  19.994257
 JA2_7290_0001, 1988, 5,  21.0311108
 JA2_7290_0001, 1988, 6,  22.6869812
 JA2_7290_0001, 1988, 7,  22.3000946
 JA2_7290_0001, 1988, 8,  22.4393749
 JA2_7290_0001, 1988, 9,  22.501276
 JA2_7290_0001, 1988, 10,  21.1239624
 JA2_7290_0001, 1988, 11,  19.824028
 JA2_7290_0001, 1988, 12,  20.8144531
 JA2_7290_0001, 1989, 1,  20.3192406
 JA2_7290_0001, 1989, 2,  18.2919579
 JA2_7290_0001, 1989, 3,  20.2728138
 JA2_7290_0001, 1989, 4,  20.6442242
 JA2_7290_0001, 1989, 5,  20.752552
 JA2_7290_0001, 1989, 6,  21.6656036
 JA2_7290_0001, 1989, 7,  20.6597004
 JA2_7290_0001, 1989, 8,  20.2728138
 JA2_7290_0001, 1989, 9,  21.1239624
 JA2_7290_0001, 1989, 10,  21.8203583
 JA2_7290_0001, 1989, 11,  19.9168797
 JA2_7290_0001, 1989, 12,  19.1585827
 JA2_7290_0001, 1990, 1,  20.984684
 JA2_7290_0001, 1990, 2,  19.5918941
 JA2_7290_0001, 1990, 3,  21.3406181
 JA2_7290_0001, 1990, 4,  22.671505
 JA2_7290_0001, 1990, 5,  22.1917667
 JA2_7290_0001, 1990, 6,  22.7024574
 JA2_7290_0001, 1990, 7,  21.8203583
 JA2_7290_0001, 1990, 8,  21.7275047
 JA2_7290_0001, 1990, 9,  19.8704529
 JA2_7290_0001, 1990, 10,  20.2418633
 JA2_7290_0001, 1990, 11,  17.1313019
 JA2_7290_0001, 1990, 12,  10.0745058
 JA2_7290_0001, 1991, 1,  13.8505096
 JA2_7290_0001, 1991, 2,  12.241065
 JA2_7290_0001, 1991, 3,  14.0826426
 JA2_7290_0001, 1991, 4,  21.4334717
 JA2_7290_0001, 1991, 5,  24.1107197
 JA2_7290_0001, 1991, 6,  23.8321629
 JA2_7290_0001, 1991, 7,  22.7488823
 JA2_7290_0001, 1991, 8,  24.4976063
 JA2_7290_0001, 1991, 9,  22.7798347
 JA2_7290_0001, 1991, 10,  23.1202927
 JA2_7290_0001, 1991, 11,  19.9014034
 JA2_7290_0001, 1991, 12,  18.2145824
 JA2_7290_0001, 1992, 1,  20.4430447
 JA2_7290_0001, 1992, 2,  16.5058804
 JA2_7290_0001, 1992, 3,  18.9264507
 JA2_7290_0001, 1992, 4,  21.0156345
 JA2_7290_0001, 1992, 5,  22.1143894
 JA2_7290_0001, 1992, 6,  23.0583916
 JA2_7290_0001, 1992, 7,  22.9345875
 JA2_7290_0001, 1992, 8,  22.3155708
 JA2_7290_0001, 1992, 9,  22.0060635
 JA2_7290_0001, 1992, 10,  21.046587
 JA2_7290_0001, 1992, 11,  20.9537334
 JA2_7290_0001, 1992, 12,  19.9478302
 JA2_7290_0001, 1993, 1,  21.2477646
 JA2_7290_0001, 1993, 2,  22.1762924
 JA2_7290_0001, 1993, 3,  22.9500637
 JA2_7290_0001, 1993, 4,  22.6560307
 JA2_7290_0001, 1993, 5,  23.6309834
 JA2_7290_0001, 1993, 6,  24.079771
 JA2_7290_0001, 1993, 7,  25.2094784
 JA2_7290_0001, 1993, 8,  24.0488186
 JA2_7290_0001, 1993, 9,  17.9360237
 JA2_7290_0001, 1993, 10,  13.2469692
 JA2_7290_0001, 1993, 11,  11.9160814
 JA2_7290_0001, 1993, 12,  18.8335991
 JA2_7290_0001, 1994, 1,  20.3347168
 JA2_7290_0001, 1994, 2,  20.6442242
 JA2_7290_0001, 1994, 3,  21.4953728
 JA2_7290_0001, 1994, 4,  23.0738659
 JA2_7290_0001, 1994, 5,  22.6560307
 JA2_7290_0001, 1994, 6,  24.2035732
 JA2_7290_0001, 1994, 7,  23.2750473
 JA2_7290_0001, 1994, 8,  16.7598915
 JA2_7290_0001, 1994, 9,  16.9765472
 JA2_7290_0001, 1994, 10,  19.3752403
 JA2_7290_0001, 1994, 11,  18.5395641
 JA2_7290_0001, 1994, 12,  14.9492655
 JA2_7290_0001, 1995, 1,  20.8299294
 JA2_7290_0001, 1995, 2,  23.0429173
 JA2_7290_0001, 1995, 3,  20.4275684
 JA2_7290_0001, 1995, 4,  18.8335991
 JA2_7290_0001, 1995, 5,  22.207243
 JA2_7290_0001, 1995, 6,  22.4857998
 JA2_7290_0001, 1995, 7,  19.932354
 JA2_7290_0001, 1995, 8,  19.1895332
 JA2_7290_0001, 1995, 9,  19.468092
 JA2_7290_0001, 1995, 10,  18.2610092
 JA2_7290_0001, 1995, 11,  17.4562855
 JA2_7290_0001, 1995, 12,  17.5027122
 JA2_7290_0001, 1996, 1,  18.6788445
 JA2_7290_0001, 1996, 2,  19.4360733
 JA2_7290_0001, 1996, 3,  19.406189
 JA2_7290_0001, 1996, 4,  17.8431702
 JA2_7290_0001, 1996, 5,  20.9692078
 JA2_7290_0001, 1996, 6,  21.975111
 JA2_7290_0001, 1996, 7,  19.932354
 JA2_7290_0001, 1996, 8,  19.1121578
 JA2_7290_0001, 1996, 9,  18.3848114
 JA2_7290_0001, 1996, 10,  18.7407455
 JA2_7290_0001, 1996, 11,  17.1622524
 JA2_7290_0001, 1996, 12,  16.7134647
 JA2_7290_0001, 1997, 1,  13.4481487
 JA2_7290_0001, 1997, 2,  13.293395
 JA2_7290_0001, 1997, 3,  12.0863113
 JA2_7290_0001, 1997, 4,  16.3730049
 JA2_7290_0001, 1997, 5,  17.8276958
 JA2_7290_0001, 1997, 6,  18.5705166
 JA2_7290_0001, 1997, 7,  18.7562218
 JA2_7290_0001, 1997, 8,  16.3730049
 JA2_7290_0001, 1997, 9,  14.8718882
 JA2_7290_0001, 1997, 10,  14.9956913
 JA2_7290_0001, 1997, 11,  13.3243456
 JA2_7290_0001, 1997, 12,  13.525526
 JA2_7290_0001, 1998, 1,  13.2005415
 JA2_7290_0001, 1998, 2,  14.6088057
 JA2_7290_0001, 1998, 3,  16.0170708
 JA2_7290_0001, 1998, 4,  17.0539246
 JA2_7290_0001, 1998, 5,  15.6456594
 JA2_7290_0001, 1998, 6,  19.4526157
 JA2_7290_0001, 1998, 7,  20.9227829
 JA2_7290_0001, 1998, 8,  18.6324177
 JA2_7290_0001, 1998, 9,  15.5837584
 JA2_7290_0001, 1998, 10,  15.1504459
 JA2_7290_0001, 1998, 11,  12.7362785
 JA2_7290_0001, 1998, 12,  8.35673237
 JA2_7290_0001, 1999, 1,  9.11502838
 JA2_7290_0001, 1999, 2,  9.1924057
 JA2_7290_0001, 1999, 3,  15.4909067
 JA2_7290_0001, 1999, 4,  17.2551041
 JA2_7290_0001, 1999, 5,  19.4990425
 JA2_7290_0001, 1999, 6,  14.5469036
 JA2_7290_0001, 1999, 7,  14.0052652
 JA2_7290_0001, 1999, 8,  18.4312382
 JA2_7290_0001, 1999, 9,  18.245533
 JA2_7290_0001, 1999, 10,  17.9205475
 JA2_7290_0001, 1999, 11,  17.9205475
 JA2_7290_0001, 1999, 12,  17.5676098
 JA2_7290_0001, 2000, 1,  16.264677
 JA2_7290_0001, 2000, 2,  16.8084526
 JA2_7290_0001, 2000, 3,  17.7348442
 JA2_7290_0001, 2000, 4,  19.7156982
 JA2_7290_0001, 2000, 5,  20.5668468
 JA2_7290_0001, 2000, 6,  21.0930119
 JA2_7290_0001, 2000, 7,  20.9692078
 JA2_7290_0001, 2000, 8,  20.6597004
 JA2_7290_0001, 2000, 9,  20.7216015
 JA2_7290_0001, 2000, 10,  21.4953728
 JA2_7290_0001, 2000, 11,  20.6287479
 JA2_7290_0001, 2000, 12,  13.3243456
 JA2_7290_0001, 2001, 1,  11.2970648
 JA2_7290_0001, 2001, 2,  11.2196875
 JA2_7290_0001, 2001, 3,  11.2661133
 JA2_7290_0001, 2001, 4,  12.5505733
 JA2_7290_0001, 2001, 5,  16.1099224
 JA2_7290_0001, 2001, 6,  16.2956276
 JA2_7290_0001, 2001, 7,  16.3884811
 JA2_7290_0001, 2001, 8,  16.5122852
 JA2_7290_0001, 2001, 9,  15.6611357
 JA2_7290_0001, 2001, 10,  12.0708361
 JA2_7290_0001, 2001, 11,  10.2911615
 JA2_7290_0001, 2001, 12,  8.85194588
 JA2_7290_0001, 2002, 1,  8.09364986
 JA2_7290_0001, 2002, 2,  8.29483128
 JA2_7290_0001, 2002, 3,  7.66033792
 JA2_7290_0001, 2002, 4,  6.4687295
 JA2_7290_0001, 2002, 5,  8.18650246
 JA2_7290_0001, 2002, 6,  10.3530626
 JA2_7290_0001, 2002, 7,  9.91975117
 JA2_7290_0001, 2002, 8,  9.59476662
 JA2_7290_0001, 2002, 9,  8.18650246
